PSA_1,PSA_2,Attribute,Category
HOM,DIN,Brand,2 Seater Dining Tables
HOM,DIN,Type,2 Seater Dining Tables
HOM,DIN,Colour,2 Seater Dining Tables
HOM,DIN,Size,2 Seater Dining Tables
HOM,DIN,Assembly,2 Seater Dining Tables
HOM,DIN,Material,2 Seater Dining Tables
HOM,DIN,Brand,4 Seater Dining Tables
HOM,DIN,Type,4 Seater Dining Tables
HOM,DIN,Colour,4 Seater Dining Tables
HOM,DIN,Size,4 Seater Dining Tables
HOM,DIN,Assembly,4 Seater Dining Tables
HOM,DIN,Material,4 Seater Dining Tables
DEC,STE,Brand,Abru Products
DEC,STE,Type,Abru Products
DEC,STE,Size,Abru Products
DEC,STE,Material,Abru Products
KIT,DIN,Brand,Acacia Wood Kitchenware
KIT,DIN,Type,Acacia Wood Kitchenware
KIT,DIN,Colour,Acacia Wood Kitchenware
KIT,DIN,Pack Qty,Acacia Wood Kitchenware
KIT,DIN,Size,Acacia Wood Kitchenware
TOY,ACT,Brand,Action & Playsets
TOY,ACT,Type,Action & Playsets
TOY,ACT,Colour,Action & Playsets
TOY,ACT,Power,Action & Playsets
TOY,ACT,Pack Qty,Action & Playsets
TOY,ACT,Age,Action & Playsets
DEC,ADH,Brand,Adhesive Tape and Tape Dispensers
DEC,ADH,Type,Adhesive Tape and Tape Dispensers
DEC,ADH,Colour,Adhesive Tape and Tape Dispensers
DEC,ADH,Pack Qty,Adhesive Tape and Tape Dispensers
DEC,ADH,Size,Adhesive Tape and Tape Dispensers
DEC,ADH,Material,Adhesive Tape and Tape Dispensers
DEC,ADH,Brand,Adhesives
DEC,ADH,Type,Adhesives
DEC,ADH,Pack Qty,Adhesives
SBK,BOM,Brand,Adult Colouring and Craft
SBK,BOM,Type,Adult Colouring and Craft
SBK,BOM,Pack Qty,Adult Colouring and Craft
TOI,MEN,Brand,Aftershave
TOI,MEN,Type,Aftershave
TOI,MEN,Pack Qty,Aftershave
TOI,MEN,Size,Aftershave
HOM,BAT,Brand,All Bath & Shower Mats
HOM,BAT,Type,All Bath & Shower Mats
HOM,BAT,Colour,All Bath & Shower Mats
HOM,BAT,Washable,All Bath & Shower Mats
HOM,BAT,Size,All Bath & Shower Mats
HOM,BAT,Material,All Bath & Shower Mats
DIY,CYC,Brand,All Bike Parts & Accessories
DIY,CYC,Type,All Bike Parts & Accessories
DIY,CYC,Colour,All Bike Parts & Accessories
DIY,CYC,Power,All Bike Parts & Accessories
DIY,CYC,Pack Qty,All Bike Parts & Accessories
DIY,CYC,Size,All Bike Parts & Accessories
DIY,BIK,Brand,All Bikes and Accessories
DIY,BIK,Type,All Bikes and Accessories
DIY,BIK,Colour,All Bikes and Accessories
DIY,BIK,Size,All Bikes and Accessories
DIY,BIK,Age,All Bikes and Accessories
HOM,CUR,Brand,All Curtains
HOM,CUR,Type,All Curtains
HOM,CUR,Coverage,All Curtains
HOM,CUR,Colour,All Curtains
HOM,CUR,Washable,All Curtains
HOM,CUR,Size,All Curtains
HOM,CUR,Material,All Curtains
KIT,DIN,Brand,All Dinnerware
KIT,DIN,Type,All Dinnerware
KIT,DIN,Colour,All Dinnerware
KIT,DIN,Pack Qty,All Dinnerware
KIT,DIN,Washable,All Dinnerware
KIT,DIN,Size,All Dinnerware
DIY,DOO,Brand,All Door Handles & Knobs
DIY,DOO,Type,All Door Handles & Knobs
DIY,DOO,Colour,All Door Handles & Knobs
DIY,DOO,Pack Qty,All Door Handles & Knobs
DIY,DOO,Size,All Door Handles & Knobs
DIY,DOO,Material,All Door Handles & Knobs
PAI,EXT,Brand,All Exterior Paint
PAI,EXT,Type,All Exterior Paint
PAI,EXT,Coverage,All Exterior Paint
PAI,EXT,Colour,All Exterior Paint
PAI,EXT,Pack Qty,All Exterior Paint
PAI,EXT,Size,All Exterior Paint
TOI,HAI,Brand,All Hair Colourants
TOI,HAI,Type,All Hair Colourants
TOI,HAI,Colour,All Hair Colourants
TOI,HAI,Pack Qty,All Hair Colourants
TOI,HAI,Size,All Hair Colourants
DIY,TOO,Brand,All Hand Tools
DIY,TOO,Type,All Hand Tools
DIY,TOO,Pack Qty,All Hand Tools
DIY,TOO,Size,All Hand Tools
DIY,DOO,Brand,All Hardware
DIY,DOO,Type,All Hardware
DIY,DOO,Power,All Hardware
DIY,DOO,Pack Qty,All Hardware
DIY,DOO,Size,All Hardware
DIY,SEC,Brand,All Home Security
DIY,SEC,Type,All Home Security
DIY,SEC,Power,All Home Security
DIY,SEC,Pack Qty,All Home Security
DIY,SEC,Size,All Home Security
HOM,PHO,Brand,All Photo Frames
HOM,PHO,Type,All Photo Frames
HOM,PHO,Colour,All Photo Frames
HOM,PHO,Pack Qty,All Photo Frames
HOM,PHO,Size,All Photo Frames
DIY,TOO,Brand,All Power Tools
DIY,TOO,Type,All Power Tools
DIY,TOO,Power,All Power Tools
DIY,TOO,Pack Qty,All Power Tools
DIY,TOO,Size,All Power Tools
DEC,WAL,Brand,All Wallpaper
DEC,WAL,Type,All Wallpaper
DEC,WAL,Coverage,All Wallpaper
DEC,WAL,Colour,All Wallpaper
DEC,WAL,Pack Qty,All Wallpaper
DEC,WAL,Size,All Wallpaper
DEC,WAL,Material,All Wallpaper
DIY,TOO,Brand,Angle Grinders & Discs
DIY,TOO,Type,Angle Grinders & Discs
DIY,TOO,Power,Angle Grinders & Discs
DIY,TOO,Model Number,Angle Grinders & Discs
HOM,COO,Brand,Apple Orchard Fragrances
HOM,COO,Type,Apple Orchard Fragrances
HOM,COO,Pack Qty,Apple Orchard Fragrances
HOM,COO,Size,Apple Orchard Fragrances
DIY,BUL,Brand,Appliance Bulbs
DIY,BUL,Type,Appliance Bulbs
DIY,BUL,Power,Appliance Bulbs
DIY,BUL,Pack Qty,Appliance Bulbs
DIY,BUL,Size,Appliance Bulbs
SBK,KID,Brand,Art Supplies
SBK,KID,Type,Art Supplies
SBK,KID,Colour,Art Supplies
SBK,KID,Pack Qty,Art Supplies
SBK,KID,Size,Art Supplies
HOM,COO,Brand,Artificial Flowers
HOM,COO,Type,Artificial Flowers
HOM,COO,Colour,Artificial Flowers
HOM,COO,Pack Qty,Artificial Flowers
HOM,COO,Size,Artificial Flowers
PET,100,Brand,Artificial Plants
PET,100,Type,Artificial Plants
PET,100,Colour,Artificial Plants
PET,100,Pack Qty,Artificial Plants
PET,100,Size,Artificial Plants
CLE,AIR,Brand,Autospray Air Fresheners
CLE,AIR,Type,Autospray Air Fresheners
CLE,AIR,Pack Qty,Autospray Air Fresheners
CLE,AIR,Size,Autospray Air Fresheners
SBK,PAR,Brand,Avengers Range
SBK,PAR,Type,Avengers Range
SBK,PAR,Colour,Avengers Range
SBK,PAR,Power,Avengers Range
SBK,PAR,Pack Qty,Avengers Range
SBK,PAR,Age,Avengers Range
TOY,PRE,Brand,Baby & Pre-School Toys
TOY,PRE,Type,Baby & Pre-School Toys
TOY,PRE,Colour,Baby & Pre-School Toys
TOY,PRE,Power,Baby & Pre-School Toys
TOY,PRE,Pack Qty,Baby & Pre-School Toys
TOY,PRE,Age,Baby & Pre-School Toys
TOI,FOO,Brand,Baby Food
TOI,FOO,Type,Baby Food
TOI,FOO,Pack Qty,Baby Food
TOI,FOO,Size,Baby Food
TOI,FOO,Age,Baby Food
TOI,FOO,Brand,Baby Milk and Food
TOI,FOO,Type,Baby Milk and Food
TOI,FOO,Pack Qty,Baby Milk and Food
TOI,FOO,Size,Baby Milk and Food
TOI,FOO,Age,Baby Milk and Food
TOI,BAC,Brand,Baby Safety Products
TOI,BAC,Type,Baby Safety Products
TOI,BAC,Pack Qty,Baby Safety Products
TOI,BAC,Size,Baby Safety Products
TOI,BAC,Age,Baby Safety Products
TOI,BAB,Brand,Baby Toiletries
TOI,BAB,Type,Baby Toiletries
TOI,BAB,Pack Qty,Baby Toiletries
TOI,BAB,Size,Baby Toiletries
TOI,BAB,Age,Baby Toiletries
SBK,PAR,Brand,Badges and Banners
SBK,PAR,Type,Badges and Banners
SBK,PAR,Colour,Badges and Banners
SBK,PAR,Pack Qty,Badges and Banners
GAR,SUN,Brand,"Bags, Sacks & Truggs"
GAR,SUN,Capacity,"Bags, Sacks & Truggs"
GAR,SUN,Type,"Bags, Sacks & Truggs"
GAR,SUN,Colour,"Bags, Sacks & Truggs"
GAR,SUN,Size,"Bags, Sacks & Truggs"
GAR,SUN,Assembly,"Bags, Sacks & Truggs"
GAR,SUN,Brand,"Bags, Truggs and Wheelbarrows"
GAR,SUN,Capacity,"Bags, Truggs and Wheelbarrows"
GAR,SUN,Type,"Bags, Truggs and Wheelbarrows"
GAR,SUN,Colour,"Bags, Truggs and Wheelbarrows"
GAR,SUN,Size,"Bags, Truggs and Wheelbarrows"
GAR,SUN,Assembly,"Bags, Truggs and Wheelbarrows"
KIT,BAK,Brand,Baking Trays & Roasting Tins
KIT,BAK,Type,Baking Trays & Roasting Tins
KIT,BAK,Colour,Baking Trays & Roasting Tins
KIT,BAK,Pack Qty,Baking Trays & Roasting Tins
KIT,BAK,Size,Baking Trays & Roasting Tins
KIT,BAP,Brand,Baking Utensils & Gadgets
KIT,BAP,Type,Baking Utensils & Gadgets
KIT,BAP,Colour,Baking Utensils & Gadgets
KIT,BAP,Pack Qty,Baking Utensils & Gadgets
KIT,BAP,Size,Baking Utensils & Gadgets
TOY,SST,Brand,Ball Games
TOY,SST,Type,Ball Games
TOY,SST,Colour,Ball Games
TOY,SST,Power,Ball Games
TOY,SST,Pack Qty,Ball Games
TOY,SST,Age,Ball Games
SBK,PAR,Brand,Balloons
SBK,PAR,Type,Balloons
SBK,PAR,Colour,Balloons
SBK,PAR,Pack Qty,Balloons
SBK,PAR,Size,Balloons
TOI,BAT,Brand,Bath & Soap
TOI,BAT,Type,Bath & Soap
TOI,BAT,Pack Qty,Bath & Soap
TOI,BAT,Size,Bath & Soap
HOM,TOW,Brand,Bath Sheets & Towels
HOM,TOW,Type,Bath Sheets & Towels
HOM,TOW,Colour,Bath Sheets & Towels
HOM,TOW,Pack Qty,Bath Sheets & Towels
HOM,TOW,Washable,Bath Sheets & Towels
HOM,TOW,Size,Bath Sheets & Towels
HOM,TOW,Material,Bath Sheets & Towels
HOM,TOW,Brand,Bath Towels
HOM,TOW,Type,Bath Towels
HOM,TOW,Colour,Bath Towels
HOM,TOW,Pack Qty,Bath Towels
HOM,TOW,Washable,Bath Towels
HOM,TOW,Size,Bath Towels
HOM,TOW,Material,Bath Towels
TOI,MEN,Brand,"Bath, Shower and Soap"
TOI,MEN,Type,"Bath, Shower and Soap"
TOI,MEN,Pack Qty,"Bath, Shower and Soap"
TOI,MEN,Size,"Bath, Shower and Soap"
HOM,BAT,Brand,Bathroom Bins
HOM,BAT,Capacity,Bathroom Bins
HOM,BAT,Type,Bathroom Bins
HOM,BAT,Colour,Bathroom Bins
HOM,BAT,Pack Qty,Bathroom Bins
HOM,BAT,Size,Bathroom Bins
HOM,BAT,Brand,Bathroom Cabinets
HOM,BAT,Type,Bathroom Cabinets
HOM,BAT,Colour,Bathroom Cabinets
HOM,BAT,Pack Qty,Bathroom Cabinets
HOM,BAT,Size,Bathroom Cabinets
HOM,BAT,Assembly,Bathroom Cabinets
HOM,BAT,Material,Bathroom Cabinets
CLE,TOI,Brand,Bathroom Cleaning Products
CLE,TOI,Type,Bathroom Cleaning Products
CLE,TOI,Pack Qty,Bathroom Cleaning Products
CLE,TOI,Size,Bathroom Cleaning Products
HOM,BAT,Brand,Bathroom Mirrors
HOM,BAT,Type,Bathroom Mirrors
HOM,BAT,Pack Qty,Bathroom Mirrors
HOM,BAT,Size,Bathroom Mirrors
HOM,BAT,Brand,Bathroom Ornaments
HOM,BAT,Type,Bathroom Ornaments
HOM,BAT,Colour,Bathroom Ornaments
HOM,BAT,Pack Qty,Bathroom Ornaments
HOM,BAT,Size,Bathroom Ornaments
HOM,BAT,Brand,Bathroom Scales
HOM,BAT,Type,Bathroom Scales
HOM,BAT,Colour,Bathroom Scales
HOM,BAT,Power,Bathroom Scales
HOM,BAT,Size,Bathroom Scales
HOM,BAT,Model Number,Bathroom Scales
HOM,BAT,Brand,Bathroom Shelves
HOM,BAT,Type,Bathroom Shelves
HOM,BAT,Colour,Bathroom Shelves
HOM,BAT,Pack Qty,Bathroom Shelves
HOM,BAT,Size,Bathroom Shelves
HOM,BAT,Material,Bathroom Shelves
HOM,BAT,Brand,Bathroom Storage
HOM,BAT,Capacity,Bathroom Storage
HOM,BAT,Type,Bathroom Storage
HOM,BAT,Colour,Bathroom Storage
HOM,BAT,Pack Qty,Bathroom Storage
HOM,BAT,Size,Bathroom Storage
HOM,BAT,Material,Bathroom Storage
HOM,BAT,Brand,Bathroom Tumblers
HOM,BAT,Type,Bathroom Tumblers
HOM,BAT,Colour,Bathroom Tumblers
HOM,BAT,Pack Qty,Bathroom Tumblers
HOM,BAT,Size,Bathroom Tumblers
PET,WIL,Brand,"Baths, Tables & Houses"
PET,WIL,Type,"Baths, Tables & Houses"
PET,WIL,Colour,"Baths, Tables & Houses"
PET,WIL,Size,"Baths, Tables & Houses"
PET,WIL,Assembly,"Baths, Tables & Houses"
PET,WIL,Material,"Baths, Tables & Houses"
HOM,BAT,Brand,Bathware
HOM,BAT,Type,Bathware
HOM,BAT,Colour,Bathware
HOM,BAT,Pack Qty,Bathware
HOM,BAT,Size,Bathware
DIY,BAT,Brand,Batteries & Chargers
DIY,BAT,Type,Batteries & Chargers
DIY,BAT,Power,Batteries & Chargers
DIY,BAT,Pack Qty,Batteries & Chargers
DIY,BAT,Size,Batteries & Chargers
SES,BAR,Brand,BBQs & Tools
SES,BAR,Type,BBQs & Tools
SES,BAR,Power,BBQs & Tools
SES,BAR,Pack Qty,BBQs & Tools
SES,BAR,Size,BBQs & Tools
SES,BAR,Brand,BBQ's DEFAULT
SES,BAR,Type,BBQ's DEFAULT
SES,BAR,Power,BBQ's DEFAULT
SES,BAR,Pack Qty,BBQ's DEFAULT
