"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","293767","Croydex Secura Safe Shower Spray Set White","Croydex","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310507","Wilko Toothbrush Holder Macau Collection ChromeEffect","Croydex","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","347937","Croydex Bath Mat","Croydex",NA,"White",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","423312","Croydex Sparkle Toilet Seat","Croydex","34cm x 42cm",NA,"1","Resin",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","423313","Croydex Rust Free Shower Caddy","Croydex",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOM","BAT","423314","Croydex Foster Sit Tight Toilet Seat White","Croydex",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","452659","Croydex Toilet Seat White Sparkle","Croydex","44x37x5cm",NA,"1","Resin, Zinc",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","452660","Croydex Telescopic Stick n Lock Rod","Croydex","5x117cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","452661","Croydex Corner Basket Rust Free","Croydex","16.5x28x6cm",NA,"1","Rust Free Mild Steel",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310595","Weight Watchers Body Analysis Slim Glass PlatformScales","Weight Watchers","Single","White",NA,NA,NA,NA,"Battery",NA,NA,NA,0.941666666666667
"HOM","BAT","345008","Weight Watchers Electric Glass Scales Ultra Slim","Weight Watchers",NA,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","151595","Wilko Telescopic Shower Curtain Pole White122-218cm","Wilko","122-218cm, 3.3cm Diam",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","161632","Wilko Bathroom Waste Bin Stainless Steel 3L","Wilko","22 x 16.7 x 24cm","Silver","1",NA,NA,NA,NA,"3L",NA,NA,1
"HOM","BAT","188756","Wilko Stainless Steel Shower Hose 150cm","Wilko","150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","188788","Wilko Pedestal and Bath Mat Set Cream","Wilko","45x70cm","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BAT","194332","Wilko Over the Door Hooks Chrome Plated","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194334","Wilko Floor Tidy Chrome Plated","Wilko","Single","Metal","1","Iron",NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","194765","Wilko Toilet Roll Holder Chrome Plated","Wilko","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194816","Wilko Telescopic Shower Curtain Rod Silver EffectExtends to 260cm","Wilko","180-240cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","212343","Wilko Pedestal and Bath Mat Set Violet","Wilko",NA,"Purple",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","212344","Wilko Pedestal and Bath Mat Set White","Wilko","45x70cm","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BAT","224917","Wilko Toilet Seat White","Wilko","5.4 x 37.5 x 45.2","White","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","224930","Wilko Pedestal and Bath Mat Set Aqua Blue","Wilko","45x70cm","Blue",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BAT","224957","Wilko Pedestal and Bath Mat Set Beige","Wilko","45x70cm","Multi",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BAT","225126","Wilko Clear Jewel Toilet Brush Holder ChromeEffect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","225128","Wilko Shower Hose 200cm","Wilko","200cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","238817","Wilko Light Pull White Ceramic with Chrome Trim","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","249006","Wilko Bathroom Corner Shelf Chrome Plated","Wilko","Single","Silver","1","Iron",NA,NA,NA,NA,NA,NA,1
