"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","324888","Wilko Fitted Sheet Single White","Wilko","Single","White","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324889","Wilko Fitted Sheet Double White","Wilko","Double","White",NA,"52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","324890","Wilko Fitted Sheet King Size White 150 x 200cm","Wilko","Kingsize","White",NA,"52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","324891","Wilko Valance Single White 90 x 190cm","Wilko","Single","White","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324892","Wilko Valance Double White 140 x 190cm","Wilko","Double","White",NA,"52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","324893","Wilko Valance King Size White 150 x 200cm","Wilko","Kingsize","White","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324894","Wilko Housewife Pillowcase White 2pk","Wilko","75x50cm","White","2pk","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324895","Wilko Fitted Sheet Single Cream","Wilko","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324896","Wilko Fitted Sheet Double Cream","Wilko","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324897","Wilko Fitted Sheet King Size Cream","Wilko","Kingsize","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","324898","Wilko Valance Cream Single 90x190cm","Wilko","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
