"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","Model Number","DQ Score"
"TOI","BAT","125912","Carex Complete Aloe Vera Handwash 250ml","Carex","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","225164","Carex Complete Sensitive Handwash 250ml","Carex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","243296","Carex Complete Cleansing Wipes 15pk","Carex",NA,NA,"15s",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","253711","Carex Complete Moisture Plus Handwash 250ml","Carex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","253713","Carex Complete Aloe Vera Hand Gel 50ml","Carex","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","254008","Carex Complete Sensitive Hand Gel 50ml","Carex","50ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","280273","Carex Liquid Handwash Manuka Honey and Oatmilk250ml","Carex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325552","Carex Protect+ Plus Moisturising Handwash250ml","Carex",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325566","Carex Complete Handwash Strawberry Laces 250ml","Carex",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","407607","Carex Complete Bubble Gum Handwash 250ml","Carex","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","407608","Carex Protect+ Plus Original Handwash 250ml","Carex","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","407609","Carex Protect+ Plus Aloe Vera Handwash 250ml","Carex","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","450547","Carex Original Shower Gel 500ml","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450548","Carex Moisture Plus Shower Cream 500ml","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450549","Carex Strawberry Fun Shower and Bath 500ml","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450550","Care Care+ Plus Handwash Coconut Oil and Almond250ml","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","BAT","450552","Carex Care+ Plus Handwash Macadamia Oil andVanilla 250ml","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","BAT","78925","Carex Complete Original Handwash 250ml","Carex","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","93711","Cussons Mild Cream Soap 4 x 90g","Cussons",NA,NA,"4pk",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","310013","Dettol Antibacterial Soap 2 x 100g","Dettol","2 x 100g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","324200","Dettol No Touch Handwash Refill, Odour Neutral250ml","Dettol","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","324203","Dettol No Touch Handwash Unit with Cucumber Refill","Dettol","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","407953","Dettol E45 No Touch Liquid Hand WashRose and Shea Butter 250ml","Dettol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","450303","Dettol E45 Rose and Shea Butter Liquid Hand Wash250ml","Dettol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAT","450305","Dettol E45 Liquid Hand Wash 250mlCamomile Antibacterial","Dettol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAT","450306","Dettol Liquid Hand Wash Lavender250ml","Dettol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAT","450308","Dettol Liquid Hand Wash 250mlGrapefruit","Dettol","250ml",NA,"1",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAT","140151","Dove Beauty Cream Handwash 250ml","Dove","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","166291","Dove Indulging Cream Bath 500ml","Dove","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","228528","Dove Beauty Cream 2 x 100g","Dove","100g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","276789","Dove Liquid Hand Wash 250mlShea Butter and Warm Vanilla","Dove","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","276891","Dove Cream Bath 500mlShea Butter and Warm Vanilla","Dove","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","302935","Dove Soap Bars 6pk x 100g","Dove","6 x 100g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","319907","Dove Beauty Cream 2 x 100gShea Butter and Warm Vanilla","Dove","100g",NA,"2pk",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","414576","Dove Go fresh Revive Body Wash 250ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414592","Dove Pro Age Body Wash 500ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414596","Dove Bodywash Softening Silk 500ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","416202","Dove Deeply Nourishing Body Wash 250ml","Dove",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","438053","Dove Beauty Creme Bar 2 x 100gCucumber and Green Tea Scent","Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","69408","Dove Cream Bar 100g","Dove","100g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","313499","Imperial Leather Ivory Bar Soap 4 x 100g +2 Free","Imperial Leather",NA,NA,"4",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","32975","Imperial Leather Original Talcum Powder 300g","Imperial Leather","300g",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","424413","Imperial Leather Shower Cream 250mlComforting Marshmallow","Imperial Leather",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","425248","Imperial Leather Shower Creme 250mlCoconut and Tiare Flower","Imperial Leather",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","425249","Imperial Leather Shower Cream 250mlMango and Papaya","Imperial Leather",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","430234","Imperial Leather Foamburst for Men 200mlCitrus and Sea Minerals","Imperial Leather",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","430235","Imperial Leather Foamburst Body WashCherry Blossom and Vanilla 200ml","Imperial Leather",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","450545","Imperial Leather Shower Cream 250mlFoamy Banana","Imperial Leather",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450546","Imperial Leather Marshmallow Bath 500ml","Imperial Leather",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450553","Imperial Leather Bath Cream 500mlFoamy Banana","Imperial Leather",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
