"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","LAU","272578","Ariel Washing Gel Bio 16 Washes 592ml","Ariel","592ml","1",1
"CLE","LAU","278061","Ariel Washing Gel Bio 24 Washes 888ml","Ariel","888ml","1",1
"CLE","LAU","278062","Ariel Washing Gel Febreze 24 Washes 888ml","Ariel","888ml","1",1
"CLE","LAU","278067","Ariel Washing Gel Colour 24 Washes 888ml","Ariel","888ml","1",1
"CLE","LAU","333378","Ariel 3in1 Bio Liquid Tablets 19 Washes","Ariel","19s","19s",1
"CLE","LAU","333379","Ariel 3in1 Tablets Colour and Style 19 Washes","Ariel","19s","19s",1
"CLE","LAU","333380","Ariel 3 in 1 Liquid Tablets Febreze 19 Washes","Ariel","19s","19s",1
"CLE","LAU","350025","Ariel Detergent  Powder Regular 650g","Ariel","650g",NA,0.9125
"CLE","LAU","350026","Ariel Washing Powder Colour 22 Washes 1.43kg","Ariel","1.43kg",NA,0.9125
"CLE","LAU","351261","Ariel Washing Liquid Original 22 Washes 1.2L","Ariel","1.2L","1",1
"CLE","LAU","351262","Ariel Washing Liquid Colour 22 Washes 1.2L","Ariel","1.2L",NA,0.9125
"CLE","LAU","351264","Ariel Washing Liquid Original 40 Washes 2L","Ariel","2L","1",1
"CLE","LAU","403534","Ariel Bio Liquitabs 30 Washes","Ariel",NA,NA,0.825
"CLE","LAU","422364","Ariel Pods 3in1 Colour and Style 30 Washes","Ariel",NA,"1",0.9125
"CLE","LAU","432516","Ariel Washing Liquid Colour 40 Washes 2L","Ariel",NA,"1",0.9125
"CLE","LAU","432517","Ariel Washing Powder Regular 40 Washes 2.6kg","Ariel",NA,"1",0.9125
"CLE","LAU","454183","Ariel Liquid Regular 3L","Ariel","3L","1",1
"TOI","MEN","402930","Alpecin Caffeine Shampoo C1 250ml","Ariel","250ml","1",0.95
