"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"GAR","FER","149819","Baby Bio Plant Food 175ml","Bayer","175ml",NA,NA,0.8625
"GAR","FER","263019","Baby Bio Orchid Food 175ml","Bayer","175ml",NA,NA,0.8625
"GAR","FER","342221","Baby Bio Original Food Single Drip Feed 40ml","Bayer",NA,"1",NA,0.8625
"GAR","FER","342222","Baby Bio Orchid Food Single-Use Dripper 40ml","Bayer",NA,"1",NA,0.8625
"TOI","MED","452296","Canesten Thrush Combi","Bayer",NA,"1",NA,0.8625
"TOI","MED","452297","Canestest","Bayer",NA,"1",NA,0.8625
"TOI","MED","452298","Canesbalance","Bayer",NA,"1",NA,0.8625
"TOI","MED","452299","CanesOasis 6pk","Bayer",NA,"6",NA,0.8625
"TOI","MED","452300","Canesfresh Feminine Wipes 10pk","Bayer",NA,"10",NA,0.76
"TOI","MED","452301","Canesfresh Soothing Wash Gel 200ml","Bayer","200ml","1",NA,0.88
"TOI","MED","454675","Rennie Peppermint 96 Tablets","Bayer",NA,"96","No",0.6
