"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","Model Number","DQ Score"
"SBK","ADU","433068","Bic Conte Water Based Colouring Felt Tips 0.9mm 10pk","Bic",NA,"Multi","1",NA,NA,0.93
"SBK","ADU","433069","Bic Conte Premium Colouring Pencils 12pk","Bic",NA,"Multi","1",NA,NA,0.93
"SBK","ADU","433070","Bic Conte Premium Watercolour Pencils 12pk","Bic",NA,"Multi","1",NA,NA,0.93
"SBK","DES","233148","Bic Cristal Original Ballpoint Pens Blue 4pk","Bic","Medium","Blue",NA,NA,NA,0.93
"SBK","DES","233149","Bic Cristal Original Ballpoint Pens Black 4pk","Bic","Medium","Black","1",NA,NA,1
"SBK","DES","262466","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic","Medium","Black","4pk",NA,NA,1
"SBK","DES","262479","Bic Cristal Original Ballpoint Pens AssortedColours 4pk","Bic","Medium","Multi","3pk",NA,NA,1
"SBK","DES","303017","Bic 4 Colours Original Ballpoint Pen","Bic","Medium",NA,NA,NA,NA,0.86
"SBK","DES","337219","Bic Cristal Original Ballpoint Pens AssortedColours 10pk","Bic","1.0mm",NA,"10pk",NA,NA,0.93
"SBK","DES","337220","Bic Cristal Original Ballpoint Pens Black 10pk","Bic","1.0mm","Black","10pk",NA,NA,1
"SBK","DES","337236","Bic Cristal Original Ballpoint Pens Blue 10pk","Bic","1.0mm",NA,"10pk",NA,NA,0.93
"SBK","DES","349393","Bic Cristal Fun Ballpoint Pens Assorted Colours10pk","Bic",NA,"Multi","10pk",NA,NA,0.93
"SBK","DES","349394","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic",NA,NA,"4pk",NA,NA,0.86
"SBK","DES","349395","Bic Evolution Graphite Pencils HB Grade 4pk","Bic",NA,NA,"1",NA,NA,0.86
"SBK","DES","349396","Bic Criterium Graphite Pencil 2B 2pk","Bic",NA,NA,"2pk",NA,NA,0.86
"SBK","DES","416876","Bic Mini 4 Colour Pen","Bic",NA,NA,"12",NA,NA,0.86
