"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","Model Number","DQ Score"
"SBK","COM","306459","Canon Pixma Cartridge Black Fine PG-510","Canon",NA,"Black",NA,NA,"510",0.883333333333333
"SBK","COM","306460","Canon Pixma Cartridge Colour Fine CL-511","Canon",NA,"Multi",NA,NA,"511",0.883333333333333
"SBK","COM","323530","Canon Ink Cartridge Colour CL-541 8ml","Canon","8ml","Multi",NA,NA,"CL-541B",0.941666666666667
"SBK","COM","323531","Canon Ink Cartridge Black PG-540 8ml","Canon","8ml","Black",NA,NA,"PG-540B",0.941666666666667
"SBK","COM","347553","Canon Ink Cartridge Black PG-545","Canon",NA,"Black",NA,NA,"PG-545",0.883333333333333
"SBK","COM","347554","Canon Ink Cartridge Colour CL-546","Canon",NA,"Multi",NA,NA,"CL-546",0.883333333333333
"SBK","COM","413852","Canon PG510/CL511 Combo","Canon",NA,"Multi",NA,NA,"2970B010",0.883333333333333
"SBK","COM","413853","Canon PG540/CL541 Combo","Canon",NA,"Multi",NA,NA,"5225B006",0.883333333333333
"SBK","COM","413855","Canon PG545/CL546 Combo","Canon",NA,"Multi",NA,NA,"8287B005",0.883333333333333
"SBK","COM","427807","Canon 100 Sheets Photo Paper 10 x 15cm","Canon","100 sheets of glossy paper",NA,"100",NA,NA,0.93
"SBK","COM","427808","Canon 50 Sheets Matte Photo Paper A4","Canon","A4",NA,"50",NA,NA,0.93
"SBK","COM","439498","Canon CL 541XL BL EUR SEC","Canon",NA,"Multi",NA,NA,"CL541XLBLEURSEC",0.883333333333333
"SBK","COM","439499","Canon PG 540 XL BL EUR SEC","Canon",NA,"Black",NA,NA,"PG540XLBLEURSEC",0.883333333333333
"SBK","COM","439500","Canon PG 545XL BL SEC","Canon",NA,"Black",NA,NA,"PG545XLBLSEC",0.883333333333333
"SBK","COM","451318","Canon Pixma Printer MG3052","Canon","48.1x13.1x14.1cm","Grey",NA,"AC 240V","MG3052",0.95
