"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"HOM","FUR","s100011","Charisma Dining Set Blk Gloss 4 chairs","Charisma",NA,"Black","Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100012","Charisma Dining Set White Gloss 4 chairs","Charisma","T 75.5 x 120 x 80, C 90 x 43 x 50cm","White","Poylurethant, PVC, MDF","Yes",1
"HOM","FUR","s100101","Charisma Coffee Table Black Gloss","Charisma",NA,"Black","Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100102","Charisma Lamp Table Black Gloss","Charisma",NA,"Black","Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100105","Charisma Coffee Table White Gloss","Charisma",NA,"White","White Gloss","Yes",0.941666666666667
"HOM","FUR","s100108","Charisma Nest of Tables Black Gloss","Charisma",NA,"Black","Black Gloss","Yes",0.941666666666667
"HOM","FUR","s100110","Charisma Nest of Tables White Gloss","Charisma",NA,"White","White Gloss","Yes",0.941666666666667
"HOM","FUR","s200077","Charisma Sideboard Black Gloss","Charisma",NA,"Black","Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200097","Charisma Sideboard White Gloss","Charisma",NA,"White","Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200103","Charisma TV Unit Black","Charisma",NA,"Black","Gloss, Chrome","Yes",0.941666666666667
"HOM","FUR","s200104","Charisma TV Unit White","Charisma",NA,"White","Gloss, Chrome","Yes",0.941666666666667
