"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","LAU","177822","Comfort Vaporesse Ironing Water 1L","Comfort","1L","1",1
"CLE","LAU","255077","Comfort Sunshiny Days Fabric Conditioner 42Washes 1.5L","Comfort","1.5L","1",1
"CLE","LAU","255078","Comfort Fabric Conditioner Blue Skies42 Washes 1.5L","Comfort","1.5L",NA,0.9125
"CLE","LAU","255079","Comfort Pure Fabric Conditioner 42 Washes 1.5L","Comfort","1.5L","1",1
"CLE","LAU","332317","Comfort Blue Skies Fabric Conditioner 85 Washes 3L","Comfort","3L","1",1
"CLE","LAU","334443","Comfort Pure Fabric Conditioner 3L","Comfort","3L","1",1
"CLE","LAU","352861","Comfort Creations Fabric Conditioner Strawberryand Lily 1.16L","Comfort","1.16L",NA,0.9125
"CLE","LAU","352863","Comfort Creations Honeysuckle and Sandalwood1.16L","Comfort","1.16L","1",1
"CLE","LAU","409225","Comfort Creations Fabric Conditioner CherryBlossom and Sweet Pea 1.16L","Comfort","1.16L","1",1
"CLE","LAU","414155","Comfort Intense Fuchsia Passion 570ml","Comfort",NA,"1",0.9125
"CLE","LAU","414156","Comfort Intense Fresh Sky 570ml","Comfort",NA,"1",0.9125
"CLE","LAU","414157","Comfort Intense Fabric Conditioner Fresh Sky64 Washes","Comfort",NA,"1",0.9125
"CLE","LAU","414158","Comfort Intense Fuchsia Passion 960ml","Comfort",NA,"1",0.9125
"CLE","LAU","430856","Comfort Pure Fabric Conditioner 570ml","Comfort","570ml","1",1
"CLE","LAU","430857","Comfort Creations Fabric Conditioner Tuberose andVanilla Flower 33 Washes","Comfort","1.16L",NA,0.9125
"CLE","LAU","439876","Comfort Intense Luxurious 960ml","Comfort","960ml","1",1
"CLE","LAU","451717","Comfort Intense Perfume Pearls Fuchsia Passion275g","Comfort",NA,NA,0.775
"CLE","LAU","451718","Comfort Intense Perfume Pearls Fresh Sky 275g","Comfort",NA,"1",0.8625
"CLE","LAU","453863","Comfort Intense Flora 38 Washes","Comfort",NA,NA,0.775
"CLE","LAU","453865","Comfort Intense Fabric Conditioner Tropical Punch64 Washes","Comfort",NA,"64",0.8625
"CLE","LAU","454162","Comfort Fragrance Burst Luxurious 275g","Comfort","275g","1",0.95
