"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"PAI","CRO","341824","Crown Metallic Emulsion PaintSophistication 1.25L","Crown","1.25L","Silver","1",NA,NA,"15 Square Metres",1
"PAI","CRO","434504","Crown Silk Emulsion PaintAntique Cream 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",0.95
"PAI","CRO","434505","Crown Silk Emulsion PaintBeige White 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434507","Crown Silk Emulsion PaintBrandy Snap 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434508","Crown Silk Emulsion PaintCanvas White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434509","Crown Silk Emulsion PaintChance 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434510","Crown Silk Emulsion PaintChoc Chip 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434511","Crown Silk Emulsion PaintCity Break 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434512","Crown Silk Emulsion PaintClay White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434513","Crown Silk Emulsion PaintCloud Burst 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434515","Crown Silk Emulsion PaintCream White 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434519","Crown Silk Emulsion PaintDelicate Cream 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434520","Crown Silk Emulsion PaintDream White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434521","Crown Silk Emulsion PaintDuck Egg 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434522","Crown Silk Emulsion PaintEnglish Fire 2.5L","Crown","2.5L","Red","1",NA,NA,"35 Square metres",1
"PAI","CRO","434524","Crown Silk Emulsion PaintFairy Dust 2.5L","Crown","2.5L","Pink","1",NA,NA,"35 Square metres",1
"PAI","CRO","434525","Crown Silk Emulsion PaintForgotten Paradise 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434526","Crown Silk Emulsion PaintGentle Olive 2.5L","Crown","2.5L","Green","1",NA,NA,"35 Square metres",1
"PAI","CRO","434527","Crown Silk Emulsion PaintGranite Dust 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
