"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","BAB","456896","Dove Baby Lotion Rich Moisture 200ml","Dove",NA,"1",0.81
"TOI","BAB","456898","Dove Baby Rich Moisture Shampoo 200ml","Dove",NA,"1",0.81
"TOI","BAB","456901","Dove Baby Rich Moisture Head to Toe Wash 200ml","Dove",NA,"1",0.81
"TOI","BAN","456899","Dove Baby Wipes Sensitive 50pk","Dove",NA,"50",0.81
"TOI","BAT","140151","Dove Beauty Cream Handwash 250ml","Dove","250ml",NA,0.9125
"TOI","BAT","166291","Dove Indulging Cream Bath 500ml","Dove","500ml",NA,0.9125
"TOI","BAT","228528","Dove Beauty Cream 2 x 100g","Dove","100g",NA,0.9125
"TOI","BAT","276789","Dove Liquid Hand Wash 250mlShea Butter and Warm Vanilla","Dove","250ml",NA,0.9125
"TOI","BAT","276891","Dove Cream Bath 500mlShea Butter and Warm Vanilla","Dove","500ml",NA,0.9125
"TOI","BAT","302935","Dove Soap Bars 6pk x 100g","Dove","6 x 100g","1",1
"TOI","BAT","319907","Dove Beauty Cream 2 x 100gShea Butter and Warm Vanilla","Dove","100g","2pk",1
"TOI","BAT","414576","Dove Go fresh Revive Body Wash 250ml","Dove",NA,"1",0.9125
"TOI","BAT","414592","Dove Pro Age Body Wash 500ml","Dove",NA,"1",0.9125
"TOI","BAT","414596","Dove Bodywash Softening Silk 500ml","Dove",NA,"1",0.9125
"TOI","BAT","416202","Dove Deeply Nourishing Body Wash 250ml","Dove",NA,"1",0.9125
"TOI","BAT","438053","Dove Beauty Creme Bar 2 x 100gCucumber and Green Tea Scent","Dove",NA,NA,0.825
"TOI","BAT","69408","Dove Cream Bar 100g","Dove","100g",NA,0.9125
"TOI","FAC","171523","Dove Essential Nourishing Body Lotion 250ml","Dove","250ml",NA,0.9125
"TOI","FAC","204689","Dove Essential Nourishing Lotion 400ml","Dove","400ml",NA,0.9125
"TOI","FAC","228640","Dove Rich Moisturising Creme 150ml","Dove","150ml",NA,0.9125
"TOI","FAC","278452","Dove Intensive Nourishment Body Butter 250ml","Dove","250ml",NA,0.9125
"TOI","FAC","428329","Dove Derma Spa Summer Revived Medium to Dark SkinBody Lotion 200ml","Dove","200ml",NA,0.9125
"TOI","FAC","454551","Dove Coconut Oil and Almond Cream 250ml","Dove","250ml","1",1
"TOI","FAC","454552","Dove Marula Oil and Mango Cream 250ml","Dove",NA,"1",0.9125
"TOI","FAC","454556","Dove Coconut and Almond Milk Lotion 400ml","Dove",NA,"1",0.8625
"TOI","FAC","454559","Dove Marula Oil and Mango Lotion 400ml","Dove",NA,"1",0.8625
"TOI","FEM","150415","Dove Roll On Original 50ml","Dove","50ml","1",1
"TOI","FEM","150417","Dove Cream Roll On Original 50ml","Dove","50ml",NA,0.9125
"TOI","FEM","243410","Dove Invisible Dry Roll On 48 Hour 40ml","Dove","40ml","1",1
"TOI","FEM","243411","Dove Invisible Roll On 50ml","Dove","50ml","1",1
"TOI","FEM","264313","Dove Anti-Perspirant Spray Original 250ml","Dove","250ml","1",1
"TOI","FEM","269945","Dove Anti-Perspirant Spray Invisible 250ml","Dove","250ml","1",1
"TOI","FEM","319899","Dove Go Fresh Anti-Perspirant 250ml","Dove","250ml","1",1
"TOI","FEM","332848","Dove Anti-Perspirant Anti White Marks 75ml","Dove","75ml",NA,0.9125
"TOI","FEM","412065","Dove Roll On Soft Feel 50ml","Dove","50ml","1",1
"TOI","FEM","450023","Dove Deodorant Go Fresh 250ml","Dove","250ml","1",1
"TOI","FEM","451483","Dove Original Spray Deodorant 150ml","Dove","150ml","1",1
"TOI","FEM","451493","Dove Pomegranate Spray Deodorant 150ml","Dove",NA,NA,0.825
"TOI","MEN","286238","Dove Men+Care Clean ComfortAnti-Perspirant 250ml","Dove","250ml","1",1
"TOI","MEN","286241","Dove Men+Care Extra FreshAnti-Perspirant 250ml","Dove","250ml",NA,0.9125
"TOI","MEN","286461","Dove Men+Care Body and Face Wash Clean Comfort250ml","Dove","250ml",NA,0.9125
"TOI","MEN","332823","Dove Men+Care Deodorant Roll On Clean ComfortAnti-Perspirant 50ml","Dove","50ml","1",1
"TOI","MEN","450369","Dove For Men Shower Gel Minerals And Sage 250ml","Dove",NA,"1",0.9125
"TOI","SHC","442250","Dove Shampoo Daily Care 2in1 400ml","Dove","400ml","1",1
"TOI","SHC","442251","Dove Conditioner Intensive Repair 350ml","Dove","350ml","1",1
"TOI","SHC","442253","Dove Conditioner Daily Care 350ml","Dove","350ml","1",1
"TOI","SHC","442254","Dove Shampoo Intensive Repair 400ml","Dove","400ml","1",1
"TOI","SHC","442256","Dove Shampoo Daily Care 400ml","Dove","400ml","1",1
"TOI","SHC","454550","Dove Coconut Restore Ritual Conditioner 250ml","Dove",NA,"1",0.8625
"TOI","SHC","454553","Dove Lavender Thicken Ritual Conditioner 250ml","Dove",NA,"1",0.8625
"TOI","SHC","454554","Dove Avocado Strengthening Ritual Shampoo 250ml","Dove","250ml","1",0.95
"TOI","SHC","454555","Dove Coconut Restoring Ritual Shampoo 250ml","Dove","250ml","1",0.95
"TOI","SHC","454557","Dove Lavender Thickening Ritual Shampoo 250ml","Dove","250ml","1",0.95
"TOI","SHC","454558","Dove Avocado Strengthening Ritual Conditioner200ml","Dove",NA,"1",0.8625
"TOI","TRA","352738","Dove Body Wash Nourishing 55ml","Dove","55ml","1",1
