"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","MED","317765","Elastoplast Extra Tough Waterproof Plasters 12s","Elastoplast",NA,"12pk",0.9125
"TOI","MED","33575","Elastoplast Water Resistant Plasters 20s","Elastoplast",NA,"20pk",0.9125
"TOI","MED","33577","Elastoplast Fabric Dressing Lengths 6cm x 10cm","Elastoplast","6cmx10cm","10pk",1
"TOI","MED","350181","Elastoplast Sensitive Plasters 20s","Elastoplast",NA,"20pk",0.9125
"TOI","MED","352115","Elastoplast Fabric Plasters 40s","Elastoplast",NA,"1",0.8625
"TOI","MED","352116","Elastoplast Water Resistant Plasters 40s","Elastoplast",NA,"1",0.9125
"TOI","MED","352117","Elastoplast Knee & Elbow Fabric Plasters 10s","Elastoplast",NA,"1",0.9125
"TOI","MED","352118","Elastoplast Disney Family Pack Plasters 40s","Elastoplast",NA,"1",0.9125
"TOI","MED","443856","Elastoplast Disney Frozen Plasters 16s","Elastoplast",NA,NA,0.825
"TOI","MED","443857","Elastoplast Disney Star Wars Plasters 16s","Elastoplast",NA,NA,0.825
