"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","100","313741","Elite Stingray 10 Underwater Filter 50L","Elite","50L",NA,0.86
"PET","100","313745","Elite Stingray 15 Underwater Filter 75L","Elite","75L",NA,0.86
"PET","100","313750","Elite Jet-Flo 100 Replacement Filter Foam 2pk","Elite",NA,"2pk",0.86
"PET","100","313752","Elite Stingray 10 Filter Cartridge with Carbon andZeolite","Elite",NA,"1",0.86
"PET","100","313754","Elite Stingray 15 Filter Cartridge with Carbon andZeolite","Elite",NA,"1",0.86
"PET","100","313756","Elite Stingray 10 Replacement Filter Foam","Elite",NA,"1",0.86
"PET","100","313765","Elite Submersible Aquarium Heater 100W","Elite","100W",NA,0.86
"PET","100","313770","Elite Submersible Aquarium Heater 200W","Elite","200w","1",0.93
"PET","100","313784","Elite Aqua Fizzzz Air Stone for Aquarium Use 3cm","Elite","3cm",NA,0.86
"PET","100","313803","Elite Aqua Fizzzz Air Stone for Aquarium Use 2pk","Elite",NA,NA,0.79
"PET","100","313812","Elite Aqua Fizzzz Aquarium Longstone 10cm","Elite","10cm",NA,0.86
"PET","100","313814","Elite Aqua Fizzzz Air Stone for Aquarium Use 15cm","Elite","15cm",NA,0.86
"PET","100","313817","Elite Aqua Fizzzz Aquarium Longstone Airstone 30.5cm","Elite","30cm",NA,0.86
"PET","100","313824","Elite Bubble Disk 3in (7.5cm)","Elite","Small",NA,0.86
"PET","100","313829","Elite Bubble Disk 4in (10cm)","Elite","Medium","1",0.93
"PET","100","313868","Elite Aquarium Airline Tubing 2m - 6.5 ft, 1.8 x 5mm","Elite","2m",NA,0.86
"PET","100","313871","Elite Aquarium Check Valve","Elite",NA,"1",0.86
"PET","100","313875","Elite 2-Way Air Control Valve","Elite",NA,"1",0.86
"PET","100","314086","Elite Stingray 5 Underwater Filter","Elite",NA,"1",0.86
"PET","100","314326","Elite Stingray 5 Replacement Filter Foam","Elite",NA,"1",0.86
