"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"DIY","ROP","343730","Eliza Tinsley Ceiling Hook Bright Zinc 100 x 6mm2pk","Eliza Tinsley","4x0.25in","2pk",0.883333333333333
"DIY","ROP","343737","Eliza Tinsley Fast Eye Pulley Zinc Plated 38mm","Eliza Tinsley","1.5in","1pk",0.93
"DIY","ROP","343739","Eliza Tinsley Cleat Hook  Zinc Plated 100mm 2pk","Eliza Tinsley","4in","2pk",0.93
"DIY","ROP","343740","Eliza Tinsley Plate Staple Galvanized 50 x 50mm2pk","Eliza Tinsley",NA,"2pk",0.86
"DIY","ROP","343795","Eliza Tinsley Single Jack Chain Bright Zinc 2mm x2mm","Eliza Tinsley","2m",NA,0.86
"DIY","ROP","343796","Eliza Tinsley Single Jack Chain Black 2.5mm x 2m","Eliza Tinsley","2m",NA,0.86
"DIY","ROP","344152","Eliza Tinsley Welded Long Link Chain Bright Zinc2m x 4mm","Eliza Tinsley","2m",NA,0.86
"DIY","ROP","344158","Eliza Tinsley Long Link Chain Welded Bright Zinc6mm x 2m","Eliza Tinsley","6mmx2m",NA,0.86
"DIY","ROP","344336","Eliza Tinsley Carbine Hooks Quick Release Zinc60mm 2pk","Eliza Tinsley","60mm","2pk",0.883333333333333
"DIY","ROP","344372","Eliza Tinsley Quick Repair Link Bright Zinc 4mm2pk","Eliza Tinsley","4mm","2pk",0.93
"DIY","ROP","344394","Eliza Tinsley Ring and Plate Galvanized 50mm","Eliza Tinsley",NA,"1pk",0.86
