"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Model Number","DQ Score"
"SBK","COM","262982","Epson Ink Cartridge Black T0711","Epson",NA,"Black","T0711",0.883333333333333
"SBK","COM","263105","Epson Ink Cartridge Multi T0715 x 4","Epson",NA,"Multi","TO715",0.883333333333333
"SBK","COM","306450","Epson Ink Cartridge T0714 Yellow","Epson",NA,"Yellow","T071",0.833333333333333
"SBK","COM","306451","Epson Ink Cartridge Cyan T0712","Epson",NA,"Green","T071",0.883333333333333
"SBK","COM","306452","Epson Ink Cartridge Magenta T0713","Epson",NA,"Red","T071",0.883333333333333
"SBK","COM","317939","Epson Ink Cartridges T1285 Multipack","Epson",NA,"Multi","T1285",0.883333333333333
"SBK","COM","317949","Epson Ink Cartridge T1281 Black","Epson",NA,"Black","T1281",0.883333333333333
"SBK","COM","332291","Epson Ink Cartridge T1801 Black 18","Epson","5.2ml","Black","T1801",0.941666666666667
"SBK","COM","332292","Epson Ink Cartridge T1802 Cyan 18","Epson","3.3ml","Blue","T1802",0.941666666666667
"SBK","COM","332293","Epson Ink Cartridge T1803 Magenta 18","Epson","3.3ml","Pink","T1803",0.941666666666667
"SBK","COM","332294","Epson Ink Cartridge T1804 Yellow","Epson","3.3ml",NA,"T1804",0.883333333333333
"SBK","COM","332295","Epson Ink Cartridge T1806 Multipack 18","Epson","1x5.2ml, 3x3.3ml","Multi","T1806",0.941666666666667
"SBK","COM","422730","Epson T1801 18XL Black Ink Cartridge","Epson",NA,"Black","C13T18114010",0.883333333333333
"SBK","COM","439502","Epson 2981 Black Ink Cartridge","Epson",NA,"Black","C13T29814010",0.883333333333333
"SBK","COM","439503","Epson 2981 Cyan","Epson",NA,"Blue","C13T29824010",0.883333333333333
"SBK","COM","439504","Epson 2981 Magenta","Epson",NA,"Red","C13T29834010",0.883333333333333
"SBK","COM","439506","Epson 2986 Multi Ink Cartridge","Epson",NA,"Multi","C13T29864010",0.883333333333333
