"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","COS","340006","Essence Kajal Eyeliner Pencil Black 01","Essence",NA,"Black","1",0.93
"TOI","COS","340007","Essence Kajal Eyeliner Pencil White 04","Essence",NA,NA,"1",0.86
"TOI","COS","340034","Essence Kajal Eyeliner Pencil Teddy 08","Essence",NA,NA,"1",0.86
"TOI","COS","340036","Essence Kajal Eyeliner Pencil Feel The Eclipse 21","Essence",NA,NA,"1",0.86
"TOI","COS","340040","Essence Long Lasting Eye Pencil Black Fever 01","Essence",NA,NA,"1",0.86
"TOI","COS","340044","Essence Long Lasting Eye Pencil Hot Chocolate 02","Essence",NA,NA,"1",0.86
"TOI","COS","340047","Essence Long Lasting EyePencil Cool Down 09","Essence",NA,NA,"1",0.86
"TOI","COS","340048","Essence Long Lasting Eye Pencil I Have A Green 12","Essence",NA,NA,"1",0.86
"TOI","COS","340051","Essence Long Lasting Eye Pencil Turqoise 17","Essence",NA,NA,"1",0.86
"TOI","COS","340053","Essence 2in1 Eyeliner Pen","Essence",NA,NA,"1",0.86
"TOI","COS","340055","Essence Blusher Brush","Essence",NA,"Multi","1",0.93
"TOI","COS","340056","Essence Powder Brush","Essence",NA,"Multi","1",0.93
"TOI","COS","340101","Essence Extra Long Lasting Eyeliner Pen Black 01","Essence",NA,"Black","1",0.93
"TOI","COS","340102","Essence Super Fine Eyeliner Pen Black 01","Essence",NA,NA,"1",0.86
"TOI","COS","340104","Essence All Eyes On Me Multi Effect Mascara Black08","Essence",NA,NA,"1",0.86
"TOI","COS","340107","Essence Beauty Secret Fancy Lashes 01","Essence",NA,"Black","1",0.93
"TOI","COS","340127","Essence Maximum Definition Mascara Black 01","Essence",NA,NA,"1",0.86
"TOI","COS","340130","Essence All Eyes On Me Multi Effect MascaraSoft Black 01","Essence",NA,"Black","1",0.93
"TOI","COS","340168","Essence French Manicure Tip Guides","Essence",NA,NA,"1",0.86
"TOI","COS","340169","Essence Quick Dry Top Coat","Essence",NA,NA,"1",0.86
"TOI","COS","340174","Essence French Click and Go Nails","Essence",NA,NA,"1",0.86
"TOI","COS","340203","Essence Liquid Ink Eyeliner Black","Essence",NA,NA,"1",0.86
"TOI","COS","340204","Essence Liquid Ink Eyeliner WaterproofBlack","Essence",NA,"Black","1",0.93
"TOI","COS","340221","Essence Soft Touch Mousse Makeup Matte Sand 01","Essence",NA,NA,"1",0.86
