"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"CLE","DIS","206463","Fairy Power Spray 375ml","Fairy","375ml",NA,NA,0.9125
"CLE","DIS","285764","Fairy Dishwasher Tablets Lemon 31pk","Fairy","629g",NA,"31s",1
"CLE","DIS","293181","Fairy Dishwasher Platinum Tablets Lemon 27pk","Fairy","505g",NA,"27s",1
"CLE","DIS","403605","Fairy Dish Washer Rinse Aid 475ml","Fairy",NA,NA,"1",0.9125
"CLE","DIS","425089","Fairy Original All in One Lemon 44pk","Fairy",NA,NA,"44",0.9125
"CLE","DIS","425091","Fairy Antibacterial Washing Up Liquid withEucalyptus 625ml","Fairy","625ml",NA,"1",1
"CLE","DIS","425096","Fairy Original Lemon 780ml","Fairy","780ml",NA,NA,0.9125
"CLE","DIS","425098","Fairy Original 780ml","Fairy","780ml",NA,NA,0.9125
"CLE","DIS","425101","Fairy Platinum Original 625ml","Fairy","625ml",NA,"1",1
"CLE","DIS","438081","Fairy Lemon 1L","Fairy",NA,NA,"1",0.9125
"CLE","DIS","438082","Fairy Original 1L","Fairy",NA,NA,"1",0.9125
"CLE","DIS","438086","Fairy Clean and Care Rose and Satin Scent 820ml","Fairy","820ml",NA,"1",1
"CLE","DIS","439936","Fairy Original 433ml","Fairy","433ml",NA,"1",1
"CLE","DIS","457302","Fairy Original All in One Lemon DishwasherCapsules 61pk","Fairy",NA,NA,NA,0.825
"CLE","DIS","457303","Fairy Platinum All in One Dishwasher TabletsLemon 50pk","Fairy",NA,NA,NA,0.825
"CLE","LAU","316180","Fairy Gel Non Bio 24 Washes 888ml","Fairy","888ml",NA,"1",1
"CLE","LAU","350034","Fairy Non Bio Regular Detergent Powder 1.43kg","Fairy","1.43kg",NA,"1",1
"CLE","LAU","351265","Fairy Non Bio Liquid 40 Washes 2L","Fairy","2L",NA,NA,0.9125
"CLE","LAU","351266","Fairy Non Bio Liquid 24 Washes 1.2L","Fairy","1.2L",NA,NA,0.9125
"CLE","LAU","400360","Fairy Original Fabric Conditioner 1.1L","Fairy","1.1L",NA,NA,0.9125
"CLE","LAU","400362","Fairy Almond Oils Fabric Conditioner 1.1L","Fairy",NA,NA,"1",0.9125
"CLE","LAU","413969","Fairy Non Bio Liquid Tablets 19 Washes","Fairy",NA,NA,"1",0.9125
"CLE","LAU","413970","Fairy Non Bio Liquid Tablets 30 Washes","Fairy",NA,NA,"1",0.9125
"CLE","LAU","432523","Fairy Powder Non Bio 2.6kg","Fairy",NA,NA,"1",0.9125
"CLE","LAU","441966","Fairy Original Fabric Conditioner 2.905L","Fairy","2.905L",NA,"1",1
"HOU","SCO","427442","Fairy Cleaning Sponge 3in1 Green","Fairy",NA,NA,"2 Pack",0.86
"HOU","SCO","427443","Fairy Cleaning Sponge 3in1 Blue","Fairy",NA,NA,"2 Pack",0.86
"HOU","SCO","427444","Fairy Inox Scourer Ball 3pk","Fairy",NA,NA,NA,0.79
"HOU","SCO","436453","Fairy Platinum Sponge 2pk","Fairy",NA,"Silver","2",0.93
"HOU","SCO","436454","Fairy Multi-Purpose Microfibre Cloth","Fairy",NA,"Green","1",0.93
"HOU","SCO","436455","Fairy Sponge Cloths 3pk","Fairy",NA,"Multi","3",0.93
"HOU","SCO","453871","Fairy Hygienic Scourer Original 2pk","Fairy",NA,NA,"2 Pack",0.86
"HOU","SCO","453872","Fairy Hygienic Scourer Platinum 2pk","Fairy",NA,NA,"2 Pack",0.86
"HOU","SCO","453873","Fairy Hygienic Scourer Delicate 2pk","Fairy",NA,NA,"2",0.86
"HOU","SCO","453874","Fairy Multi Purpose Scourer 4pk","Fairy",NA,NA,"4",0.86
"HOU","SCO","453875","Fairy Scouring Pad Platinum 3pk","Fairy",NA,NA,"3",0.86
"HOU","SCO","453876","Fairy Wiping Pad 3pk","Fairy",NA,NA,"3",0.86
