"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","100","314548","Felix As Good As It Looks Kitten Fish SelectionPouches Assorted 12 x 100g","Felix","100g","12pk",0.93
"PET","CAT","192898","Felix Pouch Cat Food Mixed Selection in Jelly12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","223035","Felix Pouch Cat Food Succulent Steaks in Jelly 12x 100g","Felix","12x100g","12",1
"PET","CAT","243545","Felix Pouch Cat Food Fish Selection in Jelly 12 x100g","Felix","12x100g","12pk",1
"PET","CAT","243546","Felix Pouch Cat Food Gravy Selection in Gravy12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","243693","Felix As Good As It Looks Pouch Cat Food OceanFeast in Jelly 12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","248322","Felix Pouch Cat Food Assorted Meat Selection 12 x100g","Felix","12x100g","12pk",1
"PET","CAT","252490","Felix Kitten Food Plaice Lamb Cod and Chicken12 x 100g","Felix","100g","12",0.93
"PET","CAT","252527","Felix Pouch Cat Food Chicken Turkey Poultry andDuck in Jelly 12 x 100g","Felix","12x100g","1",1
"PET","CAT","260556","Felix As Good As It Looks Pouch Cat FoodFavourites in Jelly 12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","278055","Felix Pouch Cat Food Tuna in Jelly 100g","Felix","100g","1",1
"PET","CAT","286519","Felix Pouch Cat Food Fish and Meat 12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","292507","Felix As Good As It Looks Senior Cat Food Pouchesin Jelly 12 x 100g","Felix","12x100g","12",1
"PET","CAT","292512","Felix Pouch Senior Cat Food Mixed Selection 12 x100g","Felix","12x100g","12",1
"PET","CAT","314550","Felix As Good As It Looks Pouch Cat Food FishSelection in Jelly Senior for Adult Cats 12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","315455","Felix Cat Treats Goody Bag Original Mix 60g","Felix","60g","1",1
"PET","CAT","315456","Felix Cat Treats Goody Bag Mixed Grill 60g","Felix","60g",NA,0.9125
"PET","CAT","315457","Felix Cat Treats Goody Bag Seaside Mix 60g","Felix","60g","1",1
"PET","CAT","316264","Felix As Good As It Looks Pouch Cat Food Meat inJelly 12 x 100g","Felix","12x100g","12",1
"PET","CAT","316265","Felix As Good As It Looks Pouch Cat Food Fish inJelly  12 x 100g","Felix","12x100g","12",1
"PET","CAT","336102","Felix Cat Treats Crispies Salmon and Trout 45g","Felix","45g",NA,0.9125
"PET","CAT","401014","FELIX Mixed Selection in Jelly 40x100g","Felix","40x100g","40",1
"PET","CAT","412187","Felix As Good As It Looks Pouch Cat Food ChickenDuck Pork in Jelly 12 x 100g","Felix","12x100g","12pk",1
"PET","CAT","412931","Felix As Good As It Looks Pouch Cat Food OceanChunks in Jelly 12 x 100g","Felix","12x100g","12",1
"PET","CAT","431383","FELIX AGAIL Mixed Selection in Jelly 40x100g","Felix","40x100g","40",1
"PET","CAT","436235","Felix As Good As It Looks Kitten Food MixedSelection in Jelly 12 x 100g","Felix","12x100g","12",0.93
"PET","CAT","453847","Felix Pouch Cat Food Fish 40x100g","Felix","40x100g","40",0.95
"PET","CAT","453848","Felix As Good As It Looks Doubly Delicious MeatySelection in Jelly 40 x 100g","Felix","40x100g","40",0.95
"PET","CAT","453852","Felix As Good As It Looks Pouch Cat Food MultiVariety Collection 80 x 100g","Felix","80 x 100g","80",0.95
"PET","CAT","453853","Felix Pouch Cat Food Multi VarietyCollection 80 x 100g","Felix","80 x 100g","80",0.95
