"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"FOO","CHO","440191","Ferrero Collection 172g","Ferrero Rocher","172g","1",NA,"No",0.6
"FOO","CHO","440192","Ferrero Raffaello 150g","Ferrero Rocher","150g","1",NA,"No",0.6
"FOO","CHO","450262","Ferrero Rocher T24 300g","Ferrero Rocher",NA,"6",NA,"No",0.65
"FOO","CHO","450263","Ferrero Rocher 3pk 37.5g","Ferrero Rocher","37.5g","1",NA,"No",0.65
"FOO","CHO","90965","Ferrero Rocher 200g","Ferrero Rocher","200g","1",NA,"No",0.65
"FOO","SXM","442128","Kinder Joy Christmas Surprise Egg 20g","Ferrero Rocher","Length 5.3cm, Width 5 cm, Height 8cm","1","Chocolate","No",0.6
"FOO","SXM","442129","Kinder Figures 90g","Ferrero Rocher","90g","1","Chocolate","No",0.6
"FOO","SXM","442130","Kinder Mini Mix House 79g","Ferrero Rocher","Length 4.7cm, Width 9cm, Height 16.5cm","1","Chocolate","No",0.6
"FOO","SXM","442131","Kinder Happy 102g","Ferrero Rocher","Length 8cm, Width 3.5cm, Height 16cm","1","Chocolate","No",0.6
"FOO","SXM","444855","Kinder Chocolate Minis Hanging Star","Ferrero Rocher",NA,"1",NA,"No",0.6
"FOO","SXM","445377","Grand Rocher 125g","Ferrero Rocher","125g","1",NA,"No",0.6
