"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","SUR","213848","Flash Power Mop Cleaning Kit","Flash",NA,"1",0.825
"CLE","SUR","271961","Flash Wooden Floors Mandarin and Cedar Wood Liquid1L","Flash","1L","1",1
"CLE","SUR","278058","Flash Power Mop Multipurpose Cleaning Solution Refill Sea Minerals 1.25L","Flash","1.25L","1",1
"CLE","SUR","278059","Flash Power Mop Multi-Layered Cleaning PadRefills 12pk","Flash","2 Pack","1",0.883333333333333
"CLE","SUR","282140","Flash Antibacterial Cleaning Wipes 60pk","Flash","60 wipes","60pk",1
"CLE","SUR","298343","Flash All Purpose Cleaner Liquid Blossom AndBreeze 1.3L","Flash","1.3L",NA,0.9125
"CLE","SUR","306365","Flash Cleaner All Purpose with Febreze Cotton Fresh 1.3L","Flash","1.3L","1",1
"CLE","SUR","316381","Flash Bathroom All Purpose Cleaner 1L","Flash","1L",NA,0.9125
"CLE","SUR","334359","Flash Gel All Purpose Cleaner Crisp Lemon 400ml","Flash","400ml","1",1
"CLE","SUR","334360","Flash Gel All Purpose Cleaner Blossom 400ml","Flash","400ml","1",1
"CLE","SUR","346495","Flash Extra Power Magic Eraser 2pk","Flash",NA,"2pk",0.86
"CLE","SUR","346497","Flash Magic Eraser Original 1pk","Flash",NA,"1",0.86
"CLE","SUR","347529","Flash Wipes Antibacterial 10pk","Flash","10 wipes","10",1
"CLE","SUR","414749","Flash with Fabreze Bathroom Spray 450ml","Flash","450ml","1",1
"CLE","SUR","414751","Flash With Bleach 3in1 Spray 450ml","Flash","450ml","1",1
"CLE","SUR","414752","Flash with Fairy Kitchen Spray 450ml","Flash",NA,"1",0.9125
"CLE","SUR","414859","Flash All Purpose Cleaner Lemon Spray 469ml","Flash","469ml","1",1
"CLE","SUR","438078","Flash Gel Crisp Lemon Multi Surface Cleaner 885ml","Flash","885ml","1",1
"CLE","SUR","450116","Flash Gel Blossom And Breeze 885ml","Flash",NA,NA,0.825
"CLE","SUR","450117","Flash Liquid With Bleach 1L","Flash",NA,NA,0.825
"CLE","SUR","450118","Flash Liquid Lavender 2.05L","Flash",NA,NA,0.825
"CLE","SUR","450120","Flash All Purpose Cleaner Spray Lemon 2.05L","Flash",NA,NA,0.825
"CLE","SUR","450121","Flash Antibacterial Spray 469ml","Flash",NA,NA,0.825
"CLE","SUR","450122","Flash All Purpose Cleaner Spray Cotton Fresh469ml","Flash",NA,NA,0.825
"CLE","SUR","451206","Flash Wipes Antibacterial 120pk","Flash",NA,NA,0.825
