"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","413895","Fresco Wallpaper Chinese Blossom","Fresco","10m x 0.52m","Purple","1","Paper","No","5.2m²",NA,0.65
"DEC","WAL","413901","Fresco Wallpaper Spring Blossom Silk Shimmer","Fresco","10m x 0.52m","White","1","Paper","No","5.2m²","32-886",0.65
"DEC","WAL","424271","Fresco Wallpaper London Montage Black/Red","Fresco","52cm x 10m",NA,"1","Paper","No","5.2m2","50-841",0.65
"DEC","WAL","436895","Fresco Wallpaper Brick Floral Frames","Fresco","10m x 0.52m","White","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436896","Fresco Wallpaper Trinket Box","Fresco","10m x 0.52m","Grey","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436916","Fresco Wallpaper Dulcie Blue","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436917","Fresco Wallpaper Red Brick Wall","Fresco","10m x 0.52m","Red","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436921","Fresco Wallpaper Flutter Forest Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436929","Fresco Wallpaper Industrial Script Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436933","Fresco Wallpaper Graffiti Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436934","Fresco Wallpaper Bookcases Multicoloured","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","436935","Fresco Wallpaper City At Night Black","Fresco","10m x 0.52m","Black","1","Paper","No","5.2m²","101693",0.65
"DEC","WAL","436936","Fresco Wallpaper Wood Panel Neutral","Fresco","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","438566","Fresco Wallpaper Apple Blossom Teal and Pink","Fresco","10m x 0.52m","Green","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","438567","Fresco Wallpaper Apple Blossom Grey and Pink","Fresco","10m x 0.52m","Grey","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439092","Fresco Wallpaper Cloud 9 Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439097","Fresco Wallpaper Mai Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439098","Fresco Wallpaper Mai Grey","Fresco","10m x 0.52m","Grey","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439099","Fresco Wallpaper Oriental Blue","Fresco","10m x 0.52m","Blue","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439101","Fresco Wallpaper Plank Love Heart","Fresco","10m x 0.52m","Grey","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439104","Fresco Wallpaper Vintage Frames Neutral","Fresco","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439105","Fresco Wallpaper Vision Plum","Fresco","10m x 0.52m","Purple","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","439107","Fresco Wallpaper Wine Bottles","Fresco","10m x 0.52m","Brown","1","Paper",NA,"5.2m²",NA,1
"DEC","WAL","450111","Superfresco Wallpaper Romantic Wood","Fresco","10m x 0.52m","Multi","1","Paper",NA,"5.2m²",NA,1
