"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Age","DQ Score"
"TOI","MED","203135","Gaviscon Heartburn and Indigestion Aniseed300ml","Gaviscon","300ml","1","No","6 Years",0.65
"TOI","MED","274222","Gaviscon Double Action Heartburn and Indigestion150ml","Gaviscon","150ml","1","No","12",0.65
"TOI","MED","280363","Gaviscon Double Action Heartburn and Indigestion300ml","Gaviscon","300ml",NA,"No","12 Years",0.65
"TOI","MED","296543","Gaviscon Heartburn and Indigestion Peppermint300ml","Gaviscon",NA,"1","No",NA,0.65
"TOI","MED","296544","Gaviscon Heartburn and Indigestion Aniseed 150ml","Gaviscon",NA,"1","No",NA,0.65
"TOI","MED","342568","Gaviscon Double Action Liquid 12pk","Gaviscon",NA,"12pk","No",NA,0.65
"TOI","MED","453075","Gaviscon Double Action 12s","Gaviscon",NA,"12","No",NA,0.6
"TOI","MED","453084","Gaviscon Tablets Peppermint 24s","Gaviscon",NA,"24","No",NA,0.6
"TOI","MED","453085","Gaviscon Tablets Peppermint 48s","Gaviscon",NA,"48","No",NA,0.6
"TOI","MED","453086","Gaviscon Strawberry Tablets 24s","Gaviscon",NA,"24","No",NA,0.6
"TOI","MED","453088","Gaviscon Double Action 24s","Gaviscon",NA,"48","No",NA,0.6
"TOI","MED","453089","Gaviscon Double Action 48s","Gaviscon",NA,"24","No",NA,0.6
"TOI","MED","453227","Gaviscon Tablets Strawberry 48s","Gaviscon",NA,"2","No",NA,0.6
