"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FEM","125933","Gillette Simply Venus Disposable Razors 4pk","Gillette",NA,"Multi","4pk",0.883333333333333
"TOI","FEM","176085","Gillette Venus Womens Razor","Gillette",NA,"Multi","1",0.883333333333333
"TOI","FEM","176101","Gillette Venus Classic Women's Razor BladeRefills 4pk","Gillette","4 Pack","Multi","1",0.941666666666667
"TOI","FEM","263524","Gillette Venus Spa Breeze Women's Razor BladeRefills 4pk","Gillette","4 Pack","Multi","1",0.941666666666667
"TOI","FEM","263527","Gillette Venus Spa Breeze Women's Razor with BladeRefill And Shower Holder","Gillette",NA,"Multi","1",0.883333333333333
"TOI","FEM","270061","Gillette Venus Oceana Womens Disposable Razors 3pk","Gillette",NA,"Multi","3pk",0.883333333333333
"TOI","FEM","275282","Gillette Venus Embrace Women's Razor","Gillette",NA,"Multi","1",0.883333333333333
"TOI","FEM","275283","Gillette Venus Embrace Womens Razor Blade Refils4pk","Gillette","4 Pack","Multi","1",0.941666666666667
"TOI","FEM","288189","Gillette Simply Venus Women's Disposable Razors4pk","Gillette","4 Pack","Multi","1",0.941666666666667
"TOI","FEM","288190","Gillette Satin Care Shaving Gel for Dry Skin200ml","Gillette","200ml","Multi","1",0.941666666666667
"TOI","FEM","318562","Gillette Venus Embrace Sensitive Razor","Gillette",NA,"Multi","1",0.883333333333333
"TOI","FEM","318565","Gillette Venus Embrace Sensitive Womens BladeRefills 4pk","Gillette",NA,"Multi","3",0.883333333333333
"TOI","FEM","318567","Gillette Venus Embrace Sensitive WomensDisposable Razors 3pk","Gillette","3 Pack","Multi","1",0.941666666666667
"TOI","FEM","334665","Gillette Venus & Olay Razor Blades 3pk","Gillette","3 Pack","Multi","1",0.941666666666667
"TOI","FEM","334689","Gillette Venus & Olay Women's Razor AndShower Holder","Gillette",NA,"Multi","1",0.883333333333333
"TOI","FEM","430633","Gillette Venus Swirl Razor","Gillette",NA,NA,"1",0.825
"TOI","FEM","430635","Gillette Satin Care Shaving Gel Violet Swirl 200ml","Gillette",NA,NA,"1",0.825
"TOI","FEM","95791","Gillette Shaving Gel Satin Care Sensitive Skin200ml","Gillette","200ml","Multi","1",0.941666666666667
"TOI","MEN","147317","Gillette Mach 3 Men's Razor Blades 4pk","Gillette",NA,"Multi","1",0.85
"TOI","MEN","147318","Gillette Mach3 Men's Razor Blades 8 Refills","Gillette",NA,"Multi","1",0.85
"TOI","MEN","199624","Gillette Mach3 Turbo Mens Razor Blades 4pk","Gillette","4 Pack","Multi","1",0.9
"TOI","MEN","210390","Gillette Mach3 Men's Razor","Gillette",NA,"Multi","1",0.85
"TOI","MEN","214467","Gillette Shaving Foam Sensitive Skin 200ml","Gillette","200ml","Multi","1",0.9
"TOI","MEN","225958","Gillette Contour Plus Replacement Cartridges10pk","Gillette","10 Pack","Multi","1",0.9
"TOI","MEN","247676","Gillette Fusion Mens Razor","Gillette",NA,"Multi","1",0.85
"TOI","MEN","247678","Gillette Fusion Hydra Gel Sensitive Skin 200ml","Gillette","200ml","Multi","1",0.9
"TOI","MEN","247680","Gillette Fusion Mens Razor Blades 4pk","Gillette",NA,"Multi","1",0.85
"TOI","MEN","278842","Gillette Mach3 Disposable Razor 3pk","Gillette",NA,"Multi","1",0.85
"TOI","MEN","286209","Gillette Blue III Disposibles 4pk","Gillette",NA,"Multi","4",0.85
"TOI","MEN","302123","Gillette Fusion Proglide Hydrating Shave Gel 200ml","Gillette","200ml","Multi","1",0.9
"TOI","MEN","323304","Gillette Fusion Proglide Mens Razor Blades4pk","Gillette",NA,"Multi","1",0.85
"TOI","MEN","323307","Gillette Fusion Proglide Power Mens Razor Blades4pk","Gillette","4 Pack","Multi","1",0.9
"TOI","MEN","332715","Gillette Sensor 3 Sensitive Mens DisposableRazors 4pk","Gillette","4 Pack","Multi","1",0.9
"TOI","MEN","333108","Gillette Fusion Power Mens Razor Blades 4pk","Gillette",NA,"Multi","1",0.85
"TOI","MEN","33777","Gillette Shaving Foam Regular 200ml","Gillette","200ml","Multi","1",0.941666666666667
"TOI","MEN","402966","Gillette Sensor 3 Disposable Razors 8pk","Gillette",NA,"Multi","8",0.85
"TOI","MEN","412360","Gillette Fusion Proglide Sensitive Ocean BreezeShaving Gel 170ml","Gillette",NA,NA,"1",0.8
"TOI","MEN","412364","Gillette Fusion Proglide Sensitive Active SportShaving Gel 170ml","Gillette",NA,NA,"1",0.8
"TOI","MEN","413174","Gillette Fusion Proglide Razor with FlexBallTechnology","Gillette",NA,NA,"1",0.8
"TOI","MEN","413176","Gillette Fusion Proglide Power Razor withFlexBall Technology","Gillette",NA,NA,"1",0.8
"TOI","MEN","427806","Gillette Mach 3 Sensitive  Gel 200ml","Gillette",NA,NA,"1",0.8
"TOI","MEN","430638","Gillette Fushion Proshield Chill Blades 4pk","Gillette",NA,NA,NA,0.75
"TOI","MEN","430639","Gillette Fusion Proshield Blades 4pk","Gillette",NA,NA,NA,1
"TOI","MEN","430640","Gillette Fusion Proshield Manual Razor","Gillette",NA,NA,"1",0.86
"TOI","MEN","430641","Gillette Fusion Proshield Manual Chill Razor","Gillette",NA,NA,"1",0.8
"TOI","MEN","431266","Gillette Blue 2 Disposable Razor 8pk","Gillette",NA,NA,"8pk",0.8
"TOI","MEN","433592","Gillette Mach 3 Turbo Mens Razor","Gillette",NA,NA,NA,0.766666666666667
"TOI","MEN","438806","Gillette Mach 3 Razor + 11 Blades","Gillette",NA,NA,NA,0.75
"TOI","MEN","450094","Gillette Fusion Razor and 10 Blades","Gillette",NA,NA,"10",0.8
"TOI","MEN","450095","Gillette Fusion Proshield Razor 3 Blades","Gillette",NA,NA,"3",0.8
"TOI","MEN","451677","Gillette Blue II Disposable Razors 20pk","Gillette",NA,NA,"20",0.8
"TOI","MEN","453461","Gillette ProShield Razor and 8 Blades","Gillette",NA,NA,"1",0.8
"TOI","MEN","47690","Gillette Blue II Disposable Razor 5pk","Gillette",NA,"Multi","5pk",0.883333333333333
"TOI","MEN","63196","Gillette Sensitive Skin Shave Gel 200ml","Gillette","195g","Multi","1",0.941666666666667
"TOI","MEN","71935","Gillette Series Moisturizing Shaving Gel 200ml","Gillette","200ml","Multi","1",0.9
"TOI","MEN","71936","Gillette Series Sensitive Skin Shaving Gel 200ml","Gillette","200ml","Multi","1",0.9
"TOI","MEN","78871","Gillette Sensor Excel 5 Refill Blades","Gillette",NA,"Multi","1",0.85
"TOI","TRA","254650","Gillette Series Gel Sensitive Skin - Cool Wave Shave Gel 75ml","Gillette","75ml",NA,NA,0.9125
"TOI","TRA","351875","Satin Care Shave Gel Sensitive 75ml","Gillette","75ml",NA,"1",0.95
