"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","436890","Graham and Brown Wallpaper Boutique Dynasty PlainCream","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","436891","Graham and Brown Wallpaper Boutique Dynasty Cream","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","436902","Contour Wallpaper Aurora Gold/Silver","Graham & Brown","10m x 0.52m","White","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","436904","Contour Wallpaper Earthen Mid Grey","Graham & Brown","10m x 0.52m","Grey","1","Paper","No","5.2m²","18092",0.6
"DEC","WAL","436905","Contour Wallpaper Aurora Black/Silver","Graham & Brown","10m x 0.52m","Black","1","Paper","No","5.2m²","20-144",0.6
"DEC","WAL","436914","Graham and Brown Wallpaper Kids at Home Vintage Blue","Graham & Brown","10m x 0.52m","Blue","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","436947","Contour Wallpaper Earthen Beige","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439110","Graham and Brown Wallpaper Vinyl Chenille Beige/Gold","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439114","Graham and Brown Wallpaper Vinyl Devore Silver","Graham & Brown","10m x 0.52m","Silver","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439115","Graham and Brown Wallpaper Vinyl Flamenco Charcoal/Silver","Graham & Brown","10m x 0.52m","Black","1","Paper","Yes","5.2m²","101409",0.6
"DEC","WAL","439118","Graham and Brown Wallpaper Vinyl Flamenco Taupe/Champagne","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439125","Graham and Brown Wallpaper Vinyl Moonstone Chocolate/Copper","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439128","Graham and Brown Wallpaper Vinyl Opal Damask White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439135","Graham and Brown Wallpaper Vinyl Tango White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
"DEC","WAL","439138","Graham and Brown Wallpaper Vinyl Twist Ivory/Gold","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,"5.2m²",NA,0.95
