"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Assembly","Model Number","DQ Score"
"SBK","COM","255933","HP Inkjet Print Cartridge Black 21","HP","Black",NA,NA,"HP21",0.883333333333333
"SBK","COM","263107","HP Ink Cartridge Black HP350 4.5ml","HP","Black",NA,NA,"HP350",0.883333333333333
"SBK","COM","278854","HP Ink Cartridge Combo HP 21/22 Black/Colour","HP","Multi",NA,NA,"HP21/22",0.883333333333333
"SBK","COM","281032","HP Ink Cartridge 300 Black","HP","Black",NA,NA,"HP300",0.883333333333333
"SBK","COM","285748","HP Ink cartridge 2 Pack  350+351 Black/Tri-Colour","HP","Multi",NA,NA,"HP350/351",0.883333333333333
"SBK","COM","304161","HP Ink Cartridge Colour HP301","HP","Multi",NA,NA,"HP301",0.883333333333333
"SBK","COM","304164","HP Ink Cartridge Black 301","HP","Black",NA,NA,"HP301",0.883333333333333
"SBK","COM","306453","HP Ink Cartridge Black 364","HP","Black",NA,NA,"HP364",0.883333333333333
"SBK","COM","306454","HP Inkjet Print Cartridge Tri Colour + Black 300 Set","HP","Multi",NA,NA,"HP300",0.883333333333333
"SBK","COM","334058","HP Inkjet Print Cartridge Black 301 XL","HP","Black",NA,NA,NA,0.825
"SBK","COM","334059","HP Inkjet Print Cartridge Tri-Colour 301 XL","HP","Multi",NA,NA,NA,0.825
"SBK","COM","334626","HP Inkjet Print Cartridge Magenta 364","HP","Pink",NA,NA,NA,0.825
"SBK","COM","334765","HP Inkjet Print Cartridge Yellow 364","HP","Yellow",NA,NA,NA,0.825
"SBK","COM","349273","HP Wireless Mouse","HP",NA,"1","No",NA,0.65
"SBK","COM","413851","HP364XL Black Ink Cartridge","HP","Black",NA,NA,"CN684EE-301",0.883333333333333
"SBK","COM","428234","HP No302 Tri Colour RT Ink Cartridge","HP","Multi",NA,NA,"F6U65AE301",0.883333333333333
"SBK","COM","428235","HP No302 Black RT Ink Cartridge","HP","Black",NA,NA,"F6U66AE301",0.883333333333333
"SBK","COM","428237","HP No302XL Black RT Ink Cartridge","HP","Black",NA,NA,"F6U68AE301",0.883333333333333
"SBK","COM","439512","HP 301 Combo","HP","Multi",NA,NA,"N9J72AE301",0.883333333333333
"SBK","COM","439513","HP 364 Combo","HP",NA,NA,NA,"N9J73E301",0.825
"SBK","COM","439514","HP 62 2 Pack","HP",NA,NA,NA,NA,0.766666666666667
