"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","PAR","334339","Illooms Light Up Balloons Happy Birthday","Illoom",NA,NA,"1",0.86
"SBK","PAR","413605","Illooms Light Up Balloons Mixed Faces 5pk","Illoom",NA,NA,"5",0.86
"SBK","PAR","413606","Illooms Light Up Balloons Pink Happy Birthday 5pk","Illoom","Inflated balloon 23cm diameter","Pink","5",1
"SBK","PAR","413610","Illooms Light Up Balloons Plain Mixed Colour 5pk","Illoom",NA,NA,"5pk",0.86
"SBK","PAR","441597","Illooms Light Up Balloons Marble 5pk","Illoom","Inflated balloon 23cm diameter","Multi","5",1
"SBK","PAR","441599","Illooms Light Up Balloons Pink Marble 5pk","Illoom","Inflated balloon 23cm diameter","Multi","5",1
"SBK","PAR","441600","Illooms Light Up Balloons Mixed 15pk","Illoom","Inflated balloon 23cm diameter","Multi","15",1
"SBK","PAR","441601","Illooms Light Up Balloons Disney Princess 5pk","Illoom","Inflated balloon 23cm diameter","Multi","5",1
"SBK","PAR","441603","Illooms Light Up Balloons Marvel Avengers 5pk","Illoom","Inflated balloon 23cm diameter","Multi","5",1
"SBK","PAR","441605","Illooms Light Up Balloons Stars 5pk","Illoom","Inflated balloon 23cm diameter","Multi","5",1
"SBK","PAR","441606","Illooms Light Up Balloons Blue Happy Birthday 5pk","Illoom","Inflated balloon 23cm diameter","Blue","5",1
