"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Model Number","DQ Score"
"SBK","COM","348825","Integral 16GB USB 2.0 Flash Drive Xpression","Integral","16GB",NA,NA,NA,"No",NA,NA,NA,0.65
"SBK","COM","348828","Intergral Noir USB 3.0 Flash Drive Black 16GB","Integral","16GB",NA,NA,NA,"No",NA,"16GB",NA,0.6
"SBK","COM","348830","Integral 32GB UltimaPro SDHC Memory Card 45MB/s","Integral","32GB",NA,"1",NA,"No",NA,NA,NA,0.65
"SBK","COM","348832","Integral 32GB UltimaPro microSDHC Memory Card 40MB/s","Integral","32GB",NA,"1",NA,"No",NA,"32GB",NA,0.65
"SBK","COM","413837","Integral 16GB USB 3.0 Flash Drive Metal Fusion","Integral","16GB",NA,"1",NA,"No",NA,NA,NA,0.65
"SBK","COM","413838","Integral 32GB USB 3.0 Flash Drive Metal Fusion","Integral","32GB",NA,"1",NA,"No",NA,NA,NA,0.65
"SBK","COM","428835","Integral 32GB USB 3.0 Flash Drive Noir","Integral","32GB","Black","1","Plastic","No","USB Powered","32GB","INFD32GBNOIR3.0",0.65
"SBK","COM","428836","Integral 3.0 16GB Data Transfer Dual USB","Integral","16GB","Blue","1","Plastic","No","USB Powered","16GB","INFD16GBSLDOTG30",0.65
"SBK","COM","428837","Integral 32GB USB 3.0 and Micro USB Flash Drive","Integral","32GB","Blue","1","Plastic","No","USB Powered","32GB","INFD32GBSLDOTG30",0.65
"SBK","COM","428840","Integral Dual Slot USB Card Reader","Integral",NA,"White","1","Plastic","No","USB Powered",NA,"INCRSDMSD",0.65
