"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"PET","100","334155","Komodo Ceramic Heater ES 100W","Komodo",0.95
"PET","100","334160","Komodo Daylight Neodymium Spot Bulb ES 150W","Komodo",1
"PET","100","334162","Komodo Daylight Neodymium Spot Bulb BC 75W","Komodo",1
"PET","100","334163","Komodo Daylight Neodymium Spot Bulb BC 100W","Komodo",1
"PET","100","334168","Komodo Infrared 24 hours Heat Source Spot Bulb Bulb ES 50W","Komodo",0.95
"PET","100","334169","Komodo Infrared 24 hours Heat Source Spot Bulb ES75W","Komodo",0.95
"PET","100","334170","Komodo Infrared 24 hours Heat Source Spot Bulb ES100W","Komodo",0.95
"PET","100","334175","Komodo Basking Spot Bulb ES 150W","Komodo",0.95
"PET","100","334180","Komodo Sun Strip Tube 5.0 UVB 35cm/14in 10W","Komodo",0.95
"PET","100","334185","Komodo On/Off Thermostat 300W","Komodo",0.95
"PET","100","334186","Komodo Dimmer Thermostat 600W","Komodo",0.95
"PET","100","334187","Komodo Advanced Heat Mat Black 7W 142mmx274mm","Komodo",0.95
"PET","100","334188","Komodo Advanced Heat Mat Black 15W 276mmx274mm","Komodo",0.95
"PET","100","334196","Komodo Terrarium Decoration Hanging Abutilon Silk82527","Komodo",0.95
"PET","100","334197","Komodo Terrarium Decoration Hanging Plant Croton Medium 82530","Komodo",0.95
"PET","100","334198","Komodo Terrarium Decoration Jungle Plant Split Philodendron 82533","Komodo",0.95
"PET","100","334200","Komodo Terrarium Dish Critter Bowl Small","Komodo",0.95
"PET","100","334201","Komodo Terrarium Dish Critter Bowl Medium","Komodo",0.95
"PET","100","334202","Komodo Terrarium Dish Critter Bowl Large","Komodo",0.95
"PET","100","334204","Komodo Mealworm Holding Dish Brown Small","Komodo",1
"PET","100","334205","Komodo Smart Dish Mealworm Holder Brown","Komodo",1
"PET","100","334206","Komodo Decoration For Terrarium Terraced Dish Sandstone Small","Komodo",0.95
"PET","100","334211","Komodo Decoration For Terrarium Terraced Dish Brown Large","Komodo",0.95
"PET","100","334215","Komodo Decoration For Terrarium Basking Corner Platform Sandstone Small","Komodo",0.95
"PET","100","334216","Komodo Decoration For Terrarium Basking Corner Platform Grey Small","Komodo",0.95
"PET","100","334217","Komodo Resin Decoration For Terrarium Basking Platform Orange","Komodo",0.95
"PET","100","334223","Komodo Leopard Gecko Dusting Powder Premium 75g","Komodo",1
"PET","100","334228","Komodo Tortoise Diet Complete Holistic Dandelion 340g","Komodo",1
"PET","100","334230","Komodo Tortoise Diet Complete Holistic Fruit and Flower 340g","Komodo",1
"PET","100","334238","Komodo Tropical Terrain Compact Brick","Komodo",1
"PET","100","334240","Komodo Tropical Terrain Rainforest Substrate 6L","Komodo",1
"PET","100","334241","Komodo Aspen Bed Terrain Snake Substrate 6L","Komodo",1
"PET","100","428948","Komodo Tortoise Flower Mix 60g","Komodo",0.95
"PET","100","428951","Komodo Chamomile Flower 60g","Komodo",0.95
"PET","100","428952","Komodo Nutri-Cal 75g","Komodo",0.95
"PET","100","428954","Komodo CaCo Sand White 4kg","Komodo",1
"PET","100","428955","Komodo Wooden Hide Small","Komodo",0.95
"PET","100","428956","Komodo Wooden Hide Regular","Komodo",0.95
"PET","100","428957","Komodo Wooden Hide Large","Komodo",0.95
"PET","100","428958","Komodo Raptor Skull Small","Komodo",0.95
"PET","100","454286","Komodo Caco Sand Volcanic Blend","Komodo",0.95
"PET","100","454287","Komodo Caco Sand Amethyst Blend","Komodo",0.95
"PET","100","454288","Komodo Natural Reptile Sand 5kg","Komodo",0.95
"PET","100","454289","Komodo Habitat Moss Compact Brick 100g","Komodo",1
"PET","100","454290","Komodo Beastie Balls Insect Reptile Hydration330ml","Komodo",0.95
"PET","100","454291","Komodo Twin Jelly Pot Holder","Komodo",1
"PET","100","454292","Komodo Forest Jelly Pot Holder","Komodo",0.95
"PET","100","454293","Komodo Jelly Pots Mixed Flavours 8pk","Komodo",0.95
"PET","100","454294","Komodo Jelly Pots Calcium 8pk","Komodo",0.95
