"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","MED","169600","Lemsip Max Cold and Flu Lemon 10pk","Lemsip","10pk",0.9125
"TOI","MED","280371","Lemsip Max Cold and Flu Capsules 16pk","Lemsip","16pk",0.9125
"TOI","MED","284642","Lemsip All in One Capsules 8pk","Lemsip","8pk",0.9125
"TOI","MED","296555","Lemsip Max Blackcurrant Sachets 10pk","Lemsip","10pk",0.9125
"TOI","MED","296556","Lemsip Max All in 1 Cold and Flu Capsules 16pk","Lemsip","16pk",0.9125
"TOI","MED","330044","Lemsip Cough Mucus Sachets 10pk","Lemsip","10pk",0.9125
"TOI","MED","330047","Lemsip Cough Mucus Cough Capsules 16pk","Lemsip","16pk",0.9125
"TOI","MED","33658","Lemsip Cold and Flu Lemon 10pk","Lemsip","10pk",0.9125
"TOI","MED","351392","Lemsip Max Day and Night Capsules 16pk","Lemsip","16",0.9125
"TOI","MED","409277","Lemsip Cough Chesty Drink Sachets 10pk","Lemsip","10",0.9125
"TOI","MED","423969","Lemsip Max All In One Lemon 4 Sachets","Lemsip","1",0.9125
"TOI","MED","423970","Lemsip Max All In One Lemon 8 Sachets","Lemsip","1",0.9125
"TOI","MED","444889","Lemsip Chesty Cough Liquid 180ml","Lemsip",NA,0.825
"TOI","MED","444890","Lemsip Dry Cough Liquid 180ml","Lemsip",NA,0.825
