"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","LAU","224579","Lenor Tumble Dryer Sheets Summer Breeze 34pk","Lenor",NA,"34s",0.9125
"CLE","LAU","400321","Lenor Unstoppables Fresh 275g","Lenor","275g",NA,0.9125
"CLE","LAU","400324","Lenor Unstoppables Fresh 375g","Lenor","375g","1",1
"CLE","LAU","400325","Lenor Unstoppables Lavish 375g","Lenor","375g","1",1
"CLE","LAU","400330","Lenor Fabric Conditioner Spring Awakening44 Washes 1.1L","Lenor",NA,"1",0.9125
"CLE","LAU","400334","Lenor Fabric Conditioner Summer Breeze 44 Washes1.1L","Lenor",NA,"1",0.9125
"CLE","LAU","400338","Lenor Fabric Conditioner Moonlight Harmony44 Washes 1.1L","Lenor",NA,"1",0.9125
"CLE","LAU","400341","Lenor Fabric Conditioner Fresh Meadow 44 Washes1.1L","Lenor","1.1L","1",1
"CLE","LAU","400344","Lenor Fabric Conditioner Ocean Escape 37 Washes925ml","Lenor","925ml","1",1
"CLE","LAU","400350","Lenor Fabric Conditioner Ruby Jasmine 37 Washes925ml","Lenor","925ml",NA,0.9125
"CLE","LAU","400353","Lenor Fabric ConditionerGold Orchid 37 Washes925ml","Lenor","925ml",NA,0.9125
"CLE","LAU","400356","Lenor Fabric Softener Emerald 37 Washes 925ml","Lenor","925ml",NA,0.9125
"CLE","LAU","422363","Lenor Unstoppables Uplift 275g","Lenor","275g","1",1
"CLE","LAU","428910","Lenor Gold Orchid Fabric Conditioner 1.8L","Lenor","1.8L","1",1
"CLE","LAU","428911","Lenor Ocean Escape Fabric Conditioner 1.8L","Lenor","1.8L","1",1
"CLE","LAU","432514","Lenor Unstoppables Spring 375g","Lenor","375g","1",1
"CLE","LAU","432515","Lenor Unstoppables Spring 275g","Lenor","275g","1",0.95
"CLE","LAU","441964","Lenor Spring Awakening Fabric Conditioner2.905L","Lenor",NA,"1",0.9125
"CLE","LAU","441965","Lenor Fabric Conditioner Summer Breeze83 Washes","Lenor",NA,"1",0.9125
"CLE","LAU","441980","Lenor Unstoppables Dreams 375g","Lenor",NA,"1",0.825
"CLE","LAU","450762","Lenor Premium Peony Fabric Conditioner 1.8L","Lenor",NA,NA,0.775
"CLE","LAU","450763","Lenor Deep Sea Minerals Fabric Conditioner875ml","Lenor","875ml","1",0.95
"CLE","LAU","450764","Lenor Silk Tree Blossom Fabric Conditioner875ml","Lenor","875ml","1",0.95
"CLE","LAU","450765","Lenor Shea Butter Fabric Conditioner875ml","Lenor","875ml","1",0.95
"CLE","LAU","454182","Lenor Fabric Conditioner 925mlWild Flower Bloom","Lenor","925ml","1",0.95
