"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","DES","349437","Maped Eraser Zenoa","Maped",NA,NA,NA,0.825
"SBK","DES","349445","Maped 21cm Soft Touch Scissors","Maped","21cm",NA,NA,0.86
"SBK","DES","417409","Kidz Universal Holder Compass","Maped","15 x 70 x 190mm",NA,"1",0.95
"SBK","DES","417412","Moondo Pencil Sharpener and Eraser","Maped","40 x 20 x 70mm",NA,"1",0.95
"SBK","DES","417413","Boogy 1 Hole Pencil Sharpener","Maped","15 x 65 x 125mm",NA,"1",0.95
"SBK","DES","417416","Technic Wings Eraser","Maped","125 x 65 x 22mm",NA,"1",0.95
"SBK","DES","417417","Croc Croc 1 Hole Pencil Sharpener","Maped","125 x 95 x 46mm",NA,"1",0.95
"SBK","DES","417419","Maped Ice Fun Pen Sky Blue","Maped","17.6 x 6 x 1.9cm","Blue","1",1
"SBK","DES","417420","Maped Ice Fun Pen Pink","Maped","17.6 x 6 x 1.9cm","Pink","1",1
"SBK","DES","417421","Maped Ice Fun Pen Purple","Maped","17.6 x 6 x 1.9cm","Purple","1",1
"SBK","DES","417422","Maped Ice Fun Pen Apple Green","Maped","17.6 x 6 x 1.9cm","Green","1",1
"SBK","DES","417423","Study Compass And Universal Holder","Maped",NA,NA,NA,0.775
"SBK","DES","434300","Maped Ice Fun Pen Black","Maped","17.6 x 6 x 1.9cm","Black","1",1
