"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Capacity","Model Number","DQ Score"
"KIT","ELE","404248","Morphy Richards 6 piece co-ordinated storage set Red 974100","Morphy Richards",NA,"Red",NA,NA,"974100",0.85
"KIT","ELE","404249","Morphy Richards 6 piece co-ordinated storage set Black 974101","Morphy Richards",NA,"Black",NA,NA,"974101",0.85
"KIT","ELE","404263","Morphy Richards Accents Saute Pan with Glass LidCream 28cm","Morphy Richards",NA,"Cream",NA,NA,"46352",0.85
"KIT","ELE","404264","Morphy Richards 24cm Stainless Steel Casserole Pan970007","Morphy Richards",NA,"Metal",NA,NA,"970007",0.85
"KIT","ELE","404265","Morphy Richards Casserole Pan Red 24cm","Morphy Richards",NA,"Red",NA,NA,"46371",0.85
"KIT","ELE","404266","Morphy Richards Casserole Pan Black 24cm","Morphy Richards",NA,"Black",NA,NA,"46370",0.85
"KIT","ELE","404269","Morphy Richards 24cm White Casserole Pan 46374","Morphy Richards",NA,"White",NA,NA,"79007",0.85
"KIT","ELE","404270","Morphy Richards Casserole Pan Cream 24cm","Morphy Richards",NA,"Cream",NA,NA,"46372",0.85
"KIT","ELE","404279","Morphy Richards Accents Whistling Kettle Plum2.5L","Morphy Richards",NA,"Purple",NA,"2.5 Litres","46503",0.9
"KIT","ELE","404287","Morphy Richards Professional Tri-Ply CasserolePot 24cm","Morphy Richards",NA,"Metal",NA,NA,"79806",0.85
"KIT","ELE","404288","Morphy Richards Professional Tri-Ply Saute PanStainless Steel 28cm","Morphy Richards",NA,"Metal",NA,NA,"79807",0.85
"KIT","ELE","444736","Morphy Richards Accents Round Sensor Bin Red 50L974140","Morphy Richards","50L","Red",NA,NA,"974140",0.9
"KIT","ELE","444737","Morphy Richards Accents Round Sensor Bin Black50L 974141","Morphy Richards","50L","Black",NA,NA,"974141",0.9
"KIT","ELE","444739","Morphy Richards Accents Round Sensor Bin Cream50L 974143","Morphy Richards","50L","Cream",NA,NA,"974143",0.9
"KIT","ELE","444740","Morphy Richards Accents Round Sensor Bin White50L 974144","Morphy Richards","50L","White",NA,NA,"974144",0.9
"KIT","ELE","444744","Morphy Richards Accents Round Sensor BinStainless Steel 50L 974148","Morphy Richards","50L","Silver",NA,NA,"974148",0.9
"KIT","ELE","444753","Morphy Richards Chroma Square Sensor Bin Red 42L971501MO","Morphy Richards","42L","Red",NA,NA,"971501MO",0.9
"KIT","ELE","444758","Morphy Richards Chroma Round Sensor Bin Red 42L971511MO","Morphy Richards","42L","Red",NA,NA,"971511MO",0.9
"KIT","ELE","444760","Morphy Richards Chroma Round Sensor Bin Cream 42L971513MO","Morphy Richards","42L","Cream",NA,NA,"971513MO",0.9
"KIT","ELE","444763","Morphy Richards Chroma Square Sensor Bin Black50L 971517MO","Morphy Richards","50L","Black",NA,NA,"971517MO",0.9
"KIT","ELE","444765","Morphy Richards Chroma Square Sensor BinStainless Steel 50L 971519MO","Morphy Richards","50L","Silver",NA,NA,"971519MO",0.9
"KIT","ELE","444766","Morphy Richards Chroma Round Sensor Bin Red 50L","Morphy Richards","50L","Red",NA,NA,NA,0.85
"KIT","ELE","444767","Morphy Richards Chroma Round Sensor Bin Black 50L","Morphy Richards","50L","Black",NA,NA,"971522/MO",0.9
"KIT","ELE","444768","Morphy Richards Chroma Round Sensor Bin Cream 50L","Morphy Richards","50L","Cream",NA,NA,"971523/MO",0.9
"KIT","ELE","444769","Morphy Richards Chroma Round Sensor Bin StainlessSteel 50L","Morphy Richards","50L","Silver","1",NA,NA,0.941666666666667
"KIT","ELE","444781","Morphy Richards Equip Jug Scale Black 46610","Morphy Richards","5Kg","Black",NA,NA,"46610",0.9
"KIT","ELE","444782","Morphy Richards Equip Jug Scale Red 46611","Morphy Richards","5Kg","Red","1",NA,NA,1
"KIT","ELE","444784","Morphy Richards Equip Jug Scale Graphite 970523","Morphy Richards","5Kg","Multi",NA,NA,"970523",0.9
"KIT","GAD","444694","Morphy Electronic Salt and Pepper MillStainless Steel","Morphy Richards","5.7 X 5.7 X25 cm","Silver","1",NA,NA,0.95
"KIT","GAD","444698","Morphy Richards Accents Electronic Salt Pepper Mill Copper 974235","Morphy Richards","5.7 X 5.7 X25 cm","Metal","1",NA,NA,1
"KIT","GAD","444700","Morphy Richards Accents 5pc Tool Set Red 46821","Morphy Richards","5 piece","Red",NA,NA,"46821",0.9
"KIT","GAD","444703","Morphy Richards Accents Tool Set Stainless Steel5pcs","Morphy Richards","5 piece","Silver",NA,NA,"46825",0.9
