"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","282909","Arthouse Wallpaper Opera Da Vinci Damask Cream 405101","Opera","10m x 0.53m","Cream","1","No","5.33m²","405101",0.65
"DEC","WAL","282910","Arthouse Wallpaper Opera Da Vinci Damask TexturedBlack 405107","Opera","10m x 0.53m","Black","1","No","5.33m²","405107",0.65
"DEC","WAL","285158","Arthouse Wallpaper Opera Adelphi Textured Stripe Red 905401","Opera","10m x 0.53m","Red","1","No","5.33m²",NA,0.65
"DEC","WAL","307020","Opera Wallpaper Heavyweight Super Stripe Blue 533602","Opera","10m x 0.53m","Blue","1","No","5.33m²","533602",0.65
"DEC","WAL","307022","Opera Wallpaper Heavyweight Retro Leaf Teal/Green408207","Opera","10m x 0.53m","Multi","1","No","5.33m²",NA,0.65
"DEC","WAL","307045","Opera Wallpaper Luxury Weight Textured Samba PlainCream 405902","Opera","10m x 0.53m","Cream","1","No","5.33m²","405902",0.65
"DEC","WAL","315081","Arthouse Samba Motif Aqua 406009","Opera","10m x 0.53m","Blue","1","No","5.33m²","405009",0.6
"DEC","WAL","319987","Arthouse Wallpaper Opera Boulevard Neutral 417905","Opera","10m x 0.53m","Cream","1","No","5.33m²","417905",0.65
"DEC","WAL","331981","Arthouse Wallpaper Opera Anouska Teal 871105","Opera","10m x 0.53m","Blue","1","No","5.33m²",NA,0.65
"DEC","WAL","336853","Arthouse Wallpaper Opera Diva Textured Neutral 871501","Opera","10m x 0.53m","Cream","1","No","5.33m²",NA,0.65
