"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","BAN","271187","Pampers Baby Dry Size 4+ Maxi Plus 24pk","Pampers","Maxi Plus","1",0.93
"TOI","BAN","271188","Pampers Baby Dry Size 5 Junior 23pk","Pampers","Stage 5, Junior","23pk",0.93
"TOI","BAN","271189","Pampers Baby Dry Size 5+ Junior Plus 22pk","Pampers","Junior Plus","22pk",0.93
"TOI","BAN","290664","Pampers New Baby Nappies Size 1 22pk","Pampers",NA,"23",0.86
"TOI","BAN","290665","Pampers New Baby Size 2 32pk","Pampers","Stage 2, Mini","32pk",0.93
"TOI","BAN","290666","Pampers New Baby Size 3 Midi 29pk","Pampers","Stage 3","1",0.93
"TOI","BAN","307112","Pampers Sensitive Baby Wipes 56pk","Pampers",NA,"56pk",0.86
"TOI","BAN","307113","Pampers Baby Wipes Fragrance Free 64pk","Pampers",NA,"64pk",0.86
"TOI","BAN","307114","Pampers Fragrance Free Baby Wipes 64pk","Pampers","64 Wipes","1",0.93
"TOI","BAN","341558","Pampers Baby Dry Size 6 Extra Large Nappies 19pk","Pampers",NA,"19pk",0.86
"TOI","BAN","341566","Pampers Baby Dry 6+ Extra Large Plus Nappies 19pk","Pampers",NA,"19pk",0.86
"TOI","BAN","417461","Pampers Baby Dry Size 6 Extra Large 33pk","Pampers",NA,NA,0.79
"TOI","BAN","417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers",NA,NA,0.79
"TOI","BAN","417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers",NA,NA,0.79
"TOI","BAN","417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers",NA,NA,0.79
"TOI","BAN","430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers",NA,NA,0.79
"TOI","BAN","430354","Pampers Baby Dry Pants Size 5 Junior 21pk","Pampers",NA,NA,0.79
"TOI","BAN","430357","Pampers Baby Dry Pants Size 4 Maxi 23pk","Pampers",NA,NA,0.79
"TOI","BAN","446371","Pampers Baby Dry Size 6+ Extra Large Plus 30pk","Pampers",NA,"30",0.86
"TOI","BAN","446372","pampers Baby Dry Nappies Size 3 Midi 50pk","Pampers",NA,"50",0.86
"TOI","BAN","446373","Pampers Baby Dry Nappies Size 4+ Maxi 41pk","Pampers",NA,"41",0.86
