"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Age","DQ Score"
"FOO","SXM","441977","Paw Patrol Selection Box 48g","Paw Patrol","48",NA,"1","No",NA,NA,0.65
"FOO","SXM","441978","Paw Patrol Small Mug and Chocolate 24g","Paw Patrol","24g",NA,"1","No",NA,NA,0.65
"HOM","CHI","433498","Paw Patrol Duvet Set Single","Paw Patrol","Single",NA,"1",NA,NA,NA,0.85
"SBK","GIF","449645","Paw Patrol Gift Bag Large","Paw Patrol","26 x 33cm","Multi","1",NA,NA,NA,0.941666666666667
"SBK","KID","448874","Paw Patrol Carry Along Art Case","Paw Patrol",NA,"Blue","1",NA,NA,"3+ Years",1
"SBK","KID","448876","Paw Patrol Complete Art Case","Paw Patrol",NA,"Blue","1",NA,NA,"3+ Years",1
"SBK","KID","449338","Paw Patrol Colour Your Own Backpack","Paw Patrol",NA,"Blue","1",NA,NA,"3+ Years",1
"SBK","KID","449339","Paw Patrol Bumper Colouring Set","Paw Patrol",NA,"Blue","1",NA,NA,"3+ Years",1
"SBK","PAR","441451","Paw Patrol Plates 23cm 8pk","Paw Patrol",NA,"Multi","8",NA,NA,NA,0.883333333333333
"SBK","PAR","441452","Paw Patrol Napkins 20pk","Paw Patrol",NA,"Multi","20",NA,NA,NA,0.883333333333333
"SBK","PAR","441453","Paw Patrol Tablecover","Paw Patrol",NA,"Multi","1",NA,NA,NA,0.883333333333333
"SBK","PAR","441454","Paw Patrol Party Bags 8pk","Paw Patrol",NA,"Multi","8",NA,NA,NA,0.883333333333333
"SBK","PAR","441455","Paw Patrol Cups 8pk","Paw Patrol",NA,"Multi","8",NA,NA,NA,0.883333333333333
"SBK","PAR","441456","Paw Patrol Party Invitations  8pk","Paw Patrol",NA,"Multi","8",NA,NA,NA,0.883333333333333
"TOI","ACB","441253","Paw Patrol Bath and Shower Gel 400ml","Paw Patrol",NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","452929","Paw Patrol Foam Soap 250ml","Paw Patrol","250ml",NA,"1",NA,NA,NA,1
"TOI","MED","453091","Paw Patrol Bump Soother","Paw Patrol",NA,NA,"1",NA,NA,NA,0.9125
"TOY","PRE","427495","Paw Patrol Action Pup and Badge Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","427496","Paw Patrol Pup Racers Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","427497","Paw Patrol Vehicle with Pup Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","427498","Paw Patrol Plush Pup Pals Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"12 Months +",0.9
"TOY","PRE","428063","Paw Patrol Mashems Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","439768","Paw Patrol Pup Squirters","Paw Patrol",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","440513","Paw Patrol Weebles Figures","Paw Patrol",NA,"Multi","1",NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","447543","Paw Patrol Walkie Talkie","Paw Patrol",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","PRE","448344","Paw Patrol Ryder's Pup Pad","Paw Patrol",NA,"Multi","1",NA,"2x AAA Batteries Included","3 Years +",1
"TOY","PRE","448345","Paw Patrol Mini Figures Assortment","Paw Patrol",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
