"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"PET","DOG","215865","Pedigree Dry Dog Food Chicken and Veg 2.6kg","Pedigree","2.6kg","1",NA,1
"PET","DOG","252389","Pedigree Tinned Puppy Food Chicken Poultry andLamb with Rice in Jelly 6 x 400g","Pedigree","400g",NA,NA,0.9125
"PET","DOG","252408","Pedigree Tinned Adult Dog Food Chicken in Gravy 6x 400g","Pedigree","6x400g","6",NA,1
"PET","DOG","252409","Pedigree Tinned Adult Dog Food Mixed pk in Jelly6 x 385g","Pedigree","6x385g",NA,NA,0.9125
"PET","DOG","252411","Pedigree Tinned Dog Food Original Loaf 400g","Pedigree","400g","1",NA,1
"PET","DOG","267128","Pedigree Tinned Dog Food Country Casserole inGravy 6 x 400g","Pedigree","6x400g",NA,NA,0.9125
"PET","DOG","405655","Pedigree Dry Dog Food Chicken 500g","Pedigree","500g","1",NA,1
"PET","DOG","405658","Pedigree Pouch Dog Food Chicken and Lamb in Jelly4 x 100g","Pedigree","4x100g","4",NA,1
"PET","DOG","405659","Pedigree Pouch Dog Food Chicken Vegetables andBeef Vegetables in Gravy 4 x 100g","Pedigree","4x100g","4",NA,1
"PET","DOG","405660","Pedigree Pouch Puppy Food Chicken and Beef4 x 100g","Pedigree","4 x 100g","4",NA,1
"PET","DOG","405662","Pedigree Pouch Dog Food Real Meals in Gravy 12 x100g","Pedigree","12x100g","12",NA,1
"PET","DOG","405663","Pedigree Pouch Dog Food Favourites in Jelly 12 x100g","Pedigree","12x100g","12",NA,1
"PET","DOG","405665","Pedigree Pouch Puppy Food in Jelly 12 x 100g","Pedigree",NA,"12",NA,0.9125
"PET","DOG","430184","Pedigree Tinned Dog Food Mixed Selection in Gravy12 x 400g","Pedigree","12x400g","12",NA,1
"PET","DOG","430185","Pedigree Tinned Dog Food Mixed Selection in Jelly12 x 385g","Pedigree","12x385g","12",NA,1
"PET","SPC","221495","Pedigree Christmas Dog Stocking","Pedigree","274g",NA,"No",0.65
"PET","TRT","121968","Pedigree Schmackos Dog Treats with Beef 20pk","Pedigree","172g",NA,NA,0.9125
"PET","TRT","121969","Pedigree Schmackos Dog Treats with Chicken 20pk","Pedigree","172g","20",NA,1
"PET","TRT","149969","Pedigree Jumbone Dog Treat  210g","Pedigree","210g","1",NA,1
"PET","TRT","164159","Pedigree Jumbone Dog Treats 2pk","Pedigree","200g",NA,NA,0.9125
"PET","TRT","167166","Pedigree Dog Treats Gravy Bones 400g","Pedigree","400g","1",NA,1
"PET","TRT","177671","Pedigree Dog Treats Milky Biscuits 350g","Pedigree","350g",NA,NA,0.9125
"PET","TRT","189389","Pedigree Dog Treat Daily Dentastix Medium","Pedigree","Medium","7pk",NA,1
"PET","TRT","189390","Pedigree Dog Treat Daily Dentastix Small","Pedigree","110g",NA,NA,0.9125
"PET","TRT","189393","Pedigree Puppy Treats Tubos with Chicken 3pk 72g","Pedigree","72g","3pk",NA,1
"PET","TRT","201500","Pedigree Schmackos Dog Treat 20pk","Pedigree","172g",NA,NA,0.9125
"PET","TRT","243655","Pedigree Dentastix Dog Treats Small 28pk","Pedigree","Small","28pk",NA,1
"PET","TRT","243663","Pedigree Dentastix Dog Treats Medium 28pk","Pedigree","Medium","28pk",NA,1
"PET","TRT","243664","Pedigree Dentastix Dog Treat Daily Oral CareLarge Dog","Pedigree","Large","7pk",NA,1
"PET","TRT","247880","Pedigree Jumbone Dog Treats Chicken and TurkeyMedium 2pk","Pedigree","200g","2",NA,1
"PET","TRT","247881","Pedigree Jumbone Dog Treats Chicken Large Dog 210g","Pedigree","210g",NA,NA,0.9125
"PET","TRT","247882","Pedigree Jumbone Dog Treats Beef Small 4pk","Pedigree","180g",NA,NA,0.9125
"PET","TRT","255875","Pedigree Dentastix Dog Treats for Large Dogs 28pk","Pedigree","Large","1",NA,1
"PET","TRT","282947","Pedigree Jumbone Dog Treats  4pk","Pedigree","180g","4",NA,1
"PET","TRT","290799","Pedigree Rodeo Dog Treats with Beef 8pk","Pedigree","140g",NA,NA,0.9125
"PET","TRT","290806","Pedigree Rodeo Dog Treats with Chicken 8pk","Pedigree","140g",NA,NA,0.9125
"PET","TRT","303705","Pedigree Dog Treats Markies Minis 500g","Pedigree","500g","1",NA,1
"PET","TRT","336148","Pedigree Dentastix Dog Treat Fresh Daily OralCare Large Dog","Pedigree","Large","28pk",NA,1
"PET","TRT","336149","Pedigree Dentastix Dog Treat Fresh Daily OralCare Medium Dog","Pedigree","Medium","28pk",NA,1
"PET","TRT","336150","Pedigree Dentastix Dog Treat Fresh Daily OralCare Small Dog","Pedigree","Small","28pk",NA,1
"PET","TRT","336151","Pedigree Dentafresh Dog Treats Large Dog 7pk","Pedigree","Large","7pk",NA,1
"PET","TRT","336152","Pedigree Dentafresh Dog Treats Medium Dog 7pk","Pedigree","Medium","7pk",NA,1
"PET","TRT","336153","Pedigree Dentafresh Dog Treats Small Dog 7pk","Pedigree","Small","7pk",NA,1
"PET","TRT","405666","Pedigree Tasty Bites Dog Treats Crunchy Pocketswith Chicken 95g","Pedigree",NA,"1",NA,0.9125
"PET","TRT","405667","Pedigree Tasty Bites Dog Treats Chewy Cubes withChicken 130g","Pedigree","130g","130",NA,1
"PET","TRT","405668","Pedigree Tasty Bites Dog Treats Chewy Slices withBeef 150g","Pedigree","150g","15",NA,1
"PET","TRT","405669","Pedigree Tasty Bites Dog Treats Cheesy Nibbleswith Beef and Cheese 140g","Pedigree",NA,"1",NA,0.9125
"PET","TRT","438772","Pedigree Tasty Bites Puppy with Chicken 125g","Pedigree","125g","1",NA,1
"PET","TRT","56164","Pedigree Markies Dog Treat Original 500g","Pedigree","500g","1",NA,1
