"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"DEC","FIL","159219","Polycell 3 in 1 Mould Killer 500ml","Polycell","500ml",NA,NA,NA,0.8
"DEC","FIL","159721","Polycell Weather Proof Polyfilla 330g","Polycell","330g",NA,"1",NA,1
"DEC","FIL","160840","Polycell Fine Surface Polyfilla 400g","Polycell","400g",NA,NA,NA,0.8625
"DEC","FIL","160843","Polycell Fine Surface Polyfilla 500g","Polycell","500g",NA,NA,NA,0.8625
"DEC","FIL","162078","Polycell Finishing Skim Polyfilla 1L","Polycell","1L",NA,NA,NA,0.9125
"DEC","FIL","200275","Polycell Quick Drying Polyfilla 500g","Polycell","500g",NA,NA,NA,0.9125
"DEC","FIL","237632","Polycell Damp Seal 500ml","Polycell","500ml",NA,NA,NA,0.9125
"DEC","FIL","237633","Polycell Damp Seal One Coat 1L","Polycell","1L",NA,NA,NA,0.9125
"DEC","FIL","288363","Polycell Finishing Skim Ready Mixed 2.5L","Polycell","25L",NA,NA,NA,0.9125
"DEC","FIL","288364","Polycell Cement Quick Set 2kg","Polycell","2kg",NA,"1",NA,1
"DEC","FIL","288365","Polycell Polyfilla Deep Gap 1L","Polycell","1L",NA,NA,NA,0.9125
"DEC","FIL","288366","Polycell Plaster Repair Ready Mixed 2.5L","Polycell","2.5L",NA,NA,NA,0.9125
"DEC","FIL","3106040","Polyfilla Quick Dry 330g","Polycell","330g",NA,"1",NA,0.95
"DEC","FIL","3106940","Polycell Multi Purpose Polyfilla 450g","Polycell","450g",NA,"1",NA,1
"DEC","FIL","3107040","Polycell Multi Purpose Polyfilla 1.8kg","Polycell","1.8kg",NA,NA,NA,0.9125
"DEC","FIL","3111740","Polycell Multi Purpose Polyfilla 1kg","Polycell","1kg",NA,NA,NA,0.9125
"DEC","FIL","315533","Polycell Stain Stop Aerosol 250ml","Polycell","250ml",NA,"1",NA,1
"DEC","FIL","315534","Polycell Stain Stop Can 1L","Polycell","1L",NA,NA,NA,0.9125
"DEC","FIL","332445","Polycell Polyfilla Spray 300ml","Polycell","300ml",NA,NA,NA,0.9125
"DEC","FIL","422778","Polycell Flexible Gap Pollyfilla 330g","Polycell","330g",NA,"1","No",0.65
"DEC","FIL","422779","Polycell Plaster Repair 450g","Polycell","450g",NA,"1","No",0.65
"DEC","FIL","422780","Polycell Plaster Repair 1.8kg","Polycell","1.8kg",NA,"1","No",0.65
"DEC","FIL","422788","Polycell Advanced Polyfilla 200ml","Polycell","200ml",NA,"1","No",0.65
"DEC","FIL","92207","Polycell Multi Purpose Polyfilla 330g","Polycell","330ml",NA,NA,NA,0.9125
"PAI","WAP","105560","Polycell Crack-Free Ceiling Smooth Flexible MattEmulsion Paint White 2.5L","Polycell","2.5L","White","1",NA,0.941666666666667
