"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"KIT","BAK","433619","Prestige Non stick Cushion Smart Small Roaster","Prestige","W33cm x D23.5cm x H 6cm","1",0.93
"KIT","BAK","433620","Prestige Large Roaster Cushion Smart Non Stick","Prestige","W41cm x D32cm x H8cm","1",0.93
"KIT","BAK","433621","Prestige Baking Sheet Cushion Smart Non Stick","Prestige","W39cm x D34cm x H2.5cm","1",0.93
"KIT","BAK","433622","Prestige Oven Tray Cushion Smart Non Stick","Prestige","W39.5cm x D31cm x H3.5cm","1",0.93
"KIT","BAK","433623","Prestige Pizza Tray Non Stick","Prestige","W41cm x D36cm x H2.5cm","1",0.93
"KIT","BAK","433624","Prestige Loaf Tin Cushion Smart Non Stick 2lb","Prestige","W30cm x D14cm x H7.5cm","1",0.93
"KIT","BAK","433625","Prestige Bun Tin Non Stick","Prestige","W28.5cm x D23.5cm x H4cm","1",0.93
"KIT","BAK","433626","Prestige Sandwich Tin Cushion Smart Non Stick","Prestige","W28.5cm x D23.5cm x H4cm","1",0.93
"KIT","HOL","414380","Prestige Stainless Steel Frying Pan 20cm","Prestige","width 37cm, depth 21cm, height 9.5cm","1",0.883333333333333
"KIT","HOL","414381","Prestige Stainless Steel Frying Pan 24cm","Prestige","width 44cm, depth 25cm, height 11cm","1",0.883333333333333
"KIT","HOL","414382","Prestige Stainless Steel Frying Pan 28cm","Prestige","width 48cm, depth 11cm, height 11cm","1",0.883333333333333
"KIT","HOL","414384","Prestige Stainless Steel Milk Pan 14cm","Prestige","width 31cm, depth 15.5cm, height 11.5cm","1",0.883333333333333
"KIT","HOL","414385","Prestige Stainless Steel Saucepan 16cm","Prestige","width 33.5, depth 17cm, 15cm","1",0.883333333333333
"KIT","HOL","414386","Prestige Stainless Steel Saucepan 18cm","Prestige","width 35cm, depth 19cm, height 17.5cm","1",0.883333333333333
"KIT","HOL","414387","Prestige Stainless Steel Saucepan 20cm","Prestige","width 40cm, depth 21cm, height 17.5cm","1",0.883333333333333
"KIT","HOL","414388","Prestige Stainless Steel Casserole 24cm","Prestige","width 35cm, depth 25.5cm, height 19.5cm","1",0.93
"KIT","HOL","414389","Prestige Non-Stick Frying Pan Cream 20cm","Prestige","width 38cm, depth 21cm, height 10cm","1",0.883333333333333
"KIT","HOL","414390","Prestige Non-Stick Frying Pan Cream 24cm","Prestige","width 26.9cm, depth 26.9cm, height 22.5cm","1",0.883333333333333
"KIT","HOL","414391","Prestige Non-Stick Frying Pan Cream 28cm","Prestige","width 48cm, depth 28.5cm, height 10cm","1",0.883333333333333
"KIT","HOL","414392","Prestige Non-Stick Frying Pan Cream 30cm","Prestige","width 50cm, depth 30.5cm, height 12.5cm","1",0.883333333333333
"KIT","HOL","414393","Prestige Non-Stick Milk Pan Cream 14cm","Prestige","width 32cm, depth 16cm, height 13cm","1",0.883333333333333
