"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","RIM","267700","Rimmel Extra Super Lash Mascara Black","Rimmel","8ml","Black","1",1
"TOI","RIM","268405","Rimmel Extra Super Lash Mascara Brown Black","Rimmel","8ml","Brown","1",1
"TOI","RIM","268426","Rimmel 100% Waterproof Mascara Black","Rimmel","8ml","Black","1",1
"TOI","RIM","269130","Rimmel 100 Percent Waterproof Mascara Brown","Rimmel","8ml","Brown","1",1
"TOI","RIM","270357","Rimmel Lipstick Lock","Rimmel","4g","Clear",NA,0.93
"TOI","RIM","270411","Rimmel Exaggerate Lipliner Addiction","Rimmel","2.5ml","Red",NA,0.93
"TOI","RIM","270414","Rimmel Exaggerate Lipliner East End Snob","Rimmel","2.5ml","Pink",NA,0.93
"TOI","RIM","270419","Rimmel 1000 Kisses Lip Liner Spice","Rimmel","1.2g","Orange",NA,0.93
"TOI","RIM","270421","Rimmel 1000 Kisses LipLiner Capuccino","Rimmel","1.2g","Brown","1",1
"TOI","RIM","270423","Rimmel 1000 Kisses Lipliner Black Tulip Red","Rimmel","1.2g","Black",NA,0.93
"TOI","RIM","270454","Rimmel Hide The Blemish Concealer Ivory","Rimmel","4.5g","Cream",NA,0.93
"TOI","RIM","270456","Rimmel Hide The Blemish Concealer Natural Beige","Rimmel","4.5g","Brown",NA,0.93
"TOI","RIM","270457","Rimmel Hide The Blemish Concealer Soft Honey","Rimmel","4.5g","Brown",NA,0.93
"TOI","RIM","270488","Rimmel Professional Eyebrow Pencil Dark Brown","Rimmel","1.4g","Brown","1",1
"TOI","RIM","270489","Rimmel Professional Eyebrow Pencil Hazel","Rimmel","1.4g","Brown",NA,0.93
"TOI","RIM","270490","Rimmel Professional Eyebrow Pencil Black/Brown","Rimmel","1.4g","Black","1",1
"TOI","RIM","270491","Rimmel Soft Kohl Pencil Pure White","Rimmel","1.2g","White",NA,0.93
"TOI","RIM","270493","Rimmel Soft Kohl Eye Pencil Sable Brown","Rimmel","1.2g","Brown","1",1
"TOI","RIM","270494","Rimmel Soft Kohl Eye Pencil Denim Blue","Rimmel","1.2g","Blue",NA,0.93
"TOI","RIM","270495","Rimmel Soft Kohl Eye Pencil Jungle Green","Rimmel","1.2g","Green","1",1
"TOI","RIM","270496","Rimmel Soft Kohl Eye Pencil Jet Black","Rimmel","1.2g","Black","1",1
"TOI","RIM","270497","Rimmel Soft Kohl Eye Pencil Stormy Grey","Rimmel","1.2g","Grey","1",1
"TOI","RIM","270698","Rimmel Exaggerate Liquid Eyeliner Black","Rimmel","2.5ml","Black",NA,0.93
"TOI","RIM","280948","Rimmel Exaggerate Eye Definer Noir Waterproof","Rimmel",".28g","Black","1",1
"TOI","RIM","280965","Rimmel Clear Complex Powder Transparent","Rimmel","16g","Clear","1",1
"TOI","RIM","280967","Rimmel Natural Bronzer Sun Bronze","Rimmel","14g","Brown","1",1
"TOI","RIM","280969","Rimmel Natural Bronzer Sun Glow","Rimmel","14g","Brown","1",1
"TOI","RIM","284314","Rimmel Stay Matte Powder Warm Beige","Rimmel","14g","Cream",NA,0.93
"TOI","RIM","284315","Rimmel Stay Matte Powder Peach Glow","Rimmel","14g","Brown","1",1
"TOI","RIM","284318","Rimmel Stay Matte Powder Silky Beige","Rimmel","14g","Brown","1",1
"TOI","RIM","284319","Rimmel Stay Matte Powder Transparent","Rimmel","14g","Clear",NA,0.93
"TOI","RIM","284331","Rimmel Volume Flash x10 Mascara Black Extreme","Rimmel","8ml","Black",NA,0.93
"TOI","RIM","284416","Rimmel Volume Flash x10 Mascara Black","Rimmel","8ml","Black","1",1
"TOI","RIM","291098","Rimmel Match Perfect Concealer Classic Beige","Rimmel","15ml","Brown","1",1
"TOI","RIM","291099","Rimmel Match Perfect Concealer Soft Beige","Rimmel","15ml","Cream","1",1
"TOI","RIM","291100","Rimmel Match Perfect Concealer Ivory","Rimmel","15ml","Cream","1",1
"TOI","RIM","295115","Rimmel Lasting Finish Lipstick Pink Blush","Rimmel","4g","Pink",NA,0.93
"TOI","RIM","295117","Rimmel Lasting Finish Lipstick Drop of Sherry","Rimmel","4g","Red","1",1
"TOI","RIM","295118","Rimmel Lasting Finish Lipstick Heather Shim","Rimmel","4g","Purple","1",1
"TOI","RIM","295120","Rimmel Lasting Finish Lipstick Asia","Rimmel","4g","Brown","1",1
"TOI","RIM","295121","Rimmel Lasting Finish Lipstick Amethyst","Rimmel","4g","Purple","1",1
"TOI","RIM","295127","Rimmel Lasting Finish Lipstick Sugar Plum","Rimmel","4g","Purple","1",1
"TOI","RIM","295129","Rimmel Lasting Finish Lipstick Nude Pink","Rimmel","4g","Pink","1",1
"TOI","RIM","295130","Rimmel Lasting Finish Lipstick Coral in Gold","Rimmel","4g","Orange","1",1
"TOI","RIM","295131","Rimmel Lasting Finish Lipstick Birthday Suit","Rimmel","4g","Cream","1",1
"TOI","RIM","295132","Rimmel Lasting Finish Lipstick Coffee","Rimmel","4g","Brown","1",1
"TOI","RIM","301337","Rimmel Lasting Finish Foundation True Nude","Rimmel","30ml","Brown",NA,0.93
"TOI","RIM","301338","Rimmel Lasting Finish Foundation Ivory","Rimmel","30ml","Cream",NA,0.93
"TOI","RIM","301339","Rimmel Lasting Finish Foundation Soft Beige","Rimmel","30ml","Cream","1",1
"TOI","RIM","301340","Rimmel Lasting Finish Foundation Classic Beige","Rimmel","30ml","Brown",NA,0.93
"TOI","RIM","301341","Rimmel Lasting Finish Foundation Natural Beige","Rimmel","30ml","Brown",NA,0.93
"TOI","RIM","306679","Rimmel Day 2 Night Mascara Black","Rimmel","7ml","Black",NA,0.93
"TOI","RIM","312583","Rimmel Kate Lasting Finish Lipstick 001","Rimmel","4g","Red","1",1
"TOI","RIM","312584","Rimmel Kate Lasting Finish Lipstick 005","Rimmel","4g","Pink","1",1
"TOI","RIM","316841","Rimmel Fix and Perfect Primer","Rimmel","30ml",NA,"1",0.93
"TOI","RIM","318720","Rimmel Wake me up Foundation Ivory","Rimmel","30ml","Cream","1",1
"TOI","RIM","318721","Rimmel Wake Me Up Foundation True Ivory","Rimmel","30ml","Brown","1",1
"TOI","RIM","318722","Rimmel Wake me up Foundation Soft Beige","Rimmel","30ml","Cream","1",1
"TOI","RIM","325936","Rimmel Precious Stones Nail Polish Diamond Dust","Rimmel","8ml","Silver","1",1
"TOI","RIM","325942","Rimmel Kate Matte Lipstick 110","Rimmel","4g","Pink",NA,0.93
"TOI","RIM","325944","Rimmel Mono Blush Live Pink","Rimmel","5g","Pink","1",1
"TOI","RIM","325946","Rimmel Mono Blush Pink Rose","Rimmel","5g","Pink","1",1
"TOI","RIM","332756","Rimmel Scandal Eyes Eyeshadow Black Mail","Rimmel","3.25g","Black","1",1
"TOI","RIM","332759","Rimmel Scandal Eyes Eyeshadow Bad Bronze","Rimmel","3.25g","Metal","1",1
"TOI","RIM","332782","Rimmel Exaggerate Liquid Liner Black Waterproof","Rimmel","12ml","Black","1",1
"TOI","RIM","333668","Rimmel Endless Accelerator Mascara Black","Rimmel","12ml","Black","1",1
"TOI","RIM","333669","Rimmel Match Perfect Loose Powder","Rimmel","10g",NA,"1",0.93
"TOI","RIM","334876","Rimmel Ultra Shine Top Coat","Rimmel","12ml","Clear","1",1
"TOI","RIM","338628","Rimmel Nail Nurse Strong Base Coat","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339904","Rimmel Moisture Lipstick As you want","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","339905","Rimmel Moisture Lipstick In Love Ginger","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339906","Rimmel Moisture Lipstick Amethyst","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339907","Rimmel Moisture Lipstick Heather Shimmer","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339908","Rimmel Moisture Lipstick Latino","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339909","Rimmel Moisture Lipstick MayFair Red","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339910","Rimmel HD Eyeshadow Golden Eye","Rimmel",NA,NA,"1",0.86
"TOI","RIM","339915","Rimmel HD Eyeshadow Bixton Brown","Rimmel",NA,NA,"1",0.86
"TOI","RIM","340164","Rimmel Stay Matte Found True Ivory","Rimmel",NA,NA,NA,1
"TOI","RIM","340235","Rimmel Stay Matte Foundation Soft Beige","Rimmel",NA,NA,NA,1
"TOI","RIM","340237","Rimmel Stay Matte Found Ivory","Rimmel",NA,NA,NA,1
"TOI","RIM","340238","Rimmel Stay Matte Foundation Classic Beige","Rimmel",NA,NA,NA,1
"TOI","RIM","340246","Rimmel Moisture Lipstick Vintage Pink","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","340305","Rimmel Scandal Eyes Shadow Bulletproof","Rimmel",NA,NA,"1",0.86
"TOI","RIM","340896","Rimmel Kate Lasting Finish Lipstick 03","Rimmel",NA,NA,"1",0.86
"TOI","RIM","340898","Rimmel Kate Matte Lipstick 101","Rimmel",NA,NA,"1",0.86
"TOI","RIM","340904","Rimmel Wake me up Foundation Classic Beige","Rimmel",NA,"Brown","1",0.93
"TOI","RIM","346583","Rimmel Pallette Eyeshadow Foggy Grey","Rimmel",NA,"Grey","1",0.93
"TOI","RIM","346584","Rimmel Pallette Eyeshadow Pinkadilly","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","346603","Rimmel Moisture Renew Lip Liner Red Diva","Rimmel",NA,"Red","1",0.93
"TOI","RIM","346604","Rimmel Moisture Renew Lip Liner Fancy","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","346620","Rimmel Nail Polish Nurse 5 in 1","Rimmel",NA,NA,"1",0.86
"TOI","RIM","346624","Rimmel Stay Matte Found Light Porcelain","Rimmel",NA,NA,NA,1
"TOI","RIM","351164","Rimmel Scandal Eyes Shadow Bluffing","Rimmel",NA,NA,"1",0.86
"TOI","RIM","351165","Rimmel Scandal Eyes Shadow Bootleg Brown","Rimmel",NA,NA,"1",0.86
"TOI","RIM","351514","Rimmel Gel Eyeliner Black","Rimmel",NA,NA,"1",0.86
"TOI","RIM","400614","Rimmel Wonder'Full Mascara","Rimmel","11ml","Black","1",1
"TOI","RIM","403202","Rimmel Wake me up Foundation Porcelain","Rimmel",NA,NA,"1",0.86
"TOI","RIM","403215","Rimmel Scandal Eyes Shadow Stick Blue","Rimmel",NA,"Blue","1",0.93
"TOI","RIM","403229","Rimmel Moisture Renew Lip Liner Clear","Rimmel",NA,NA,"1",0.86
"TOI","RIM","403232","Rimmel Lasting Finish Lipstick","Rimmel",NA,NA,"1",0.86
"TOI","RIM","403236","Rimmel Lasting Finish 25 Hours Foundation TrueIvory","Rimmel",NA,NA,"1",0.86
"TOI","RIM","409079","Rimmel Provocalips Lipstick Skinny Dipping","Rimmel",NA,"Red","1",0.93
"TOI","RIM","409080","Rimmel Provocalips Lipstick Kiss Me You Fool","Rimmel",NA,"Red","1",0.93
"TOI","RIM","409081","Rimmel Provocalips Lipstick Little Minx","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","409082","Rimmel Provocalips Lipstick Make your Move","Rimmel",NA,"Pink","1",0.93
"TOI","RIM","409084","Rimmel Wonderfull MascaraExtreme Black","Rimmel",NA,"Black","1",0.93
"TOI","RIM","413380","Rimmel Lasting Finish Primer Clear 30ml","Rimmel","30ml",NA,"1",0.93
"TOI","RIM","413383","Rimmel Scandaleyes Xxtreme Mascara Black","Rimmel",NA,"Black","1",0.93
