"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","DQ Score"
"PET","100","296442","Pet Stuff Dog Treat Bag","Rosewood",NA,NA,"1",NA,NA,NA,0.81
"PET","100","314106","Cyber-Dog Out Of This World Fun Treat Ball Large","Rosewood","Large","Multi","1",NA,NA,NA,0.95
"PET","100","314107","Cyber-Dog Treat Ball Dog Toy Small","Rosewood","Small",NA,"1",NA,NA,NA,0.88
"PET","100","314153","Rosewood Options Travel Soft Crate Medium","Rosewood","Medium",NA,"1",NA,NA,NA,0.93
"PET","100","314190","Rosewood 40 Winks Water Resistant Crate Mattress Green 56x45x7cm","Rosewood","Small","Multi","1",NA,NA,NA,1
"PET","100","314191","Rosewood 40 Winks Grey/Red Water Resistant Crate Mattress 76x56x61cm","Rosewood","Medium","Multi",NA,NA,NA,NA,0.93
"PET","100","314192","Rosewood 40 Winks Water Resistant Crate Mattress Green 88x64x8cm","Rosewood","Large","Multi","1",NA,NA,NA,1
"PET","100","314267","Rosewood Slicker Brush Self Cleaning Large","Rosewood","Large",NA,"1",NA,NA,NA,0.93
"PET","100","314269","Cat Scratch Post","Rosewood",NA,NA,NA,NA,NA,NA,0.74
"PET","100","314700","Puppy and Small Dog Collar and Lead Set Assorted","Rosewood","Small",NA,"1",NA,NA,NA,0.95
"PET","100","314709","Chewy Dog Toy Assorted","Rosewood",NA,NA,"1",NA,"No",NA,0.6
"PET","100","314875","Rosewood Pet Products Double Diner Set Stainless Steel 2.25L Adjustable","Rosewood","2.25L","Silver","1","Stainless Steel",NA,NA,0.95
"PET","100","314880","Rosewood Pet Products Pet Keeper Small 3L","Rosewood",NA,NA,NA,NA,NA,NA,1
"PET","100","334147","Cyber-Dog Galactic Orbit Dog Toy","Rosewood","12.5x12.5cm",NA,"1",NA,NA,NA,0.88
"PET","100","334252","Rosewood Place Settings For Messy Animals Black Stripe","Rosewood","44cmx28cm",NA,"1",NA,NA,NA,0.85
"PET","100","335586","Bamboo Cat Pod","Rosewood",NA,NA,NA,NA,NA,NA,0.74
"PET","100","335619","Soft Protection Salon Moult Stoppa Medium 2.75in Blade Purple","Rosewood","Medium","Purple","1",NA,NA,NA,0.95
"PET","100","335625","Rosewood Soft Protection Salon Scissors Pet Purple/Silver Effect","Rosewood","10cm Blade",NA,"1",NA,NA,NA,0.93
"PET","100","335633","Soft Protection Salon Moult Stoppa Small 2in BladePurple","Rosewood","Small","Purple","1",NA,NA,NA,0.95
"PET","100","335690","Soft Protection Salon Porcupine Brush Large Purple","Rosewood","Large","Blue","1",NA,NA,NA,0.95
"PET","100","420128","Tan Faux Suede Circular Pet Bed 23in","Rosewood","23in","Brown","1",NA,NA,NA,0.95
"PET","100","420129","Tan Faux Suede Circular Pet Bed 27in","Rosewood","27in","Brown","1",NA,NA,NA,0.95
"PET","100","420130","Red Orthopaedic Pet Bed 26in","Rosewood","26in","Red","1",NA,NA,NA,0.95
"PET","100","420131","Red Orthopaedic Pet Bed 34in","Rosewood","34in","Red","1",NA,NA,NA,0.95
"PET","100","420134","Rosewood Oregano Cat Scratching Post","Rosewood",NA,NA,"1",NA,NA,NA,0.86
"PET","100","420136","Rosewood Catwalk Collection Cat Post Tarragon","Rosewood","30 x 40 x 55cm",NA,"1",NA,NA,NA,0.93
"PET","100","420137","Rosewood Luxury Cat Tunnel Cream","Rosewood",NA,NA,"1",NA,NA,NA,0.86
"PET","100","420138","Tweed Oval Shaped Pet Bed 20in","Rosewood","20in",NA,"1",NA,NA,NA,0.88
"PET","100","425217","Abode Small Animal Home","Rosewood",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454023","Silvervine Stuffed Animal Large","Rosewood","12cmx63cmx2cm","Brown","1",NA,NA,NA,0.95
"PET","100","454024","Silvervine Seagrass Animal","Rosewood","10cmx40cmx8cm","Brown","1",NA,NA,NA,0.95
"PET","100","454025","Silvervine Head & Tail 2pk","Rosewood","25cm","Brown","1",NA,NA,NA,0.95
"PET","100","454027","Faux Leather Cat Pyramid","Rosewood","40cmx40cmx38cm","Black","1",NA,NA,NA,0.95
"PET","100","454028","Pyramid Cat Bed Plush Material","Rosewood","40cm","Grey","1",NA,NA,NA,0.95
"PET","100","454030","Rosewood Meaty Takeaway Pet Toy Chicken Flavour","Rosewood","Small",NA,"1",NA,NA,NA,0.93
"PET","100","454031","Rosewood Meaty Takeaway Pet Toy Beef Flavour","Rosewood","Small","Multi","1",NA,NA,NA,1
"PET","100","454032","Meaty Bacon Takeaway Bone Large","Rosewood","8cmx6.9cmx19cm","Multi","1",NA,NA,NA,0.95
"PET","100","454033","Tough Wood Bone","Rosewood","8cmx6.9cmx19cm",NA,"1",NA,NA,NA,0.88
"PET","100","454034","Rosewood Jolly Doggy Dental Saucer Pet ToyThrow and Go","Rosewood","23cm","Green","1",NA,NA,NA,1
"PET","100","454035","Squeaky Tough Rubber Assortment","Rosewood","9.3cmx18.5cmx5.3cm",NA,"1",NA,NA,NA,0.88
"PET","100","454037","Oblik Supreme Bowl Medium","Rosewood","17cmx17cmx11cm",NA,"1",NA,NA,NA,0.88
"PET","100","454038","Rosewood Naturals Meadow Menu for Rabbits 2kg","Rosewood","2kg",NA,"1",NA,NA,NA,1
"PET","100","454039","Rosewood Naturals Meadow Menu for Guinea Pigs2kg","Rosewood","2kg",NA,"1",NA,NA,NA,1
"PET","100","454040","Rosewood Naturals Meadow Menu for Chinchillasand Degus 2kg","Rosewood","2kg",NA,"1",NA,NA,NA,1
"PET","BED","335077","Rosewood Dog Bed Cushion Reversable and AssortedColours 46 x 33cm","Rosewood","46cmx33m","Multi","1",NA,NA,NA,1
"PET","BED","335078","Rosewood Dog Bed Cushion Reversable and AssortedColours 61 x 39cm","Rosewood","61cmx39cmx6cm","Multi","1",NA,NA,NA,1
"PET","BED","335337","Rosewood Dog Bed Cushion Reversable and AssortedColours 76 x 50cm","Rosewood","76cmx50cmx6cm","Multi",NA,NA,NA,NA,0.93
"PET","BED","420141","Rosewood Dog Bed Cord Plush Pet Bed 20in","Rosewood","21 x 64 x 30cm","Multi","1",NA,NA,NA,1
"PET","BED","420142","Rosewood Dog Bed Cord Plush Pet Bed 25in","Rosewood","25 x 72 x 36cm","Multi","1",NA,NA,NA,1
"PET","BED","420143","Rosewood Dog Bed Cord Plush Pet Bed 32in","Rosewood","28 x 84 x cm","Multi","1",NA,NA,NA,1
"PET","BED","434473","Rosewood Dog Bed Quilted Mattress Assorted Colours","Rosewood",NA,"Multi","1",NA,NA,NA,0.93
"PET","BED","439456","Rosewood Dog Bed Reversible  Cushion Extra Large58 x 86cm","Rosewood","16 x 58 x 45cm",NA,"1",NA,NA,NA,0.93
"PET","BED","439460","Rosewood Dog Bed Paw Print Design Small 23 x 48cm","Rosewood","12 x 48 x 23cm",NA,"1",NA,NA,NA,0.93
"PET","BED","439461","Rosewood Dog Bed Paw Print Design Medium 27 x 58cm","Rosewood","15 x 58 x 27cm",NA,"1",NA,NA,NA,0.93
"PET","BED","439462","Rosewood Dog Bed Paw Print Design Large 53 x 68cm","Rosewood","18 x 70 x 38cm",NA,"1",NA,NA,NA,0.93
"PET","BED","439463","Rosewood Dog Bed Plush Deep Round 38cm","Rosewood","23 x 58 x 35cm",NA,"1",NA,NA,NA,0.93
"PET","BED","439464","Rosewood Dog Bed Plush Oval 63.5cm","Rosewood","25 x 72 x 36cm",NA,"1",NA,NA,NA,0.93
"PET","CAT","454187","Grumpy Cat Toys Assorted","Rosewood","7cmx10cmx4cm",NA,"1",NA,NA,NA,0.88
"PET","DOM","298734","Wilko Aquarium Ornament Large Assorted Designs","Rosewood","Large",NA,NA,NA,NA,NA,0.81
"PET","DOM","453099","Rosewood Quiet Air Pump","Rosewood",NA,NA,"1",NA,NA,"220v mains 1.8w",0.93
"PET","DOM","453100","Rosewood Foraging Pineapple Small","Rosewood","Small",NA,"1",NA,NA,NA,1
"PET","DOM","453101","Rosewood Foraging Pineapple Large","Rosewood",NA,NA,"1",NA,NA,NA,0.9125
"PET","GEN","350258","Dog Guillotine Clipper","Rosewood",NA,NA,"1",NA,NA,NA,0.81
"PET","GEN","454196","Biosafe Puppy Bone","Rosewood","12.4cm",NA,"1",NA,NA,NA,0.95
"PET","SMA","417685","Pico XL Small Animal Hamster Cage","Rosewood",NA,NA,NA,NA,NA,NA,0.95
"PET","SMA","437009","Rosewood Small Animal Toy Blossom Tower","Rosewood",NA,NA,"1",NA,NA,NA,0.9125
"PET","SMA","437012","Abode Small Animal Hamster Cage","Rosewood",NA,NA,NA,NA,NA,NA,0.95
"PET","SMA","437014","Rosewood Small Animal Toy Foraging Cylinder","Rosewood",NA,NA,"1",NA,NA,NA,0.9125
"PET","TRT","333149","Top Life Puppy Milk 200ml","Rosewood","200ml",NA,"1",NA,NA,NA,0.95
"PET","TRT","453237","Rosewood Magic Bone Chicken Mini Bones 7pk","Rosewood","Small",NA,"7",NA,NA,NA,1
"PET","TRT","453238","Rosewood Magic Bone Chicken Medium Bone 2pk","Rosewood","Medium",NA,"2",NA,NA,NA,1
"PET","TRT","453239","Rosewood Magic Bone Chicken Mega Bone","Rosewood","12cm x 3cm x 28cm",NA,"1",NA,NA,NA,1
