"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Age","DQ Score"
"PAI","PLA","413256","Rust-Oleum Glitter Paint SpraySilver 400ml","Rust-Oleum","400ml","Silver","1",NA,"No","2sqm","over 16",0.65
"PAI","PLA","413257","Rust-Oleum Glitter Paint SprayGold 400ml","Rust-Oleum","400ml","Orange","1",NA,"No","2sqm","Over 16",0.65
"PAI","PLA","413262","Rust-Oleum Glow in the Dark Paint SprayBright Green 400ml","Rust-Oleum","400ml","Green","1",NA,"No","2sqm","Over 16",0.65
"PAI","PLA","413267","Rust-Oleum Painter's Touch Gloss Spray PaintWhite 150ml","Rust-Oleum","150ml","White","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413269","Rust-Oleum Painter's Touch Gloss Spray PaintBalmoral 150ml","Rust-Oleum","150ml","Red","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413270","Rust-Oleum Painter's Touch Gloss Spray PaintBlack 150ml","Rust-Oleum","150ml","Black","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413271","Rust-Oleum Painter's Touch Gloss Spray PaintHeirloom White 150ml","Rust-Oleum","150ml","White","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413272","Rust-Oleum Painter's Touch Gloss Spray PaintOxford Green 150ml","Rust-Oleum","150ml","Green","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413273","Rust-Oleum Painter's Touch Metallic Spray PaintGold 150ml","Rust-Oleum","150ml","Orange","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413274","Rust-Oleum Painter's Touch Metallic Spray PaintSilver 150ml","Rust-Oleum","150ml","Silver","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413275","Rust-Oleum Painter's Touch Metallic Spray PaintCopper 150ml","Rust-Oleum","150ml","Orange","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413276","Rust-Oleum Painter's Touch Matt Spray PaintBlack 150ml","Rust-Oleum","150ml","Black","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413277","Rust-Oleum Painter's Touch Gloss Spray PaintBlossom Pink 150ml","Rust-Oleum","150ml","Pink","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413278","Rust-Oleum Painter's Touch Gloss Spray PaintTranquil Blue 150ml","Rust-Oleum","150ml","Blue","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413279","Rust-Oleum Painter's Touch Gloss Spray PaintOcean Blue 150ml","Rust-Oleum","150ml","Blue","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413280","Rust-Oleum Painter's Touch Gloss Spray PaintButtercup Yellow 150ml","Rust-Oleum","150ml","Yellow","1",NA,"No","1msq","Over 16",0.65
"PAI","PLA","413310","Rust-Oleum Painter's Touch Gloss PaintBright Yellow 250ml","Rust-Oleum","250ml","Yellow","1","Acrylic","No","2sqm",NA,0.65
