"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","CAT","252564","Sheba Alutray Cat Food Salmon Chunks in Jelly 85g","Sheba","85g","1",1
"PET","CAT","252565","Sheba Alutray Cat Food Chicken Slices in Gravy 85g","Sheba","85g","1",1
"PET","CAT","252566","Sheba Pouch Cat Food Turkey and Chicken inTerrine 100g","Sheba","85g","1",1
"PET","CAT","314520","Sheba Fine Flakes Pouch Cat Food Sea Food inJelly 12 x 85g","Sheba","85g","12",1
"PET","CAT","314521","Sheba Fine Flakes Pouch Cat Food PoultrySelection in Jelly 12 x 85g","Sheba","12x85g","1",1
"PET","CAT","333169","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 6 x 50g","Sheba","6x50g","6pk",1
"PET","CAT","333170","Sheba Fresh Pouch Cat Food Fish Selection inGravy 6 x 50g","Sheba","6x50g","6pk",1
"PET","CAT","333953","Sheba Alutray Cat Food Turkey in White Sauce 85g","Sheba","85g","1",1
"PET","CAT","405680","Sheba Fresh Pouch Cat Food Fish Selection inJelly 6 x 50g","Sheba","6x50g","6",1
"PET","CAT","430182","Sheba Pouch Cat Food Poultry Selection in Gravy12 x 50g","Sheba","12x150g","12",1
"PET","CAT","431034","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 12 x 50g","Sheba","12x50g","12",0.95
"PET","CAT","438767","Sheba Fresh Pouch Cat Food Succulent Selectionin Gravy 6 x 50g","Sheba","6x50g","6",1
"PET","CAT","438768","Sheba Soup Pouch Cat Food Tuna Fillets 4 x 40g","Sheba","4x40g","4",1
"PET","CAT","438769","Sheba Classics Soup with Chicken Fillets 4 x 40g","Sheba","4x40g","4",1
"PET","CAT","449954","Sheba Cat Food Fine Flakes Succulent Collection inJelly 12 x 85g","Sheba","85g x 12","12",0.95
"PET","CAT","454775","Sheba Select Slices Tray Cat Food Poultry inGravy 12x85g","Sheba","12x85g","12",0.95
"PET","CAT","454776","Sheba Sauce Lover Tray Cat Food Mixed Collection12x85g","Sheba","12x85g","12",0.95
"PET","CAT","454777","Sheba Select Slices Pouch Cat Food Poultry inGravy 12x85g","Sheba","12x85g","12",0.95
"PET","CAT","454778","Sheba Select Slices Pouch Cat Food Fish in Gravy12x85g","Sheba","12x85g",NA,0.8625
