"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"DIY","MOT","134917","Simoniz Alloy Wheel Cleaner 500ml","Simoniz","500ml",NA,0.86
"DIY","MOT","171541","Simoniz Back To Black Tyre Shine 500ml","Simoniz","500ml","1",0.93
"DIY","MOT","257539","Simoniz Gloss Dashboard Shine New Car Fragrance 500ml","Simoniz","500ml",NA,0.86
"DIY","MOT","344877","Simoniz Car Shampoo and Wax 1L","Simoniz","1L",NA,0.86
"DIY","MOT","344878","Simoniz Original Carnauba Wax in Tin","Simoniz",NA,"1",0.86
"DIY","MOT","344887","Simoniz  Quick Shine Detailer 500ml","Simoniz","500ml",NA,0.86
"DIY","MOT","344889","Simoniz Insect and Tar Remover 500ml","Simoniz","500ml","1",0.93
"DIY","MOT","450090","Simoniz Dash Restorer Pad","Simoniz",NA,"1pk",0.86
"DIY","MOT","450091","Simoniz Air Con Refresh 150ml","Simoniz",NA,"1pk",0.86
"DIY","MOT","82593","Simoniz Back To Black Trim Cleaner 500ml","Simoniz","500ml",NA,0.86
