"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Model Number","DQ Score"
"DIY","DOO","276780","Wilko Window Handle UVPC White","Sterling",NA,NA,"1",NA,0.775
"DIY","DOO","4477046","Wilko Security Door Chain Chrome Effect","Sterling","1 Pack",NA,"1",NA,0.783333333333333
"DIY","SEC","448862","Burg-Wächter  Key Locking Safe P1S","Sterling","Small","Black",NA,"P1 S",0.891666666666667
"DIY","SEC","448863","Burg-Wächter Key Locking Safe P2S","Sterling","Medium","Black",NA,"P2S",0.891666666666667
"DIY","SEC","448864","Burg-Wächter Key Locking Safe P3S","Sterling","Large","Black",NA,"P3S",0.891666666666667
"DIY","SEC","448865","Burg-Wächter Electronic Keypad Safe P1 E","Sterling","Small","Black",NA,"P1E",0.891666666666667
"DIY","SEC","448866","Burg-Wächter Electronic Keypad Safe P2 E","Sterling","Medium","Black",NA,"P2E",0.891666666666667
"DIY","SEC","448867","Burg-Wächter Electronic Keypad Safe P3 E","Sterling","P3E","Black",NA,NA,0.833333333333333
"DIY","SEC","448868","Burg-Wächter Electric Keypad Safe P4 E","Sterling","Extra Large","Black",NA,"P4E",0.891666666666667
"DIY","SEC","448869","Burg-Wächter  Finger Scan Lock Safe P2","Sterling","Medium","Black",NA,"P2",0.891666666666667
"DIY","SEC","448870","Burg-Wächter Finger Scan Lock Safe P3","Sterling","Large","Black",NA,"P3E FS",0.891666666666667
"DIY","SEC","448871","Burg-Wächter Finger Scan Lock Safe P4","Sterling","Extra Large","Black",NA,"P4EFS",0.891666666666667
"DIY","SEC","448872","Burg-Wächter Electronic Keypad Laptop Sf","Sterling",NA,"Black",NA,"P3E LAP",0.833333333333333
"DIY","SEC","448873","Burg-Wächter Finger Scan Laptop Safe","Sterling",NA,"Black",NA,"P3E FS LAP",0.833333333333333
