"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Model Number","DQ Score"
"TOI","ELE","324864","Tresemme Power Hair Dryer 2200W","Tresemme",NA,NA,NA,"5542DU",0.825
"TOI","FAA","402741","Tresemme Ceramic Radial Hair Brush","Tresemme",NA,"Black","1",NA,0.93
"TOI","FAA","402742","Tresemme Heat Retainer Hair Brush Large","Tresemme","Large","Black","1",NA,1
"TOI","FAA","402743","Tresemme Oval Cushion Hair Brush","Tresemme","Oval","Black","1",NA,1
"TOI","SHC","219438","Tresemme Deep Cleansing Shampoo 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","219439","Tresemme Remoisturising Conditioner 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","219440","Tresemme Colour Revitalising Shampoo 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","219441","Tresemme Colour Revitalise Colour Fade ProtectionConditioner 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","219444","Tresemme Moisture Rich Shampoo 900ml","Tresemme","900ml",NA,NA,NA,0.9125
"TOI","SHC","219445","Tresemme Conditioner Moisture Rich 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","222256","Tresemme Salon Finish Hair Spray Extra Hold 500ml","Tresemme","500ml","Multi","1",NA,1
"TOI","SHC","222261","Tresemme Styling Spray Heat Defence 300ml","Tresemme","300ml","Multi",NA,NA,0.93
"TOI","SHC","242094","Tresemme Firm Hold Hair Spray 100ml","Tresemme","100ml","Multi","1",NA,1
"TOI","SHC","243338","Tresemme Salon Silk Conditioner 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","243339","Tresemme Salon Silk Shampoo 900ml","Tresemme","900ml",NA,"1",NA,1
"TOI","SHC","334635","Tresemme Platinium Strengthening Conditioner 500ml","Tresemme","500ml",NA,"1",NA,1
"TOI","SHC","334638","Tresemme Platinium Strengthening Shampoo 500ml","Tresemme","500ml",NA,NA,NA,0.9125
"TOI","SHC","345375","Tresemme Hairspray Freeze Hold Salon Finish 500ml","Tresemme","500ml","Multi","1",NA,1
"TOI","SHC","449771","Tresemme Keratin Smooth Shampoo 500ml","Tresemme","500ml",NA,"1",NA,1
"TOI","SHC","449772","Tresemme Keratin Smooth Conditioner 500ml","Tresemme","500ml",NA,"1",NA,1
"TOI","SHC","453508","TRESemme Expert Selection Botanique Conditioner500ml","Tresemme",NA,NA,"1",NA,0.9125
"TOI","SHC","453509","TRESemme Expert Selection Botanique Shampoo 500ml","Tresemme",NA,NA,"1",NA,0.9125
