"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DEC","ADH","231136","Unibond Repair Extreme Power Glue 20g","Unibond",NA,NA,"1",NA,NA,1
"DEC","ADH","237184","Unibond No More Nails Strips Removable Interior and Exterior 10pk","Unibond",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","237185","Unibond No More Nails Strips Permanent Interior and Exterior 10pk","Unibond",NA,NA,"10",NA,NA,1
"DEC","ADH","245982","Unibond No More Nails Original Adhesive 300ml","Unibond",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","245983","Unibond No More Nails Original Interior 200ml","Unibond",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","301997","Unibond No More Nails Original Interior 40ml","Unibond",NA,NA,"1",NA,NA,1
"DEC","ADH","323466","Unibond Power Tape Extra Strong Silver 50mmx25m","Unibond",NA,NA,NA,NA,NA,0.883333333333333
"DEC","ADH","340867","Unibond Waterproof Cartridge No More Nails","Unibond",NA,NA,"1",NA,NA,1
"DEC","ADH","341318","Unibond Transparent Repair Tape 50mm x 25m","Unibond",NA,NA,"1",NA,NA,1
"DEC","ADH","433385","Unibond Duct Tape 50m x 50mm 2pk","Unibond","50mm x 50m",NA,"2",NA,NA,0.833333333333333
"DEC","ADH","433389","Unibond Strong Packaging Tape 50mm x 50m","Unibond","50mm x 50m",NA,"1",NA,NA,0.883333333333333
"DEC","ADH","433390","Unibond Repair Power Epoxy Permanent Adhesive 1 minute 14ml","Unibond","14ml",NA,"1",NA,NA,0.95
"DEC","ADH","433391","Unibond Repair Power Epoxy Permanent Adhesive 5 minute 14ml","Unibond","14ml",NA,"1",NA,NA,1
"DEC","ADH","433392","Unibond One For All Crystal Glue Transparent 290g","Unibond","290g",NA,"1",NA,NA,1
"DEC","ADH","433393","Unibond One For All Super Grab White 440g","Unibond","440g",NA,"1",NA,NA,1
"DEC","ADH","433394","Unibond One For All Universal White 390g","Unibond","390g",NA,"1",NA,NA,0.93
"DEC","ADH","433395","Unibond Super PVA Adhesive and Sealer 250ml","Unibond","250ml",NA,"1",NA,NA,1
