"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","SHC","141025","VO5 Extra Hold Hairspray 275ml","VO5","275ml","Multi","1",1
"TOI","SHC","141026","VO5 Firm Hold Hairspray 275ml","VO5","275ml","Multi","1",1
"TOI","SHC","141028","VO5 Groomed Styling Wax 75ml","VO5","75ml","Multi","1",1
"TOI","SHC","193843","VO5 Mega Hold Styling Gel 200ml","VO5","200ml","Multi",NA,0.93
"TOI","SHC","193844","VO5 Extra Body Styling Mousse 200ml","VO5","200ml","Multi","1",1
"TOI","SHC","193845","VO5 Mega Hold Styling Mousse 200ml","VO5","200ml","Multi","1",1
"TOI","SHC","193846","VO5 Volume Boost Gel Spray 200ml","VO5","200ml","Multi","1",1
"TOI","SHC","200644","VO5 Mega Hold Gel Spray 200ml","VO5","200ml","Multi","1",1
"TOI","SHC","205398","VO5 Extreme Style Texture reWork Putty 150ml","VO5","150ml","Multi","1",1
"TOI","SHC","221351","VO5 Extreme Style Texture Texturising Gum 75ml","VO5","75ml","Multi","1",1
"TOI","SHC","228671","VO5 Extreme Style Matt Matt Clay 75ml","VO5","75ml","Multi",NA,0.93
"TOI","SHC","306827","VO5 Nourish My Shine Conditioner 250ml","VO5","250ml",NA,"1",1
"TOI","SHC","306828","VO5 Nourish My Shine Shampoo 250ml","VO5","250ml",NA,"1",1
"TOI","SHC","306832","VO5 Give Me Moisture Conditioner 250ml","VO5","250ml",NA,"1",1
"TOI","SHC","306833","VO5 Give Me Moisture Shampoo 250ml","VO5","250ml",NA,NA,0.9125
"TOI","SHC","351647","VO5 Plump It Up Weightless Mousse 200ml","VO5","200ml","Multi","1",1
"TOI","SHC","429128","VO5 Smoothly Does It Conditioner 250ml","VO5","250ml",NA,"1",1
"TOI","SHC","453862","VO5 Ultimate Hold Hairspray 400ml","VO5",NA,NA,"1",0.86
"TOI","SHC","454006","VO5 Heat Protect Style Spray 200ml","VO5",NA,NA,"1",0.86
