"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"DIS","TIS","301929","Velvet Facial Tissue Cube 46 Sheets 3 Ply","Velvet","Cube","1",1
"DIS","TIS","301930","Velvet Facial Tissue Box 80 Sheets 3 Ply","Velvet","Family",NA,0.9125
"DIS","TIS","301931","Velvet Facial Tissue Box Extra Large50 Sheets 3 Ply","Velvet","Mansize","1",1
"DIS","TIS","320742","Velvet Balm Facial Tissues","Velvet","Cube","1",1
"DIS","TOI","212892","Velvet Comfort Toilet Tissue White 4 Rolls","Velvet","4 Pack","4pk",1
"DIS","TOI","222494","Velvet Comfort Tissue White 9 Rolls200 Sheets 3 Ply","Velvet","9 Pack","9pk",1
"DIS","TOI","324398","Velvet Pure Moist Toilet Tissue 42pk","Velvet","42s","1",1
"DIS","TOI","352503","Velvet Quilted Toilet Tissue 4 Rolls 165 Sheets3 Ply","Velvet","4 Rolls","1",1
"DIS","TOI","352521","Velvet Quilted Toilet Tissue 9 Rolls 165 Sheets3 Ply","Velvet","165 sheets per roll","9",1
"DIS","TOI","435096","Velvet Comfort Toilet Tissue White 16 Rolls200 Sheets 3 Ply","Velvet","200 sheets per roll","16",1
