"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","100","314556","Wagg Complete with Beef and Veg 12kg","Wagg","12kg",NA,0.9125
"PET","100","314558","Wagg Complete Worker with Beef and Veg 17kg","Wagg","17kg",NA,0.9125
"PET","100","314559","Wagg Complete Worker with Chicken and Veg 17kg","Wagg","17kg","1",1
"PET","DOG","228314","Wagg Complete Dry Dog Food Chicken and Vegetables2.5kg","Wagg","2.5kg",NA,0.9125
"PET","DOG","267015","Wagg Complete Dry Dog Food Sensitive Chicken andRice 2kg","Wagg","2kg","1",1
"PET","DOG","345215","Wagg Kennel Dry Dog Food Chicken 1kg","Wagg","1kg",NA,0.9125
"PET","DOG","423831","Wagg Kennel Dry Dog Food Chicken 6kg","Wagg","6kg","1",1
"PET","DOG","98903","Wagg Dry Dog Food Beef and Veg 2.5kg","Wagg","2.5kg","1",1
"PET","SMA","182648","Wagg Rabbit Food Bunny Brunch 2kg","Wagg","2kg",NA,0.9125
"PET","SMA","182722","Wagg Hamster Gerbil and Mouse Food 1kg","Wagg","1kg","1",1
"PET","SMA","238921","Wagg Guinea Pig Food 2kg","Wagg","2kg",NA,0.9125
"PET","TRT","453247","Wagg Low Fat Dog Treats 125g","Wagg","125g","1",1
"PET","TRT","453248","Wagg Tasty Bones Dog Treats 150g","Wagg","150kg","1",1
"PET","TRT","453249","Wagg Dog Training Treats 125g","Wagg","125g","1",1
"PET","TRT","453250","Wagg Tasty Chunks Dog Treats 150g","Wagg","150g","1",1
