"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","DQ Score"
"HOM","COO","437266","Wax Lyrical Reed Diffuser Mediterranean Orange 100","Wax Lyrical","100ml","1",NA,NA,NA,1
"HOM","COO","437267","Wax Lyrical Reed Diffuser Mediterranean Orange 50m","Wax Lyrical","50ml","1",NA,NA,NA,1
"HOM","COO","437268","Wax Lyrical Wax Filled Glass Med Orange35 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","437269","Wax Lyrical Wax Filled Tin Med Orange16 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","437270","Wax Lyrical Reed Diffuser Red Cherry 100ml","Wax Lyrical","100ml","1",NA,NA,NA,1
"HOM","COO","437271","Wax Lyrical Reed Diffuser Red Cherry 50ml","Wax Lyrical","50ml","1",NA,NA,NA,1
"HOM","COO","437272","Wax Lyrical Wax Filled Glass Red Cherries35 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","437273","Wax Lyrical Wax Filled Tin Red Cherries16 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","437274","Wax Lyrical Reed Diffuser Fresh Linen 100ml","Wax Lyrical","100ml","1",NA,NA,NA,1
"HOM","COO","437275","Wax Lyrical Reed Diffuser Fresh Linen 50ml","Wax Lyrical","50ml","1",NA,NA,NA,1
"HOM","COO","437276","Wax Lyrical Wax Filled Glass Fresh Linen35 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","437277","Wax Lyrical Wax Filled Tin Fresh Linen16 Hours Burn Time","Wax Lyrical",NA,"1",NA,NA,NA,0.86
"HOM","COO","455623","Wax Lyrical Vanilla Diffuser 100ml","Wax Lyrical","100ml","1","Glass, card, paper","No","100ML",0.65
"HOM","COO","455624","Wax Lyrical Vanilla Diffuser 50ml","Wax Lyrical","4.3CM X 5.5CM X 15.2CM","1",NA,NA,NA,1
"HOM","COO","455625","Wax Lyrical Vanilla Candle Tin","Wax Lyrical","6.4CM X 6.4CM X 4.8CM","1",NA,NA,NA,0.93
"HOM","COO","455626","Wax Lyrical Vanilla Glass Candle","Wax Lyrical","7CM X 7CM X 8.2CM","1",NA,NA,NA,0.93
