"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FEM","230079","Wilkinson Sword Xtreme 3 Beauty DisposableRazor 4pk","Wilkinson Sword","4 Pack","Multi","1",0.941666666666667
"TOI","FEM","338692","Wilkinson Sword Quattro Razor for Sensitive Skin3pk","Wilkinson Sword",NA,"Multi","1",0.883333333333333
"TOI","FEM","432893","Wilkinson Sword Extra Beauty Razors 10pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449853","Wilkinson Sword Quattro for Women Razor","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449854","Wilkinson Sword Intuition Sensitive Care Razor","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449855","Wilkinson Sword Intuition Sensitive Care Blades3pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449856","Quattro for Women Bikini Razor","Wilkinson Sword",NA,NA,NA,0.716666666666667
"TOI","FEM","449857","Wilkinson Sword Quattro for Women Blades3pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449858","Wilkinson Sword Xtreme 3 Beauty SensitiveRazors 4pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449860","Wilkinson Sword Intuition Ultra Moisture Razor 1pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","FEM","449861","Wilkinson Sword Intuition Ultra Moisture Blades3pk","Wilkinson Sword",NA,NA,NA,0.766666666666667
"TOI","MEN","175589","Wilkinson Sword Razor Xtreme 3 Sensitive 4pk","Wilkinson Sword","4 Pack","Multi","1",0.9
"TOI","MEN","209877","Wilkinson Sword Quattro Razor Heads 4pk","Wilkinson Sword",NA,"Multi","1",0.85
"TOI","MEN","236981","Wilkinson Sword Soap Bowl 125g","Wilkinson Sword",NA,"Multi","1",0.85
"TOI","MEN","243201","Wilkinson Sword Quattro Titanium Coated Blades4pk","Wilkinson Sword",NA,"Multi","1",0.85
"TOI","MEN","338889","Wilkinson Sword Classic Blades 10pk","Wilkinson Sword","10 Pack","Multi","1",0.9
"TOI","MEN","345690","Wilkinson Sword Bristle Shave Brush","Wilkinson Sword",NA,"Multi","1",0.85
"TOI","MEN","346113","Quattro For Men Disposable Razors 3pk","Wilkinson Sword","3 Pack","Multi","1",0.85
"TOI","MEN","433404","Wilkinson Sword Hydro 5 Razor","Wilkinson Sword",NA,NA,"1",0.8
"TOI","MEN","433405","Wilkinson Sword Hydro 3 Razor","Wilkinson Sword",NA,NA,"1",0.8
"TOI","MEN","433406","Wilkinson Sword Hydro 5 Groomer","Wilkinson Sword",NA,NA,"1",0.8
"TOI","MEN","433407","Wilkinson Sword Hydro 5 Blades 4pk","Wilkinson Sword",NA,NA,"1",0.75
"TOI","MEN","433408","Wilkinson Sword Hydro 3 Blades 4pk","Wilkinson Sword",NA,NA,"1",0.75
"TOI","MEN","433409","Wilkinson Sword Hydro 5 Groomer Blades 4pk","Wilkinson Sword",NA,NA,"1",0.8
"TOI","MEN","433410","Wilkinson Sword Quattro Titanium  Razor Plus8 Blades","Wilkinson Sword",NA,NA,"8",0.8
"TOI","MEN","433411","Wilkinson Sword Hydro 5 Sensitive Razor","Wilkinson Sword",NA,NA,"1",0.8
"TOI","MEN","433412","Wilkinson Sword Hydro 5 Sensitive Blades 4pk","Wilkinson Sword",NA,NA,"1",0.75
"TOI","MEN","433425","Wilkinson Sword Extra Sensitive 2","Wilkinson Sword",NA,NA,"10pk",0.8
"TOI","MEN","449859","Wilkinson Sword Xtreme 3 Razor Duo 6 Pack","Wilkinson Sword",NA,NA,"6",0.825
"TOI","TRA","451127","Wilkinson Sword Xtreme 3 Sensitive Razor 1pk","Wilkinson Sword",NA,NA,"1",0.825
"TOI","TRA","451128","Wilkinson Sword Xtreme 3 Beauty Razor 1pk","Wilkinson Sword",NA,NA,"1",0.825
