"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","DQ Score"
"SES","CAM","450505","Yellowstone Dome Tent 4 Man","Yellowstone","240x210x130cm",NA,"Polyester","No",NA,0.941666666666667
"SES","CAM","456133","Yellowstone Festival Tent 4 Man Blue","Yellowstone","300 x 300 x 350cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456134","Yellowstone Beach Shelter with Closure","Yellowstone","228 x 220 x 115cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456135","Yellowstone Midi Wind Block","Yellowstone","30 x 130 cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456136","Yellowstone Compact Wind Block Large Green","Yellowstone","500 x 150 cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456137","Yellowstone Tent 4 Man Peak Dome with Porch Blue","Yellowstone","340 x 250 x 140cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456138","Yellowstone Tent 4 Man Horizon Family","Yellowstone","440 x 280 x 160 cm","1","Polyester","Yes",NA,0.65
"SES","CAM","456139","Yellowstone Festival Folding Trolley","Yellowstone","87 x 31 x35 cm","1","Metal","No",NA,0.65
"SES","CAM","456140","Yellowstone Double Sleeping Bag Ashford","Yellowstone","230 x 150 cm","1","Polyester Cotton","No",NA,0.65
"SES","CAM","456141","Yellowstone Camping Table Adjustable","Yellowstone","65 x 80 x 60cm","1","Resin/ Steel","Yes",NA,0.65
"SES","CAM","456142","Yellowstone Aluminium Cook Set 5 Piece","Yellowstone",NA,"1","Aluminium","No","1.4LITRE. 1 LITRE",0.65
"SES","CAM","456143","Yellowstone Backpack Adventurer Green","Yellowstone","30lt","1","Rip Stop, Nylon","No","30 Litre",0.6
"SES","CAM","456144","Yellowstone Adventurer Rucksack Green","Yellowstone","40L","1","Rip Stop, Nylon","No","40L",0.6
