"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"CLE","AIR","346492","AmbiPur Plug In Diffuser Refill Vanilla Harmony 2x 20ml","Ambi Pur",0.88
"CLE","AIR","431010","Fabreze Fabric Refresher Thai 375ml","Febreze",0.95
"CLE","FLY","334446","Beacon Pest Control Mouse and Rat Repeller Plug In","Rentokil",0.8625
"CLE","FLY","334451","Rentokli Moth Cassettes","Rentokil",0.95
"CLE","LAU","333076","Dr.Beckmann Service-it Washing Machine CleanerDeep Clean 250g","Dr Beckmann",0.95
"CLE","LAU","349716","Dr.Beckmann Glowhite Ultra 40g 2pk","Dr Beckmann",0.95
"CLE","LAU","349717","Dr.Beckmann Stain Devils Survival Kit3 Bottles","Dr Beckmann",0.8625
"CLE","LAU","349718","Dr.Beckmann Colour and Dirt Collector 50pk","Dr Beckmann",0.8625
"CLE","LAU","433681","Dr. Beckmann Colour Run Remover 1pk","Dr Beckmann",0.95
"CLE","SUR","173301","OzKleen Bath Power Bathroom Cleaner 500ml","Oz Kleen",0.8625
"CLE","SUR","215640","OzKleen Carpet Power Stain Remover 500ml","Oz Kleen",0.8625
"CLE","SUR","1159440","Caustic Soda 500g","Wilko",0.9
"CLE","TOI","293101","Duck Fresh Disc 5in1 Marine 36ml","Toilet Duck",0.8625
