"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","DQ Score"
"DIS","BIN","245770","Inglenook Fire Cement 1kg","Inglenook","11.0CM","10.3CM","10.3CM","Cement","1kg","Multi","1",1
"DIS","TAB","331986","Paloma Paper Napkins Cream 2 Ply 33cm 20pk","Paloma","16.5CM","16.5CM","3.5CM","Napkins","33cmx33cm","Cream","20pk",1
"DIS","TAB","150004","Wilko Insulated Plates White 10pk","Wilko","2.0CM","22.0CM","22.0CM","Plates and Bowls","22.5x22.5cm","White","1",1
"DIS","TAB","190074","Wilko Doilies Assorted Sizes White 20 Pack","Wilko","25.7CM","25.7CM",".2CM","Paper Doyleys","Assorted","White","1",1
"DIS","TAB","203981","Wilko Napkins 2 Ply White 100pk","Wilko","16.2CM","16.8CM","7.5CM","Napkins","2ply","White","100pk",1
"DIS","TAB","203989","Wilko Party Tumblers Clear Large 10pk","Wilko","14.0CM","9.0CM","9.0CM","Glasses","Large","Clear","1",1
"DIS","TAB","203991","Wilko Paper Plates Large White 30pk","Wilko","1.0CM","22.0CM","22.0CM","Plates and Bowls","Large","White","1",1
"DIS","TAB","233954","Wilko Foil Platters 3pk","Wilko","2.0CM","23.5CM","35.0CM","Platters","35x24.5cm","Silver","1",1
"DIS","TAB","330870","Wilko Round Platters Foil 3pk","Wilko","2.0CM","31.0CM","31.0CM","Plates and Bowls","3 Pack","Silver","3pk",1
"DIS","TAB","331938","Wilko Party Tumblers Clear Small 75pk","Wilko","11.0CM","7.5CM","7.5CM","Glasses","Half Pint","Clear","1",1
"DIS","TAB","331939","Wilko Disposable Serving Bowls Small 10pk","Wilko","3.5CM","14.0CM","14.0CM","Plates and Bowls","Small","Clear","1",1
"DIS","TAB","331940","Wilko Disposable Bowls Large 10pk","Wilko","4.0CM","15.0CM","15.0CM","Plates and Bowls","Large","White","1",1
"DIS","TAB","331941","Wilko Disposable Salad Bowls 2pk","Wilko","9.0CM","27.0CM","27.0CM","Plates and Bowls","2 Pack","White","1",1
"DIS","TAB","333429","Wilko Disposable Champagne Flutes Clear 10pk","Wilko","16.0CM","5.5CM","5.5CM","Glasses","10 Pack","Clear","1",1
"DIS","TAB","333445","Wilko Plastic Plates White 22cm 10pk","Wilko","1.5CM","22.0CM","22.0CM","Plates and Bowls","22cm","White","10pk",1
"DIS","TAB","332174","Wilko Functional Paper Bowls White 30pk","Wilko Functional","2.5CM","15.0CM","15.0CM","Plates and Bowls","30 Pack","White","30pk",1
"DIS","TIS","222436","Kleenex Original Tissues Extra Large Twin Pack65 Sheets 3 Ply","Kleenex","16.0CM","31.1CM","10.7CM","Facial Tissues","Mansize",NA,"2pk",1
"DIS","TIS","305124","Kleenex Balsam Tissues Pocket Pack","Kleenex","10.5CM","5.4CM","2.7CM","Facial Tissues","Pocket",NA,"1",1
"DIS","TIS","320749","Kleenex Balsam Tissues Cube 56 Sheets 3 Ply","Kleenex","10.0CM","11.3CM","12.0CM","Facial Tissues","Cube",NA,"1",1
"DIS","TIS","324395","Kleenex Ultrasoft Extra Large Tissues 44 Sheets3 Ply","Kleenex","16.2CM","15.5CM","6.3CM","Facial Tissues","Mansize",NA,"1",1
"DIS","TIS","336053","Kleenex Collection Tissues Cube 56 Sheets 3 Ply","Kleenex","12.2CM","11.7CM","10.1CM","Facial Tissues","Cube",NA,"1",1
"DIS","TIS","336055","Kleenex Original Tissues 72 Sheets 3 Ply","Kleenex","11.5CM","23.2CM","5.0CM","Facial Tissues","20cmx20cm",NA,"1",1
"DIS","TIS","410246","Kleenex Balsam Tissues Pocket Pack 8pk","Kleenex","10.8CM","22.0CM","5.0CM","Facial Tissues","9SC X8",NA,"8pk",1
"DIS","TIS","419065","Kleenex Balsam Tissues 72pk","Kleenex","11.5CM","18.4CM","23.0CM","Facial Tissues","Regular",NA,"1",1
"DIS","TIS","437423","Kleenex Mansize Tissues 44 Sheets","Kleenex","16.2CM","3.5CM","15.6CM","Facial Tissues","44sc x 12",NA,"1",1
"DIS","TIS","301929","Velvet Facial Tissue Cube 46 Sheets 3 Ply","Velvet","11.5CM","11.7CM","13.5CM","Facial Tissues","Cube",NA,"1",1
"DIS","TIS","301931","Velvet Facial Tissue Box Extra Large50 Sheets 3 Ply","Velvet","16.1CM","25.6CM","6.6CM","Facial Tissues","Mansize",NA,"1",1
"DIS","TIS","320742","Velvet Balm Facial Tissues","Velvet","11.5CM","23.7CM","9.0CM","Facial Tissues","Cube",NA,"1",1
"DIS","TIS","125470","Wilko Soft White Tissues Cube 65 Sheets 2 Ply","Wilko","11.0CM","12.0CM","10.2CM","Facial Tissues","Cube 2ply",NA,"1",1
"DIS","TIS","137679","Wilko Ultra Soft Pocket Tissue Packs 4 Ply 6pk","Wilko","10.5CM","17.2CM","5.2CM","Facial Tissues","6 Pack",NA,"1",1
"DIS","TIS","255447","Wilko Soft White Tissues 80 Sheets2 Ply","Wilko","11.2CM","22.6CM","7.1CM","Facial Tissues","Family",NA,"1",1
"DIS","TIS","351800","Wilko Large Soft White Tissues 90 Sheets 2 Ply","Wilko","16.0CM","31.2CM","5.5CM","Facial Tissues","90s",NA,"1",1
"DIS","TIS","351802","Wilko Super Soft Tissues White 80 Sheets 3 Ply","Wilko","11.5CM","23.0CM","7.0CM","Facial Tissues","80s",NA,"1",1
"DIS","TIS","1593850","Wilko Functional Tissues 70 Sheets 2 Ply","Wilko Functional","16.4CM","31.2CM","5.4CM","Facial Tissues","Mansize",NA,"1",1
"DIS","TOI","208847","Cushelle Toilet Tissue White 9 Rolls 180 Sheets2 Ply","Cushelle","32.0CM","33.5CM","11.5CM","Toilet Roll","180 sheets per roll",NA,"9",1
"DIS","TOI","255738","Cushelle Scented Toilet Tissue 4 Rolls","Cushelle","21.0CM","22.0CM","11.0CM","Toilet Roll","4 Pack",NA,"4pk",1
"DIS","TOI","293760","Cushelle Toilet Tissue White 4 Rolls180 Sheets 2 Ply","Cushelle","21.0CM","22.0CM","11.0CM","Toilet Roll","4 Pack",NA,"1",1
"DIS","TOI","222828","Regina Impressions Toilet Tissue White 16 Rolls160 Sheets 3 Ply","Regina","21.0CM","49.2CM","24.6CM","Toilet Roll","160 sheets per roll",NA,"16",1
"DIS","TOI","268119","Regina Scented Toilet Tissue 4 Rolls160 Sheets 3 Ply","Regina","22.0CM","23.0CM","11.5CM","Toilet Roll","160 sheets per roll",NA,"4",1
"DIS","TOI","280994","Regina Chamomile Toilet Tissue 9 Rolls160 Sheets 3 Ply","Regina","33.0CM","35.0CM","11.0CM","Toilet Roll","160 sheets per roll",NA,"9",1
"DIS","TOI","306518","Regina Impressions Toilet Tissue White 4 Rolls160 Sheets 3 Ply","Regina","21.8CM","22.0CM","12.2CM","Toilet Roll","4 Pack",NA,"4pk",1
"DIS","TOI","352144","Regina Impressions Toilet Tissues White 9 Rolls170 Sheets 3 Ply","Regina","33.0CM","35.0CM","11.0CM","Toilet Roll","170 sheets per roll",NA,"9",1
"DIS","TOI","212892","Velvet Comfort Toilet Tissue White 4 Rolls","Velvet","21.5CM","20.5CM","11.0CM","Toilet Roll","4 Pack",NA,"4pk",1
