"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"DIS","BIN","5584640","Inglenook Hearth Cheek Brick","Harewood",NA,"Fire Bricks",NA,NA,"15cmx3.5cmx17cm",NA,0.81
"DIS","BIN","5585940","Inglenook Hearth Brick","Harewood",NA,"Fire Bricks",NA,NA,"3.8cmx23cmx15.5cm",NA,0.81
"DIS","BIN","294490","Inglenook Fireside Shovel Black 5in","Inglenook",NA,"Fireside Tools","Black",NA,"5in",NA,0.93
"DIS","BIN","133869","Supa Stix Firewood Kindling","Wilko",NA,"Logs and Firewood",NA,"1",NA,NA,0.81
"DIS","BIN","1554","Wilko Tie Handle Swing Bin Liners 50L 15pk","Wilko",NA,"Swing Bin Liners",NA,"15","Large",NA,0.883333333333333
"DIS","BIN","214132","Wilko Tie Handle Pedal Bin Liners 25L 30pk","Wilko",NA,"Pedal Bin Liners",NA,"30pk","Large",NA,0.883333333333333
"DIS","BIN","238429","Wilko Tie Top Refuse Sacks 80L 20pk","Wilko",NA,"Refuse Sacks",NA,"30pk","73cmx93cm",NA,0.883333333333333
"DIS","BIN","278076","Wilko Tall Kitchen Bin Liners 30L 20pk","Wilko",NA,"Drawstring Liners",NA,"20pk","30L",NA,0.883333333333333
"DIS","BIN","278077","Wilko Tall Kitchen Bin Liners 50L 15pk","Wilko",NA,"Drawstring Liners",NA,"15pk","50L",NA,0.883333333333333
"DIS","BIN","330867","Wilko Tie Handle Garden Refuse Sacks 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","80L",NA,0.883333333333333
"DIS","BIN","330868","Wilko Wheelie Bin Liners 120 x 240L 10pk","Wilko",NA,"Wheelie Bin Liners",NA,"10pk","80L",NA,0.883333333333333
"DIS","BIN","332574","Wilko Recycled Refuse Bags Large 100L 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk","Large",NA,0.883333333333333
"DIS","BIN","332590","Wilko Recycled Refuse Bags Large 90L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","Large",NA,0.883333333333333
"DIS","BIN","332591","Wilko Recycled Bin Bags Extra Large 120L 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk","Extra Large",NA,0.883333333333333
"DIS","BIN","333513","Wilko Recycled Swing Bin Liners 50L 20pk","Wilko",NA,"Swing Bin Liners",NA,"20pk","50L",NA,0.883333333333333
"DIS","BIN","400384","Wilko Home Compost Caddy Liner 20pk","Wilko",NA,"Refuse Sacks",NA,NA,NA,NA,0.766666666666667
"DIS","BIN","400385","Wilko Industrial Compost Caddy Liner 20pk","Wilko",NA,"Refuse Sacks",NA,"20",NA,NA,0.825
"DIS","BIN","400391","Wilko Extra Strong Rubble Sacks 10pk","Wilko",NA,"Refuse Sacks",NA,"1","10 Pack",NA,0.883333333333333
"DIS","BIN","400392","Wilko Refuse Sacks Clear 20pk","Wilko",NA,"Refuse Sacks",NA,"20pk",NA,NA,0.825
"DIS","BIN","400393","Wilko Drawstring Storage Bag Clear 10pk","Wilko",NA,"Storage Bags",NA,"10","90L",NA,0.883333333333333
"DIS","BIN","400394","Wilko Kerbside Caddy Liners Large 10pk","Wilko",NA,"Refuse Sacks",NA,"10",NA,NA,0.825
"DIS","BIN","400395","Wilko Waste Basket Liners Lavender Scented 25pk","Wilko",NA,"Swing Bin Liners",NA,"25",NA,NA,0.825
"DIS","BIN","420095","Wilko Firelighters 28pk","Wilko",NA,"Firelighters",NA,"2","2 tablets, each of 120x16x188mm, individually wrap",NA,0.93
"DIS","BIN","420096","Wilko Wrapped Firelighters 18pk","Wilko",NA,"Firelighters",NA,NA,NA,NA,0.79
"DIS","BIN","420097","Wilko Firelog 800g","Wilko",NA,"Firelogs",NA,NA,NA,NA,0.79
"DIS","BIN","5574440","Wilko Firelighters 14pk","Wilko",NA,"Firelighters",NA,"14pk",NA,NA,0.86
"DIS","BIN","63855","Wilko Drawstring Refuse Sacks 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10pk","Large",NA,0.883333333333333
"DIS","BIN","63857","Wilko Drawstring Swing Bin Liners 50L 15pk","Wilko",NA,"Swing Bin Liners",NA,"15","Large",NA,0.883333333333333
"DIS","BIN","71844","Wilko Tie Handle Refuse Sacks Black 80L 10pk","Wilko",NA,"Refuse Sacks",NA,"10","Large",NA,0.883333333333333
"DIS","BIN","193718","Wilko Swing Bin Liners 58 x76cm 50pk","Wilko Functional",NA,"Swing Bin Liners",NA,"50pk","585mmx760mm",NA,0.833333333333333
"DIS","BIN","332570","Wilko Functional Refuse Sacks 30pk","Wilko Functional",NA,"Refuse Sacks",NA,"30",NA,NA,0.825
"DIS","BIN","332690","Wilko Functional Pedal Bin Liners 50pk","Wilko Functional",NA,"Pedal Bin Liners",NA,"50pk","46cmx46cm",NA,0.883333333333333
"DIS","BIN","313209","Zip Energy Firelighters 24pk","Zip",NA,"Firelighters",NA,"24pk",NA,NA,0.86
"DIS","BIN","345294","Zip Firelighter Cubes Wrapped 16pk","Zip",NA,"Firelighters","Multi",NA,NA,NA,0.86
