"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DIY","BAT","215269","Duracell Plus Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","12.0CM","8.4CM","1.2CM","AAA","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215270","Duracell Plus Power Alkaline Batteries AA LR6 1.5V4pk","Duracell","12.0CM","8.4CM","1.5CM","AA","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215271","Duracell Plus Power Alkaline Batteries C LR141.5V 2pk","Duracell","12.0CM","8.4CM","2.6CM","C","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215273","Duracell Plus Power Alkaline Batteries D LR201.5V 2pk","Duracell","12.0CM","9.1CM","3.5CM","D","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","215276","Duracell Plus Power Alkaline Batteries AA LR61.5V 8pk","Duracell","12.0CM","17.6CM","1.6CM","AA","AA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","254438","Duracell Plus Power Alkaline Batteries AAA LR031.5V 8pk","Duracell","12.0CM","8.5CM","1.4CM","AAA","AAA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","295056","Duracell Ultra Power Alkaline Batteries C LR141.5V 2pk","Duracell","12.0CM","8.4CM","2.6CM","C","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","295057","Duracell Ultra Power Alkaline Batteries D LR201.5V 2pk","Duracell","12.0CM","9.1CM","3.5CM","D","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","298782","Duracell Ultra Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","12.0CM","8.4CM","1.1CM","AAA","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","298783","Duracell Ultra Power Alkaline Batteries AA LR61.5V 4pk","Duracell","12.0CM","8.4CM","1.5CM","AA","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
