"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"DIY","BRA","437733","Masterlock Integrated Crossover Carry Straps Upto 40kg","Master Lock",0.85
"DIY","BRA","343099","Wilko 20 Compartment Organiser Clear Large","Wilko Functional",0.775
"DIY","BRA","343101","Wilko 9 Compartment Organiser Clear Small","Wilko Functional",0.833333333333333
"DIY","BRA","343105","Wilko 6 Compartment Organiser Crear Mini","Wilko Functional",0.775
"DIY","BUL","456868","Wilko LED Bulb Filament Soft Tone 7W BC White","TCP",0.88
"DIY","BUL","456869","Wilko LED Bulb Filament Soft Tone 7W ES White","TCP",0.88
"DIY","BUL","456870","Wilko LED Bulb Filament Soft Tone 7W BC Peach","TCP",0.88
"DIY","BUL","456871","Wilko LED Bulb Filament Soft Tone 7W ES Peach","TCP",0.88
"DIY","BUL","456872","Wilko LED Bulb Filament Candle Soft Light 4W BCWhite","TCP",0.88
"DIY","BUL","456873","Wilko LED Bulb Filament Candle Soft Light 4W SESWhite","TCP",0.88
"DIY","BUL","456874","Wilko LED Bulb Filament Candle Soft Light 4W BCPeach","TCP",0.88
"DIY","BUL","456875","Wilko LED Bulb Filament Candle Soft Light 4W SESPeach","TCP",0.88
"DIY","BUL","456876","Wilko LED Bulb Filament Globe Soft Light 4W BCWhite","TCP",0.88
"DIY","BUL","456877","Wilko LED Bulb Filament Globe Soft Light 4W SESWhite","TCP",0.88
"DIY","BUL","456878","Wilko LED Bulb Filament Globe Soft Light 4W BCPeach","TCP",0.88
"DIY","BUL","456879","Wilko LED Bulb Filament Globe Soft Light 4W SESPeach","TCP",0.88
"DIY","CYC","299174","3 In 1 Bike Maintenance Spray 250ml","3in1",0.833333333333333
"DIY","CYC","337325","Bi- Tech Water Bottle With Cage","Bi-Tech",0.833333333333333
"DIY","CYC","435203","Star Wars The Force Awakens Bicycle Bell","Disney",0.891666666666667
"DIY","CYC","435207","Star Wars-The Force Awakens Drinking Bottle 200ml","Disney",0.891666666666667
"DIY","CYC","435211","Star Wars The Force Awakens Cycle Safety Helmet","Disney",0.891666666666667
"DIY","CYC","435215","Star Wars The Force Awakens Knee and Elbow Pad","Disney",0.6
"DIY","CYC","435219","Star Wars The Force Awakens Bicycle Mitts","Disney",0.6
"DIY","CYC","258270","Wilko Stabiliser Kit Universal Fit","ETC",0.833333333333333
"DIY","CYC","76690","Wilko Cycle Stand","ETC",0.833333333333333
"DIY","CYC","336764","Muc-Off Step 1 Step  Bicycle Cleaner 500ml","Muc Off",0.775
"DIY","CYC","336765","Muc-Off Step 2 Chain and Gears Degreaser 400ml","Muc Off",0.833333333333333
