"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"FOO","CAN","401677","Britvic J2O Apple and Mango 275ml 4pk","J20","21.5CM","11.7CM","11.7CM","Drinks Multipack",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"FOO","CHO","237152","Bassetts Liquorice Allsorts 400g","Bassetts","18.6CM","12.7CM","6.6CM","Confectionery Gifts","400g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","256633","Cadbury Dairy Milk Chocolate Block 360g","Cadbury","12.0CM","26.0CM","1.2CM","Chocolates","360g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","267658","Cadbury Milk Tray Chocolates 180g","Cadbury","13.2CM","16.3CM","4.6CM","Boxed Chocolate","180g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","277153","Cadbury Roses Chocolate Box 290g","Cadbury","22.5CM","12.8CM","6.4CM","Confectionery Gifts","290g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","277155","Cadbury Heroes 290g","Cadbury","22.5CM","12.8CM","6.4CM","Confectionery Gifts","290g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","405633","Cadbury Bista Wispa Bag 110g","Cadbury","16.5CM","11.0CM","4.5CM","Confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"FOO","CHO","405637","Cadbury Dairy Milk Caramel Nibbles Bag 120g","Cadbury","16.5CM","11.0CM","3.7CM","Confectionery","120g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","407927","Cadbury Twirl Bites Bag 109g","Cadbury","16.5CM","11.0CM","3.7CM","Confectionery","109g",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435353","Cadbury Time Out 6pk 127.2g","Cadbury","13.0CM","15.0CM","1.7CM","Chocolate Bar Multipack","127.2g",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435354","Cadbury Crunchie 4pk 104g","Cadbury","10.0CM","12.0CM","2.0CM","Chocolate Bar Multipack","104g",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435355","Cadbury Wispa 4pk 102g","Cadbury","10.0CM","12.8CM","1.8CM","Chocolate Bar Multipack","102g",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435356","Cadbury Twirl 5pk 108g","Cadbury","13.6CM","12.0CM","2.0CM","Chocolate Bar Multipack","108g",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435357","Cadbury Flake 4pk 80g","Cadbury","14.0CM","11.0CM","1.9CM","Chocolate Bar Multipack","80g",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435358","Cadbury Dairy Milk 4pk 130g","Cadbury","11.0CM","14.0CM","1.5CM","Chocolate Bar Multipack","130g",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435359","Cadbury Decker 4pk 160g","Cadbury","8.5CM","15.0CM","2.7CM","Chocolate Bar Multipack","160g",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","435361","Cadbury Picnic 4pk 128g","Cadbury","9.7CM","15.0CM","2.7CM","Chocolate Bar Multipack","128g",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","440191","Ferrero Collection 172g","Ferrero Rocher","14.0CM","4.0CM","19.0CM","Boxed Chocolate","172g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","440192","Ferrero Raffaello 150g","Ferrero Rocher","10.0CM","12.0CM","12.0CM","Boxed Chocolate","150g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","450262","Ferrero Rocher T24 300g","Ferrero Rocher","22.0CM","22.0CM","4.0CM","Boxed Chocolate",NA,NA,"6",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","450263","Ferrero Rocher 3pk 37.5g","Ferrero Rocher","4.0CM","16.0CM","6.0CM","Confectionery Gifts","37.5g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","90965","Ferrero Rocher 200g","Ferrero Rocher","7.0CM","14.0CM","7.5CM","Boxed Chocolate","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","256601","Galaxy Chocolate Block 390g","Galaxy","13.7CM","27.8CM","1.0CM","Confectionery Gifts","390g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","282627","Guylian Belgian Chocolates Sea Shells Box 250g","Guylian","19.0CM","19.0CM","3.0CM","Boxed Chocolates","250g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","138041","Haribo Tangfastics Bag 160g","Haribo","19.5CM","16.0CM","2.5CM","Halloween confectionery","160g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","90736","Haribo Star Mix Bag 160g","Haribo","19.5CM","16.0CM","2.5CM","Halloween confectionery","160g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","278054","Lindt Lindor Milk 200g","Lindt","15.6CM","10.8CM","6.5CM","Boxed Chocolate","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","278861","Lindt Lindor Assorted 200g","Lindt","15.8CM","10.8CM","6.5CM","Boxed Chocolate","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","236914","Maltesers Box Large 360g","Mars","13.5CM","26.1CM","3.8CM","Boxed Chocolate","360g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","256600","Celebrations 380g","Mars","23.7CM","13.5CM","9.0CM","Confectionery Gifts","380g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","420354","Mars Snacksize 4pk 135g","Mars","13.0CM","9.5CM","2.1CM","Chocolate Bar Multipack","135g",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","237150","Maynards Wine Gums 400g","Maynards","18.6CM","12.7CM","6.6CM","Confectionery Gifts","400g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","209529","Quality Street Matchmakers Cool Mint 130g","Nestle","13.8CM","14.5CM","2.5CM","Boxed Chocolate","130g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","258101","Nestle Dairy Box 180g","Nestle","22.5CM","22.5CM","3.2CM","Boxed Chocolate","180g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","282623","Nestle Black Magic Chocolates 174g","Nestle","20.1CM","20.3CM","2.8CM","Boxed Chocolate",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","437720","Quality Street Carton 265g","Nestle","19.7CM","6.3CM","9.4CM","Boxed Chocolate","265g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","444452","After Eight 300g","Nestle","5.8CM","19.1CM","5.7CM","Confectionery Gifts","300g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","417044","Loadsa Sweets Plus 40 Percent","Swizzels","23.5CM","17.5CM","4.0CM","Halloween confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"FOO","CHO","417046","Loadsa Lollies Plus 40 Percent","Swizzels","23.5CM","17.5CM","4.0CM","Halloween confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"FOO","CHO","338494","Terrys Chocolate Orange Minis Bag 136g","Terrys","16.5CM","11.0CM","4.5CM","Confectionery","136g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
