"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Pack Qty","DQ Score"
"FOO","CHO","256633","Cadbury Dairy Milk Chocolate Block 360g","Cadbury","12.0CM","26.0CM","1.2CM","Chocolates","360g","1",1
"FOO","CHO","405637","Cadbury Dairy Milk Caramel Nibbles Bag 120g","Cadbury","16.5CM","11.0CM","3.7CM","Confectionery","120g","1",1
"FOO","CHO","407927","Cadbury Twirl Bites Bag 109g","Cadbury","16.5CM","11.0CM","3.7CM","Confectionery","109g","10",1
"FOO","CHO","435353","Cadbury Time Out 6pk 127.2g","Cadbury","13.0CM","15.0CM","1.7CM","Chocolate Bar Multipack","127.2g","13",1
"FOO","CHO","435354","Cadbury Crunchie 4pk 104g","Cadbury","10.0CM","12.0CM","2.0CM","Chocolate Bar Multipack","104g","10",1
"FOO","CHO","435355","Cadbury Wispa 4pk 102g","Cadbury","10.0CM","12.8CM","1.8CM","Chocolate Bar Multipack","102g","11",1
"FOO","CHO","435356","Cadbury Twirl 5pk 108g","Cadbury","13.6CM","12.0CM","2.0CM","Chocolate Bar Multipack","108g","20",1
"FOO","CHO","435357","Cadbury Flake 4pk 80g","Cadbury","14.0CM","11.0CM","1.9CM","Chocolate Bar Multipack","80g","20",1
"FOO","CHO","435358","Cadbury Dairy Milk 4pk 130g","Cadbury","11.0CM","14.0CM","1.5CM","Chocolate Bar Multipack","130g","15",1
"FOO","CHO","435359","Cadbury Decker 4pk 160g","Cadbury","8.5CM","15.0CM","2.7CM","Chocolate Bar Multipack","160g","8",1
"FOO","CHO","435361","Cadbury Picnic 4pk 128g","Cadbury","9.7CM","15.0CM","2.7CM","Chocolate Bar Multipack","128g","4",1
"FOO","CHO","282627","Guylian Belgian Chocolates Sea Shells Box 250g","Guylian","19.0CM","19.0CM","3.0CM","Boxed Chocolates","250g","1",1
"FOO","CHO","138041","Haribo Tangfastics Bag 160g","Haribo","19.5CM","16.0CM","2.5CM","Halloween confectionery","160g","1",1
"FOO","CHO","90736","Haribo Star Mix Bag 160g","Haribo","19.5CM","16.0CM","2.5CM","Halloween confectionery","160g","1",1
"FOO","CHO","420354","Mars Snacksize 4pk 135g","Mars","13.0CM","9.5CM","2.1CM","Chocolate Bar Multipack","135g","4",1
"FOO","CHO","338494","Terrys Chocolate Orange Minis Bag 136g","Terrys","16.5CM","11.0CM","4.5CM","Confectionery","136g","1",1
"FOO","CHO","437488","Thorntons Classic Collection 123g","Thorntons","22.7CM","20.0CM","2.5CM","Boxed Chocolates","123g","1",1
"FOO","CHO","439305","Thorntons Classic Dark Collection 248g","Thorntons","22.7CM","20.0CM","4.5CM","Boxed Chocolates","248g","1",1
"FOO","MUL","312406","Pringles Salt and Vinegar 200g","Pringles","25.9CM","7.9CM","7.9CM","Crisps","200g","1",1
"FOO","SXM","271000","Lindt Lindor Assorted 337g","Lindt","20.5CM","13.5CM","7.5CM","Boxed Chocolates","337g","1",1
