"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOM","BAT","293767","Croydex Secura Safe Shower Spray Set White","Croydex","33.7CM","20.8CM","6.2CM","Shower Heads","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310507","Wilko Toothbrush Holder Macau Collection ChromeEffect","Croydex","11.0CM","14.0CM","8.0CM","Tumblers","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","347937","Croydex Bath Mat","Croydex","38.0CM","7.3CM","7.3CM","Bath Mats",NA,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","423312","Croydex Sparkle Toilet Seat","Croydex","42.0CM","34.0CM","6.0CM","Toilet Seats","34cm x 42cm",NA,"1","Resin",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","423313","Croydex Rust Free Shower Caddy","Croydex","29.0CM","18.5CM","13.5CM","Shower Caddy",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"HOM","BAT","423314","Croydex Foster Sit Tight Toilet Seat White","Croydex","6.5CM","38.5CM","48.0CM","Toilet Seats",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","452659","Croydex Toilet Seat White Sparkle","Croydex","5.0CM","37.0CM","44.0CM","Toilet Seats","44x37x5cm",NA,"1","Resin, Zinc",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","452660","Croydex Telescopic Stick n Lock Rod","Croydex","2.2CM","2.2CM","183.0CM","Shower Curtain Rails","5x117cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","452661","Croydex Corner Basket Rust Free","Croydex","6.0CM","28.0CM","16.5CM","Shower Caddy","16.5x28x6cm",NA,"1","Rust Free Mild Steel",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310595","Weight Watchers Body Analysis Slim Glass PlatformScales","Weight Watchers","3.0CM","28.0CM","28.0CM","Bathroom Scales","Single","White",NA,NA,NA,NA,"Battery",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","345008","Weight Watchers Electric Glass Scales Ultra Slim","Weight Watchers","32.3CM","33.8CM","4.2CM","Bathroom Scales",NA,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","151595","Wilko Telescopic Shower Curtain Pole White122-218cm","Wilko","123.4CM","3.3CM","3.3CM","Shower Curtain Rails","122-218cm, 3.3cm Diam",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","161632","Wilko Bathroom Waste Bin Stainless Steel 3L","Wilko","24.0CM","16.7CM","22.0CM","Bathroom Bin","22 x 16.7 x 24cm","Silver","1",NA,NA,NA,NA,"3L",NA,NA,NA,1
"HOM","BAT","188756","Wilko Stainless Steel Shower Hose 150cm","Wilko","23.2CM","16.5CM","4.1CM","Shower Hoses","150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","188788","Wilko Pedestal and Bath Mat Set Cream","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,NA,1
"HOM","BAT","194332","Wilko Over the Door Hooks Chrome Plated","Wilko","24.0CM","45.0CM","11.0CM","Towel Rails and Hooks","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194334","Wilko Floor Tidy Chrome Plated","Wilko","88.5CM","29.7CM","16.0CM","Storage Tower","Single","Metal","1","Iron",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","194765","Wilko Toilet Roll Holder Chrome Plated","Wilko","21.0CM","22.9CM","3.1CM","Toilet Roll Holders","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","194816","Wilko Telescopic Shower Curtain Rod Silver EffectExtends to 260cm","Wilko","260.0CM","2.5CM","2.5CM","Shower Curtain Rails","180-240cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","212343","Wilko Pedestal and Bath Mat Set Violet","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set",NA,"Purple",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","212344","Wilko Pedestal and Bath Mat Set White","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,NA,1
"HOM","BAT","224917","Wilko Toilet Seat White","Wilko","45.2CM","37.5CM","5.4CM","Toilet Seats","5.4 x 37.5 x 45.2","White","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","224930","Wilko Pedestal and Bath Mat Set Aqua Blue","Wilko","54.2CM","51.5CM","3.0CM","Pedestal Set","45x70cm","Blue",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,NA,1
"HOM","BAT","224957","Wilko Pedestal and Bath Mat Set Beige","Wilko","54.2CM","51.5CM","4.0CM","Bath Mats","45x70cm","Multi",NA,"100% Cotton",NA,"Washable",NA,NA,NA,NA,NA,1
"HOM","BAT","225126","Wilko Clear Jewel Toilet Brush Holder ChromeEffect","Wilko","38.7CM","10.0CM","10.0CM","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","225128","Wilko Shower Hose 200cm","Wilko","23.1CM","16.5CM","4.1CM","Shower Hoses","200cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
