"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOM","BAT","310507","Wilko Toothbrush Holder Macau Collection ChromeEffect","Croydex",0.95
"HOM","BAT","337343","Croydex Slow Close Antibacterial Toilet Seat White","Wilko",0.833333333333333
"HOM","BAT","310377","Wilko Waste Bin Opaque Plastic","Wilko Functional",0.891666666666667
"HOM","BAT","310379","Wilko Toilet Brush and Holder Opaque Plastic","Wilko Functional",0.95
"HOM","BAT","426425","Wilko Pre Drilled Mirror 45 x 60cm","Wilko Functional",0.95
"HOM","BLI","446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global",0.85
"HOM","BLI","446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global",0.8
"HOM","BLI","446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global",0.8
"HOM","BLI","446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global",0.8
"HOM","BLI","446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global",0.8
"HOM","BLI","446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global",0.8
"HOM","BLI","446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global",0.8
"HOM","BLI","446123","Square Eyelet Roller Blind Aubergine60 wide x 165cm drop","Global",0.8
"HOM","BLI","446124","Square Eyelet Roller Blind Aubergine90 wide x 165cm drop","Global",0.8
"HOM","BLI","446125","Square Eyelet Roller Blind Aubergine120 wide x 165cm drop","Global",0.8
"HOM","BLI","446126","Square Eyelet Roller Blind Aubergine150 wide x 165cm drop","Global",0.8
"HOM","BLI","446127","Square Eyelet Roller Blind Aubergine180 wide x 165cm drop","Global",0.8
"HOM","BLI","446128","Square Eyelet Roller Blind Aubergine210 wide x 165cm drop","Global",0.8
"HOM","BLI","446129","Square Eyelet Roller Blind Black60 wide x 165cm drop","Global",0.8
"HOM","BLI","446131","Square Eyelet Roller Blind Black120 wide x 165cm drop","Global",0.8
"HOM","BLI","446132","Square Eyelet Roller Blind Black150 wide x 165cm drop","Global",0.8
"HOM","BLI","446133","Square Eyelet Roller Blind Black180 wide x 165cm drop","Global",0.8
