"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOU","AIR","bh00001","Better Home Rotary Airer Green 30m","Better Home Products","172.0CM","197.0CM","197.0CM","Outdoor Airer","30m","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00002","Better Home Rotary Airer Silver 40m","Better Home Products","180.0CM","240.0CM","240.0CM","Outdoor Airer","40m","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00005","Better Home Rotary Airer with Hoist 60m","Better Home Products","271.0CM","294.0CM","294.0CM","Outdoor Airer","60m","Green","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00007","Better Home Gentle Grip Pegs 100pk","Better Home Products","70.0CM","10.0CM","26.0CM","Pegs",NA,"Multi","100",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","AIR","bh00008","Better Home Wall Mount Airer Silver","Better Home Products","39.5CM",".0CM","198.0CM","Outdoor Airer","198 cm wide x 39.5cm Hiigh",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","AIR","bh00009","Better Home Heavy Duty Retractable 5 Line","Better Home Products","14.0CM","59.9CM","17.0CM","Washing Lines and Accessories","5x7m","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00010","Better Home Heavy Duty Retractable 2 Line","Better Home Products","169.0CM","90.0CM","215.0CM",NA,"2 x 15m lines",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"HOU","AIR","bh00003","Better Home Rotary Airer Silver 50m","British Ceramic Tile","180.0CM","261.0CM","261.0CM","Outdoor Airer","50m","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00004","Better Home Rotary Airer Silver 60m","British Ceramic Tile","190.0CM","287.0CM","287.0CM","Outdoor Airer","60m","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","352090","Minky Easy Breeze 4 Arm Rotary Airer 45m","Minky","185.0CM","10.0CM","10.0CM","Outdoor Airer","45m","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","453904","Status Portable Heated Clothes Airer With Wings","Status","53.0CM","1130.0CM","7.0CM","Electric Airer",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","AIR","107006","Wilko Deluxe Clothes Airer 14m","Wilko","136.0CM","63.0CM","43.5CM","Indoor Airer","14m","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","1289640","Wilko Extendable Clothes Prop","Wilko","240.0CM","2.0CM","2.5CM","Clothes Prop","140-240cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","1292440","Wilko Concertina Clothes Airer 3 Tier 8.4m","Wilko","90.0CM","57.0CM","43.0CM","Indoor Airer","8.4m","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","229129","Wilko Radiator Airer 3pk","Wilko","17.0CM","50.0CM","14.0CM","Indoor Airer","18x57cm","White","3pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","285491","Wilko Zipped Rotary Airer Cover Green 176 x 30cm","Wilko","167.0CM","22.0CM","22.0CM","Rotary Covers","176cm x 30cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","285513","Wilko Replacement Airer Line 60m","Wilko","34.5CM","11.0CM","5.3CM","Washing Lines and Accessories","60m","Green","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","300176","Wilko Over Door Hanger 3in1","Wilko","34.0CM","2.5CM","8.0CM","Indoor Airer",NA,"Purple","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","300177","Wilko Extendable Clothes Airer 3 Tier 7.5m","Wilko","105.0CM","74.0CM","36.0CM","Indoor Airer","14m","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","328257","Wilko Ground Screw with Inserts Grey","Wilko","36.0CM","9.5CM","11.0CM","Washing Lines and Accessories","Small, Medium, Large","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","328545","Wilko Indoor Balcony Clothes Airer 12m","Wilko","99.0CM","99.0CM","45.5CM","Indoor Airer","12m","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","400003","Ironing Tidy 6 Arms with 4 Folding Legs","Wilko","16.0CM","16.0CM","79.0CM","Ironing Tidy","79x16x16","Multi","4",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","AIR","403886","MobiDri Portable Washing Line","Wilko","12.5CM","12.5CM","115.5CM","Indoor Airer",NA,"Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","AIR","432698","Wilko Rotary Airer 40m","Wilko","190.0CM","14.0CM","14.0CM","Outdoor Airer","40m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","432699","Wilko Rotary Airer 50m","Wilko","202.0CM","12.5CM","12.5CM","Outdoor Airer","50m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","432700","Wilko Rotary Airer 60m","Wilko","192.0CM","12.0CM","11.5CM","Outdoor Airer","60m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","56804","Wilko Radiator Airer White 4 Bar","Wilko","35.0CM","61.0CM","14.0CM","Indoor Airer","34.5x61cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","AIR","1285040","Wilko Rotary Airer 3 Arm 30m","Wilko Functional","110.0CM","10.0CM","10.0CM","Outdoor Airer","30m","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOU","DUS","300603","Heavy Duty Dustbin Black Plastic 80L","Strata","65.0CM","47.0CM","47.0CM","Dustbins","80L","Black","1",NA,NA,NA,NA,"80L",NA,NA,NA,0.95
"HOU","DUS","145240","Wilko Dustbin and Lid Black Plastic 80L","Wilko","65.5CM","46.7CM","46.7CM","Dustbins","80L","Black","1",NA,NA,NA,NA,"80L",NA,NA,NA,1
"HOU","HEA","440044","Prolectrix Round 7 Fin Oil Filled Radiator 1500W","PROlectrix","59.0CM","13.5CM","37.0CM","Radiators","33X24X54.5cm","Silver","1",NA,NA,NA,"1500W",NA,NA,NA,"EH0564WILKPRO",1
"HOU","HEA","440047","Mini Oil Filled Radiator 700W","PROlectrix","41.0CM","135.0CM","35.5CM","Radiators","33X14X38cm","Black","1",NA,NA,NA,"700W",NA,NA,NA,"EH0575WILKPRO",0.95
"HOU","HEA","446729","Wilko Microwaveable Heat Pack","Wilko","3.5CM","12.0CM","45.0CM","Wheat Packs",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HEA","446730","Wilko Hot Water Bottle","Wilko","5.0CM","19.5CM","33.0CM","Hot Water Bottle",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HEA","446731","Wilko Hot Water Bottle With Cover","Wilko","5.0CM","19.5CM","33.0CM","Hot Water Bottle",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8
"HOU","HTV","441062","Jerome Alexander Concealer and Rollerball","High Street TV","2.5CM","16.0CM","20.0CM","Concealer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441064","Jerome Alexander Magic Minerals Bronzer","High Street TV","23.5CM","3.5CM","19.0CM","Contouring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441065","BIT 360 Screwdriver","High Street TV","23.6CM","4.7CM","6.6CM","Screwdrivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","IRN","182125","JML Ironing Board Cover Fast Fit","JML","38.0CM","22.5CM","4.5CM","Ironing Board Covers","139x49cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300708","Minky Easy Fit Ironing Board Cover DesignCollection Large 122 x 43cm","Minky","33.0CM","20.0CM","9.5CM","Ironing Board Covers","122x43cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300709","Minky Smart Fit Ironing Board Cover 125 x 45cm","Minky","36.0CM","27.0CM","6.0CM","Ironing Board Covers","125x45cm","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","328217","Wilko Felt Ironing Board Pad One Size","Minky","36.5CM","26.0CM","4.0CM","Ironing Board Covers","125x45cm","Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"HOU","IRN","332969","Minky Premium Plus Ironing Board 122 x 38cm","Minky","92.0CM","122.0CM","38.0CM","Ironing Boards","122x38cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOU","IRN","352086","Minky Smart Fit Iron Board Cover Polka Dot Design125 x 45cm","Minky","37.0CM","28.0CM","5.0CM","Ironing Board Covers",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","352087","Minky High Performance Iron Board Cover122 x 38cm","Minky","38.0CM","24.0CM","5.5CM","Ironing Board Covers",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","417473","Minky Ergo Ironing Board","Minky","160.0CM","38.0CM","8.5CM","Ironing Boards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
