"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOU","AIR","bh00001","Better Home Rotary Airer Green 30m","Better Home Products",0.95
"HOU","AIR","bh00002","Better Home Rotary Airer Silver 40m","Better Home Products",0.95
"HOU","AIR","bh00005","Better Home Rotary Airer with Hoist 60m","Better Home Products",0.95
"HOU","AIR","bh00007","Better Home Gentle Grip Pegs 100pk","Better Home Products",0.88
"HOU","AIR","bh00008","Better Home Wall Mount Airer Silver","Better Home Products",0.88
"HOU","AIR","bh00009","Better Home Heavy Duty Retractable 5 Line","Better Home Products",0.95
"HOU","AIR","bh00010","Better Home Heavy Duty Retractable 2 Line","Better Home Products",0.8625
"HOU","AIR","bh00003","Better Home Rotary Airer Silver 50m","British Ceramic Tile",0.95
"HOU","AIR","bh00004","Better Home Rotary Airer Silver 60m","British Ceramic Tile",0.95
"HOU","AIR","400003","Ironing Tidy 6 Arms with 4 Folding Legs","Wilko",0.95
"HOU","AIR","403886","MobiDri Portable Washing Line","Wilko",0.88
"HOU","AIR","1285040","Wilko Rotary Airer 3 Arm 30m","Wilko Functional",0.95
"HOU","DUS","300603","Heavy Duty Dustbin Black Plastic 80L","Strata",0.95
"HOU","HEA","440047","Mini Oil Filled Radiator 700W","PROlectrix",0.95
"HOU","HTV","441062","Jerome Alexander Concealer and Rollerball","High Street TV",0.716666666666667
"HOU","HTV","441064","Jerome Alexander Magic Minerals Bronzer","High Street TV",0.716666666666667
"HOU","HTV","441065","BIT 360 Screwdriver","High Street TV",0.716666666666667
"HOU","IRN","328217","Wilko Felt Ironing Board Pad One Size","Minky",0.88
"HOU","IRN","409313","Laundry Basket Grey","Strata",0.775
"HOU","IRN","327987","Wilko Steam Iron White 1200W","Wilko Functional",0.891666666666667
"HOU","MAT","428355","Mighty Mat Striped Mat","Wilko",0.775
"HOU","MOP","437058","Hertiage Cotton Mop","Charles Bentley",0.95
"HOU","MOP","437059","Heritage Housekeepers Box","Charles Bentley",0.95
"HOU","MOP","437060","Heritage Metal Mop Bucket","Charles Bentley",0.95
"HOU","MOP","437061","Heritage Hand Shovel","Charles Bentley",0.95
"HOU","MOP","437062","Heritage Handled Feather Duster","Charles Bentley",0.95
"HOU","MOP","437063","Heritage Handled Dustpan Set","Charles Bentley",0.95
"HOU","MOP","437064","Heritage Dustpan and Brush Set","Charles Bentley",0.95
"HOU","MOP","437065","Heritage Wooden Clothes Pegs","Charles Bentley",0.95
"HOU","MOP","437066","Heritage Peg Caddy","Charles Bentley",0.95
"HOU","MOP","437069","Heritage Long Handled Radiator Brush","Charles Bentley",0.95
"HOU","MOP","441963","Heritage Wooden Nail Brush","Charles Bentley",0.95
"HOU","MOP","454203","Packmate Flat Vacuum Storage Bags Medium 4pk","Pack Mate",0.8
"HOU","MOP","454205","Packmate High Volume Vacuum Storage Bags Large 2pk","Pack Mate",0.85
"HOU","MOP","454208","Packmate Hanging Vacuum Storage Bag with Cover","Pack Mate",0.85
"HOU","MOP","454209","Packmate Flat Vacuum Storage Bags 4pk","Pack Mate",0.8
"HOU","MOP","191511","Wilko Tough Scrubbing Brush Assorted","Wilko Functional",0.891666666666667
"HOU","SCO","300101","Dishmatic Dish Sponge Refill Non Scratch 2pk","Dish Matic",0.88
"HOU","SCO","300102","Dishmatic Dish Scourer Fill and Clean","Dish Matic",0.88
"HOU","SCO","300103","Dishmatic Dish Sponge Heavy Duty Refill 2pk","Dish Matic",0.88
"HOU","SCO","328266","Dishmatic Fill and Clean Washing Up Brush","Dish Matic",0.88
"HOU","SCO","417431","Marigold Latex Free Disposable Gloves 40pk","Vileda",0.74
"HOU","SWE","429071","Black and Decker Flexi Dustbuster Cordless HandHeld Vacuum Cleaner 10.8v","Black & Decker",0.833333333333333
"HOU","SWE","454076","Black and Decker SteaMitt Replacement Pads 2pk","Black & Decker",0.783333333333333
"HOU","WAR","428334","Single Fabric Wardrobe","Misterpack",0.85
"HOU","WAR","328404","Packmate Travel Roll Storage Bags 3pk","Pack Mate",0.85
"HOU","WAR","417488","Jumbo Storage Bag 120g","Wilko",0.8
